depth (m),temperature (degC),temperature (degC),temperatureComposite (degC),depth (m),TOC (percent),depth (m),temperature (degC),Uk37 (missing),depth (m),CaCO3 (percent)
25.54,28.27,24.15,-0.596,6.325,0.524,6.625,24.562,0.853,6.325,8.418
25.62,27.95,23.41,-1.126,6.345,0.571,6.645,25.446,0.881,6.345,7.021
25.7,27.44,21.7,-2.236,6.365,0.513,6.685,24.738,0.859,6.365,8.421
25.78,28.24,25.01,-0.181,6.385,0.593,6.705,24.612,0.855,6.385,8.158
25.86,29.38,26.7,1.234,6.405,0.504,6.725,25.275,0.876,6.405,9.962
25.94,29.08,26.3,0.884,6.425,0.584,6.745,24.583,0.854,6.425,8.206
26.02,28.38,25.18,-0.026,6.445,0.512,6.765,25.231,0.874,6.445,7.883
26.1,28.81,26.03,0.614,6.465,0.555,6.785,24.597,0.855,6.465,7.742
26.18,28.68,25.17,0.119,6.485,0.521,6.805,24.577,0.854,6.485,7.578
26.26,28.73,24.99,0.054,6.505,0.539,6.825,25.047,0.869,6.505,7.825
26.34,28.25,24.78,-0.291,6.525,0.478,6.845,25.056,0.869,6.525,7.508
26.42,29,26.04,0.714,6.545,0.56,6.865,24.82,0.861,6.545,4.708
26.5,27.9,23.43,-1.141,6.565,0.588,6.885,25.325,0.877,6.565,8.153
26.58,28.53,23.88,-0.601,6.585,0.599,6.905,24.21,0.843,6.585,7.553
26.66,28.93,25.9,0.609,6.605,0.497,6.925,24.49,0.851,6.605,6.789
NA,NA,NA,NA,6.625,0.602,6.965,24.701,0.858,6.625,8.017
NA,NA,NA,NA,6.645,0.497,6.985,25.011,0.867,6.645,6.005
NA,NA,NA,NA,6.665,0.529,7.005,25.202,0.873,6.665,4.868
NA,NA,NA,NA,6.685,0.508,7.025,25.276,0.876,6.685,6.043
NA,NA,NA,NA,6.705,0.615,7.045,25.524,0.883,6.705,6.108
NA,NA,NA,NA,6.725,0.53,7.065,25.06,0.869,6.725,7.363
NA,NA,NA,NA,6.745,0.528,7.085,25.594,0.885,6.745,6.571
NA,NA,NA,NA,6.765,0.471,7.105,24.863,0.863,6.765,9.073
NA,NA,NA,NA,6.785,0.566,7.125,25.266,0.875,6.785,6.925
NA,NA,NA,NA,6.805,0.519,7.145,24.984,0.867,6.805,8.273
NA,NA,NA,NA,6.825,0.532,7.165,25.27,0.875,6.825,6.69
NA,NA,NA,NA,6.845,0.448,7.185,25.49,0.882,6.845,8.073
NA,NA,NA,NA,6.865,0.516,7.205,25.469,0.882,6.865,7.367
NA,NA,NA,NA,6.885,0.496,7.225,24.897,0.864,6.885,6.138
NA,NA,NA,NA,6.905,0.534,7.245,25.281,0.876,6.905,6.386
NA,NA,NA,NA,6.925,0.461,7.265,24.904,0.864,6.925,7.508
NA,NA,NA,NA,6.945,0.507,7.285,25.547,0.884,6.945,7.525
NA,NA,NA,NA,6.965,0.485,7.305,25.053,0.869,6.965,9.323
NA,NA,NA,NA,6.985,0.547,7.345,25.155,0.872,6.985,7.233
NA,NA,NA,NA,7.005,0.447,7.365,25.143,0.871,7.005,9.584
NA,NA,NA,NA,7.025,0.47,7.385,24.826,0.862,7.025,9.7
NA,NA,NA,NA,7.045,0.497,7.405,24.831,0.862,7.045,8.75
NA,NA,NA,NA,7.065,0.558,7.425,25.054,0.869,7.065,6.127
NA,NA,NA,NA,7.085,0.513,7.445,25.239,0.874,7.085,8.353
NA,NA,NA,NA,7.105,0.589,7.465,24.697,0.858,7.105,7.525
NA,NA,NA,NA,7.125,0.518,7.485,24.89,0.864,7.125,8.233
NA,NA,NA,NA,7.145,0.516,7.505,25.503,0.883,7.145,6.437
NA,NA,NA,NA,7.165,0.53,7.525,24.942,0.865,7.165,9.056
NA,NA,NA,NA,7.185,0.614,7.545,24.895,0.864,7.185,6.767
NA,NA,NA,NA,7.205,0.531,7.565,25.153,0.872,7.205,8.041
NA,NA,NA,NA,7.225,0.586,7.585,25.206,0.873,7.225,6.87
NA,NA,NA,NA,7.245,0.597,7.605,25.468,0.882,7.245,8.945
NA,NA,NA,NA,7.265,0.597,7.625,25.267,0.875,7.265,8.075
NA,NA,NA,NA,7.285,0.609,7.645,25.291,0.876,7.285,9.003
NA,NA,NA,NA,7.305,0.58,7.665,25.793,0.892,7.305,8.463
NA,NA,NA,NA,7.325,0.592,7.685,25.029,0.868,7.325,9.258
NA,NA,NA,NA,7.345,0.543,7.705,25.22,0.874,7.345,9.925
NA,NA,NA,NA,7.365,0.554,7.725,25.11,0.87,7.365,9.565
NA,NA,NA,NA,7.385,0.593,7.745,24.571,0.854,7.385,8.233
NA,NA,NA,NA,7.405,0.605,7.765,24.642,0.856,7.405,8.662
NA,NA,NA,NA,7.425,0.664,7.785,24.638,0.856,7.425,7.808
NA,NA,NA,NA,7.445,0.677,7.805,25.048,0.869,7.445,5.577
NA,NA,NA,NA,7.465,0.582,7.825,24.786,0.86,7.465,6.039
NA,NA,NA,NA,7.485,0.594,7.845,24.94,0.865,7.485,7.007
NA,NA,NA,NA,7.505,0.689,7.865,24.984,0.867,7.505,9.433
NA,NA,NA,NA,7.525,0.703,7.885,25.024,0.868,7.525,7.038
NA,NA,NA,NA,7.545,0.672,7.925,25.281,0.876,7.545,7.767
NA,NA,NA,NA,7.565,0.686,7.945,25.1,0.87,7.565,7.904
NA,NA,NA,NA,7.585,0.643,7.965,25.307,0.877,7.585,4.733
NA,NA,NA,NA,7.605,0.656,7.985,25.89,0.895,7.605,8.75
NA,NA,NA,NA,7.625,0.703,8.005,25.337,0.878,7.625,8.533
NA,NA,NA,NA,7.645,0.717,8.045,24.825,0.862,7.645,8.857
NA,NA,NA,NA,7.665,0.689,8.065,24.943,0.865,7.665,12.008
NA,NA,NA,NA,7.685,0.703,8.085,24.764,0.86,7.685,7.399
NA,NA,NA,NA,7.705,0.693,8.105,25.016,0.868,7.705,10.942
NA,NA,NA,NA,7.725,0.707,8.145,24.986,0.867,7.725,6.68
NA,NA,NA,NA,7.745,0.646,8.165,25.307,0.877,7.745,7.983
NA,NA,NA,NA,7.765,0.659,8.185,24.566,0.854,7.765,7.485
NA,NA,NA,NA,7.785,0.664,8.205,24.627,0.855,7.785,7.542
NA,NA,NA,NA,7.805,0.677,8.245,24.81,0.861,7.805,7.335
NA,NA,NA,NA,7.825,0.703,8.265,25.184,0.873,7.825,6.25
NA,NA,NA,NA,7.845,0.717,8.285,25,0.867,7.845,6.801
NA,NA,NA,NA,7.865,0.661,8.305,24.91,0.864,7.865,7.808
NA,NA,NA,NA,7.885,0.674,8.345,24.533,0.853,7.885,7.008
NA,NA,NA,NA,7.905,0.629,8.365,24.388,0.848,7.905,6.508
NA,NA,NA,NA,7.925,0.642,8.385,24.429,0.849,7.925,6.849
NA,NA,NA,NA,7.945,0.635,8.405,24.478,0.851,7.945,6.025
NA,NA,NA,NA,7.965,0.648,8.425,24.964,0.866,7.965,4.506
NA,NA,NA,NA,7.985,0.58,8.445,24.981,0.866,7.985,5.4
NA,NA,NA,NA,8.005,0.592,8.465,24.969,0.866,8.005,6.192
NA,NA,NA,NA,8.025,0.578,8.485,25.168,0.872,8.025,5.733
NA,NA,NA,NA,8.045,0.59,8.505,24.91,0.864,8.045,6.622
NA,NA,NA,NA,8.065,0.655,8.525,24.513,0.852,8.065,6.467
NA,NA,NA,NA,8.085,0.668,8.545,24.493,0.851,8.085,7.475
NA,NA,NA,NA,8.105,0.821,8.565,24.857,0.863,8.105,6.833
NA,NA,NA,NA,8.125,0.838,8.585,24.858,0.863,8.125,5.777
NA,NA,NA,NA,8.145,0.945,8.605,25.026,0.868,8.145,9.233
NA,NA,NA,NA,8.165,0.964,8.645,25.081,0.87,8.165,5.712
NA,NA,NA,NA,8.185,0.776,8.665,24.825,0.862,8.185,8.825
NA,NA,NA,NA,8.205,0.792,8.685,25.048,0.869,8.205,6.472
NA,NA,NA,NA,8.225,0.695,8.725,25.18,0.873,8.225,9.833
NA,NA,NA,NA,8.245,0.709,8.745,25.533,0.884,8.245,4.587
NA,NA,NA,NA,8.265,0.684,8.765,25.155,0.872,8.265,6.992
NA,NA,NA,NA,8.285,0.698,8.785,24.517,0.852,8.285,9.104
NA,NA,NA,NA,8.305,0.667,8.805,24.56,0.853,8.305,6.192
NA,NA,NA,NA,8.325,0.68,8.825,24.684,0.857,8.325,8.142
NA,NA,NA,NA,8.345,0.657,8.845,24.437,0.85,8.345,8.292
NA,NA,NA,NA,8.365,0.67,8.865,24.295,0.845,8.365,7.777
NA,NA,NA,NA,8.385,0.673,8.885,25.237,0.874,8.385,6.542
NA,NA,NA,NA,8.405,0.63,8.905,25.189,0.873,8.405,10.233
NA,NA,NA,NA,8.425,0.562,8.925,24.749,0.859,8.425,8.615
NA,NA,NA,NA,8.465,0.649,8.945,24.575,0.854,8.465,7.133
NA,NA,NA,NA,8.485,0.662,8.965,25.131,0.871,8.485,8.263
NA,NA,NA,NA,8.505,0.575,9.025,25.257,0.875,8.505,8.146
NA,NA,NA,NA,8.525,0.586,9.045,25.429,0.88,8.525,9.934
NA,NA,NA,NA,8.545,0.688,9.065,25.765,0.891,8.545,7.242
NA,NA,NA,NA,8.565,0.702,9.085,25.481,0.882,8.565,7.379
NA,NA,NA,NA,8.585,0.556,9.105,24.957,0.866,8.585,8.116
NA,NA,NA,NA,8.605,0.567,9.125,25.263,0.875,8.605,9.814
NA,NA,NA,NA,8.625,0.647,9.145,25.107,0.87,8.625,6.467
NA,NA,NA,NA,8.645,0.66,9.185,25.16,0.872,8.645,12.003
NA,NA,NA,NA,8.665,0.592,9.205,25.388,0.879,8.665,9.721
NA,NA,NA,NA,8.685,0.603,9.225,25.003,0.867,8.685,10.396
NA,NA,NA,NA,8.705,0.654,9.245,25.456,0.881,8.705,7.725
NA,NA,NA,NA,8.725,0.667,9.285,25.108,0.87,8.725,10.061
NA,NA,NA,NA,8.745,0.59,9.305,24.612,0.855,8.745,8.934
NA,NA,NA,NA,8.765,0.602,9.325,24.78,0.86,8.765,7.99
NA,NA,NA,NA,8.785,0.628,9.345,24.639,0.856,8.785,8.108
NA,NA,NA,NA,8.805,0.641,9.365,25.006,0.867,8.805,8.079
NA,NA,NA,NA,8.825,0.5,9.385,24.782,0.86,8.825,8.98
NA,NA,NA,NA,8.845,0.511,9.405,24.681,0.857,8.845,10.802
NA,NA,NA,NA,8.865,0.601,9.425,24.697,0.858,8.865,6.508
NA,NA,NA,NA,8.885,0.613,9.445,24.928,0.865,8.885,8.197
NA,NA,NA,NA,8.905,0.496,9.465,24.814,0.861,8.905,6.87
NA,NA,NA,NA,8.925,0.506,9.485,24.962,0.866,8.925,8.75
NA,NA,NA,NA,8.945,0.647,9.505,25.213,0.874,8.945,9.4
NA,NA,NA,NA,8.965,0.66,9.525,24.881,0.863,8.965,10.44
NA,NA,NA,NA,9.005,0.585,9.545,24.313,0.846,9.005,13.48
NA,NA,NA,NA,9.025,0.573,9.565,24.871,0.863,9.025,11.258
NA,NA,NA,NA,9.045,0.528,9.585,24.625,0.855,9.045,11.378
NA,NA,NA,NA,9.065,0.518,9.605,24.868,0.863,9.065,13.358
NA,NA,NA,NA,9.085,0.726,9.625,24.7,0.858,9.085,12.662
NA,NA,NA,NA,9.125,0.692,9.645,24.747,0.859,9.125,13.696
NA,NA,NA,NA,9.145,0.712,9.665,24.78,0.86,9.145,12.3
NA,NA,NA,NA,9.165,0.697,9.685,24.895,0.864,9.165,13.739
NA,NA,NA,NA,9.185,0.678,9.725,25.023,0.868,9.185,14.133
NA,NA,NA,NA,9.205,0.594,9.745,24.821,0.862,9.205,11.353
NA,NA,NA,NA,9.225,0.683,9.785,25.245,0.875,9.225,10.183
NA,NA,NA,NA,9.245,0.616,9.805,25.098,0.87,9.245,12.6
NA,NA,NA,NA,9.265,0.582,9.825,25.123,0.871,9.265,9.865
NA,NA,NA,NA,9.285,0.549,9.845,25.158,0.872,9.285,10.555
NA,NA,NA,NA,9.305,0.604,9.885,25.29,0.876,9.305,8.925
NA,NA,NA,NA,9.325,0.625,9.905,25.67,0.888,9.325,8.314
NA,NA,NA,NA,9.345,0.538,9.925,25.21,0.874,9.345,8.399
NA,NA,NA,NA,9.365,0.48,9.945,24.561,0.853,9.365,8.98
NA,NA,NA,NA,9.385,0.613,9.965,25.221,0.874,9.385,5.033
NA,NA,NA,NA,9.405,0.601,9.985,25.096,0.87,9.405,7.506
NA,NA,NA,NA,9.425,0.471,10.025,24.881,0.863,9.425,7.52
NA,NA,NA,NA,9.445,0.527,10.045,25.064,0.869,9.445,11.284
NA,NA,NA,NA,9.465,0.589,10.065,25.712,0.889,9.465,4.717
NA,NA,NA,NA,9.485,0.51,10.085,25.203,0.873,9.485,10.185
NA,NA,NA,NA,9.505,0.517,10.105,24.654,0.856,9.505,10.451
NA,NA,NA,NA,9.525,0.697,10.125,25.266,0.875,9.525,9.415
NA,NA,NA,NA,9.545,0.5,10.145,25.004,0.867,9.545,5.942
NA,NA,NA,NA,9.565,0.596,10.185,24.705,0.858,9.565,11.106
NA,NA,NA,NA,9.585,0.683,10.205,25.114,0.871,9.585,8.498
NA,NA,NA,NA,9.605,0.592,10.225,25.718,0.889,9.605,6.573
NA,NA,NA,NA,9.625,0.584,10.245,25.375,0.879,9.625,6.342
NA,NA,NA,NA,9.645,0.562,10.265,24.422,0.849,9.645,7.473
NA,NA,NA,NA,9.665,0.58,10.285,25.197,0.873,9.665,5.264
NA,NA,NA,NA,9.685,0.596,10.305,25.124,0.871,9.685,6.158
NA,NA,NA,NA,9.705,0.551,10.325,25.176,0.873,9.705,7.825
NA,NA,NA,NA,9.725,0.618,10.345,25.094,0.87,9.725,11.163
NA,NA,NA,NA,9.745,0.584,10.365,25.265,0.875,9.745,10.493
NA,NA,NA,NA,9.765,0.508,10.385,25.298,0.876,9.765,11.417
NA,NA,NA,NA,9.785,0.606,10.405,25.495,0.882,9.785,10.058
NA,NA,NA,NA,9.805,0.517,10.445,25.447,0.881,9.805,10.718
NA,NA,NA,NA,9.825,0.498,10.465,25.718,0.889,9.825,9.819
NA,NA,NA,NA,9.845,0.576,10.485,25.632,0.887,9.845,12
NA,NA,NA,NA,9.865,0.507,10.525,25.465,0.881,9.865,12.233
NA,NA,NA,NA,9.885,0.63,10.545,25.51,0.883,9.885,10.168
NA,NA,NA,NA,9.905,0.565,10.565,25.908,0.895,9.905,9.012
NA,NA,NA,NA,9.925,0.554,10.585,25.842,0.893,9.925,12.184
NA,NA,NA,NA,9.945,0.618,10.605,25.545,0.884,9.945,10.1
NA,NA,NA,NA,9.965,0.593,10.625,25.91,0.895,9.965,12.274
NA,NA,NA,NA,9.985,0.543,10.645,25.335,0.877,9.985,10.391
NA,NA,NA,NA,10.005,0.613,10.665,26.136,0.902,10.005,10.291
NA,NA,NA,NA,10.025,0.581,10.685,26.002,0.898,10.025,10.067
NA,NA,NA,NA,10.045,0.601,10.705,25.815,0.892,10.045,10.374
NA,NA,NA,NA,10.065,0.601,10.725,25.684,0.888,10.065,12.69
NA,NA,NA,NA,10.085,0.599,10.745,25.059,0.869,10.085,13.817
NA,NA,NA,NA,10.105,0.589,10.765,25.115,0.871,10.105,11.033
NA,NA,NA,NA,10.125,0.595,10.785,25.57,0.885,10.125,13.277
NA,NA,NA,NA,10.145,0.587,10.805,24.826,0.862,10.145,12.214
NA,NA,NA,NA,10.165,0.519,10.825,24.575,0.854,10.165,14.522
NA,NA,NA,NA,10.185,0.583,10.865,25.628,0.887,10.185,10.675
NA,NA,NA,NA,10.205,0.531,10.885,24.483,0.851,10.205,11.839
NA,NA,NA,NA,10.225,0.509,10.905,24.474,0.851,10.225,8.8
NA,NA,NA,NA,10.245,0.309,10.925,25.01,0.867,10.245,13.221
NA,NA,NA,NA,10.265,0.521,10.945,25.089,0.87,10.265,9.85
NA,NA,NA,NA,10.285,0.513,10.965,25.502,0.883,10.285,10.768
NA,NA,NA,NA,10.305,0.303,10.985,25.265,0.875,10.305,12.06
NA,NA,NA,NA,10.325,0.518,11.005,24.91,0.864,10.325,12.203
NA,NA,NA,NA,10.345,0.503,11.025,25.728,0.89,10.345,11.675
NA,NA,NA,NA,10.365,0.488,11.065,25.387,0.879,10.365,13.326
NA,NA,NA,NA,10.385,0.508,11.105,25.643,0.887,10.385,11.415
NA,NA,NA,NA,10.405,0.553,11.145,24.725,0.859,10.405,12.511
NA,NA,NA,NA,10.425,0.478,11.165,25.831,0.893,10.425,11.625
NA,NA,NA,NA,10.445,0.443,11.185,25.295,0.876,10.445,13.944
NA,NA,NA,NA,10.465,0.542,11.205,25.058,0.869,10.465,13.006
NA,NA,NA,NA,10.485,0.525,11.245,25.077,0.869,10.485,14.384
NA,NA,NA,NA,10.505,0.434,11.265,25.088,0.87,10.505,14.683
NA,NA,NA,NA,10.525,0.499,11.285,25.088,0.87,10.525,14.113
NA,NA,NA,NA,10.545,0.515,11.305,25.274,0.876,10.545,15.267
NA,NA,NA,NA,10.565,0.42,11.325,24.673,0.857,10.565,14.559
NA,NA,NA,NA,10.585,0.563,11.345,25.365,0.878,10.585,13.86
NA,NA,NA,NA,10.605,0.489,11.365,25.287,0.876,10.605,15.542
NA,NA,NA,NA,10.625,0.524,11.385,25.476,0.882,10.625,13.511
NA,NA,NA,NA,10.645,0.552,11.405,25.254,0.875,10.645,13.3
NA,NA,NA,NA,10.665,0.603,11.425,25.388,0.879,10.665,14.669
NA,NA,NA,NA,10.685,0.555,11.445,25.176,0.873,10.685,13.382
NA,NA,NA,NA,10.705,0.624,11.465,25.216,0.874,10.705,10.305
NA,NA,NA,NA,10.725,0.517,11.485,25.421,0.88,10.725,12.803
NA,NA,NA,NA,10.745,0.591,11.505,25.312,0.877,10.745,10.542
NA,NA,NA,NA,10.765,0.522,11.525,25.093,0.87,10.765,11.086
NA,NA,NA,NA,10.785,0.561,11.545,25.382,0.879,10.785,10.21
NA,NA,NA,NA,10.805,0.544,11.565,25.414,0.88,10.805,8.731
NA,NA,NA,NA,10.825,0.604,11.585,25.085,0.87,10.825,9.923
NA,NA,NA,NA,10.845,0.507,11.605,25.491,0.882,10.845,10.308
NA,NA,NA,NA,10.865,0.557,11.625,24.823,0.862,10.865,10.471
NA,NA,NA,NA,10.885,0.528,11.645,25.365,0.878,10.885,9.657
NA,NA,NA,NA,10.905,0.511,11.665,25.443,0.881,10.905,9.648
NA,NA,NA,NA,10.925,0.545,11.685,25.288,0.876,10.925,10.081
NA,NA,NA,NA,10.945,0.55,11.705,25.367,0.878,10.945,9.017
NA,NA,NA,NA,10.965,0.579,11.725,25.967,0.897,10.965,11.306
NA,NA,NA,NA,10.985,0.576,11.745,25.437,0.881,10.985,9.449
NA,NA,NA,NA,11.005,0.592,11.765,25.297,0.876,11.005,8.297
NA,NA,NA,NA,11.025,0.571,11.785,25.588,0.885,11.025,11.549
NA,NA,NA,NA,11.045,0.546,11.805,25.058,0.869,11.045,11.975
NA,NA,NA,NA,11.065,0.616,11.825,25.1,0.87,11.065,11.308
NA,NA,NA,NA,11.105,0.631,11.845,24.68,0.857,11.105,11.487
NA,NA,NA,NA,11.125,0.518,11.865,25.061,0.869,11.125,11.375
NA,NA,NA,NA,11.145,0.541,11.885,25.025,0.868,11.145,7.636
NA,NA,NA,NA,11.165,0.56,11.905,25.06,0.869,11.165,10.444
NA,NA,NA,NA,11.185,0.534,11.925,24.968,0.866,11.185,8.547
NA,NA,NA,NA,11.205,0.464,11.945,25.385,0.879,11.205,12.185
NA,NA,NA,NA,11.225,0.568,11.965,25.241,0.875,11.225,10.608
NA,NA,NA,NA,11.245,0.59,12.005,25.093,0.87,11.245,10.214
NA,NA,NA,NA,11.265,0.654,12.025,25.254,0.875,11.265,10.417
NA,NA,NA,NA,11.285,0.565,12.045,25.14,0.871,11.285,8.832
NA,NA,NA,NA,11.305,0.641,12.065,24.903,0.864,11.305,11.621
NA,NA,NA,NA,11.325,0.56,12.085,24.731,0.859,11.325,12.367
NA,NA,NA,NA,11.345,0.647,12.105,25.226,0.874,11.345,13.117
NA,NA,NA,NA,11.365,0.572,12.125,25.12,0.871,11.365,13.334
NA,NA,NA,NA,11.385,0.604,12.145,25.271,0.875,11.385,11.562
NA,NA,NA,NA,11.405,0.474,12.165,25.382,0.879,11.405,12.687
NA,NA,NA,NA,11.425,0.619,12.185,25.328,0.877,11.425,11.792
NA,NA,NA,NA,11.445,0.53,12.205,24.667,0.857,11.445,10.163
NA,NA,NA,NA,11.465,0.481,12.225,25.326,0.877,11.465,13.788
NA,NA,NA,NA,11.485,0.53,12.245,25.009,0.867,11.485,12.333
NA,NA,NA,NA,11.505,0.557,12.265,25.904,0.895,11.505,14.625
NA,NA,NA,NA,11.525,0.549,12.285,24.917,0.864,11.525,13.317
NA,NA,NA,NA,11.545,0.508,12.305,26.037,0.899,11.545,14.466
NA,NA,NA,NA,11.565,0.554,12.325,25.98,0.897,11.565,13.368
NA,NA,NA,NA,11.585,0.455,12.345,25.914,0.895,11.585,10.833
NA,NA,NA,NA,11.605,0.58,12.385,26.124,0.902,11.605,14.786
NA,NA,NA,NA,11.625,0.578,12.405,25.793,0.892,11.625,13.742
NA,NA,NA,NA,11.645,0.448,12.425,26.079,0.9,11.645,15.358
NA,NA,NA,NA,11.665,0.49,12.445,24.805,0.861,11.665,15.008
NA,NA,NA,NA,11.685,0.641,12.465,25.643,0.887,11.685,10.876
NA,NA,NA,NA,11.705,0.519,12.505,25.714,0.889,11.705,12.246
NA,NA,NA,NA,11.725,0.628,12.525,25.072,0.869,11.725,14.358
NA,NA,NA,NA,11.745,0.575,12.545,25.338,0.878,11.745,15.532
NA,NA,NA,NA,11.765,0.639,12.585,25.581,0.885,11.765,16.12
NA,NA,NA,NA,11.785,0.641,12.605,24.906,0.864,11.785,17.422
NA,NA,NA,NA,11.805,0.634,12.625,25.592,0.885,11.805,9.715
NA,NA,NA,NA,11.825,0.696,12.665,24.979,0.866,11.825,12.649
NA,NA,NA,NA,11.845,0.561,12.705,25.024,0.868,11.845,13.025
NA,NA,NA,NA,11.865,0.428,12.725,25.367,0.878,11.865,14.087
NA,NA,NA,NA,11.885,0.465,12.745,25.438,0.881,11.885,12.185
NA,NA,NA,NA,11.905,0.653,12.765,25.446,0.881,11.905,12.118
NA,NA,NA,NA,11.925,0.52,12.785,25.065,0.869,11.925,13.933
NA,NA,NA,NA,11.945,0.335,12.825,24.921,0.865,11.945,15.203
NA,NA,NA,NA,11.965,0.472,12.865,25.008,0.867,11.965,11.903
NA,NA,NA,NA,11.985,0.597,12.885,25.391,0.879,11.985,13.564
NA,NA,NA,NA,12.005,0.546,12.905,25.132,0.871,12.005,11.675
NA,NA,NA,NA,12.025,0.576,12.925,24.715,0.858,12.025,11.753
NA,NA,NA,NA,12.045,0.498,12.945,24.986,0.867,12.045,8.54
NA,NA,NA,NA,12.065,0.542,12.985,24.489,0.851,12.065,11.144
NA,NA,NA,NA,12.085,0.543,13.005,24.025,0.837,12.085,10.4
NA,NA,NA,NA,12.105,0.572,13.025,24.19,0.842,12.105,9.125
NA,NA,NA,NA,12.125,0.568,13.065,25.176,0.873,12.125,9.257
NA,NA,NA,NA,12.165,0.439,13.085,24.488,0.851,12.165,11.183
NA,NA,NA,NA,12.185,0.549,13.105,24.115,0.84,12.185,10.791
NA,NA,NA,NA,12.205,0.48,13.125,24.133,0.84,12.205,10.842
NA,NA,NA,NA,12.225,0.565,13.145,24.324,0.846,12.225,10.823
NA,NA,NA,NA,12.245,0.509,13.165,23.92,0.834,12.245,9.303
NA,NA,NA,NA,12.265,0.511,13.185,24.736,0.859,12.265,12.688
NA,NA,NA,NA,12.285,0.564,13.225,24.782,0.86,12.285,12.25
NA,NA,NA,NA,12.325,0.627,13.245,24.437,0.85,12.325,10.17
NA,NA,NA,NA,12.345,0.642,13.265,24.873,0.863,12.345,11.832
NA,NA,NA,NA,12.365,0.628,13.285,25.426,0.88,12.365,12.008
NA,NA,NA,NA,12.385,0.524,13.305,25.099,0.87,12.385,14.206
NA,NA,NA,NA,12.405,0.682,13.325,24.168,0.841,12.405,7.505
NA,NA,NA,NA,12.425,0.474,13.345,25.413,0.88,12.425,14.552
NA,NA,NA,NA,12.445,0.42,13.365,24.757,0.86,12.445,11.3
NA,NA,NA,NA,12.465,0.531,13.385,25.096,0.87,12.465,11.287
NA,NA,NA,NA,12.485,0.64,13.405,24.932,0.865,12.485,9.91
NA,NA,NA,NA,12.505,0.499,13.425,25.234,0.874,12.505,10.457
NA,NA,NA,NA,12.525,0.328,13.465,25.282,0.876,12.525,13.758
NA,NA,NA,NA,12.545,0.538,13.485,24.654,0.856,12.545,11.474
NA,NA,NA,NA,12.565,0.586,13.505,25.067,0.869,12.565,7.937
NA,NA,NA,NA,12.585,0.557,13.525,24.949,0.865,12.585,11.5
NA,NA,NA,NA,12.605,0.565,13.545,25.168,0.872,12.605,10.141
NA,NA,NA,NA,12.625,0.468,13.565,24.569,0.854,12.625,13.311
NA,NA,NA,NA,12.645,0.532,13.585,25.083,0.87,12.645,9.461
NA,NA,NA,NA,12.665,0.484,13.605,24.558,0.853,12.665,10.406
NA,NA,NA,NA,12.685,0.561,13.625,25.766,0.891,12.685,10.483
NA,NA,NA,NA,12.705,0.504,13.645,24.508,0.852,12.705,10.114
NA,NA,NA,NA,12.725,0.538,13.665,25.47,0.882,12.725,8.506
NA,NA,NA,NA,12.745,0.508,13.685,25.429,0.88,12.745,9.005
NA,NA,NA,NA,12.765,0.554,13.705,25.503,0.883,12.765,8.425
NA,NA,NA,NA,12.785,0.461,13.725,25.581,0.885,12.785,9.651
NA,NA,NA,NA,12.805,0.501,13.745,25.739,0.89,12.805,6.937
NA,NA,NA,NA,12.825,0.501,13.765,25.109,0.87,12.825,9.67
NA,NA,NA,NA,12.845,0.629,13.785,25.873,0.894,12.845,6.465
NA,NA,NA,NA,12.865,0.493,13.825,25.483,0.882,12.865,8.14
NA,NA,NA,NA,12.885,0.514,13.865,25.448,0.881,12.885,5.353
NA,NA,NA,NA,12.905,0.46,13.905,25.53,0.883,12.905,8.328
NA,NA,NA,NA,12.925,0.465,13.945,26.147,0.903,12.925,8.125
NA,NA,NA,NA,12.945,0.469,13.965,25.309,0.877,12.945,9.321
NA,NA,NA,NA,12.965,0.521,13.985,26.023,0.899,12.965,6.576
NA,NA,NA,NA,12.985,0.568,14.025,25.956,0.897,12.985,8.249
NA,NA,NA,NA,13.005,0.489,14.065,25.579,0.885,13.005,7.147
NA,NA,NA,NA,13.025,0.516,14.085,25.707,0.889,13.025,7.429
NA,NA,NA,NA,13.045,0.528,14.105,25.72,0.889,13.045,4.812
NA,NA,NA,NA,13.065,0.43,14.145,25.786,0.891,13.065,7.646
NA,NA,NA,NA,13.085,0.546,14.165,26.001,0.898,13.085,6.095
NA,NA,NA,NA,13.105,0.484,14.185,26.193,0.904,13.105,6.618
NA,NA,NA,NA,13.125,0.459,14.205,25.634,0.887,13.125,7.842
NA,NA,NA,NA,13.145,0.516,14.225,26.392,0.91,13.145,5.882
NA,NA,NA,NA,13.165,0.474,14.245,25.567,0.885,13.165,5.183
NA,NA,NA,NA,13.185,0.455,14.265,26.413,0.911,13.185,6.449
NA,NA,NA,NA,13.205,0.494,14.285,25.79,0.892,13.205,4.555
NA,NA,NA,NA,13.225,0.53,14.305,26.21,0.905,13.225,6.923
NA,NA,NA,NA,13.245,0.498,14.325,25.752,0.89,13.245,3.967
NA,NA,NA,NA,13.265,0.468,14.345,26.199,0.904,13.265,4.774
NA,NA,NA,NA,13.285,0.452,14.365,25.685,0.888,13.285,8.467
NA,NA,NA,NA,13.305,0.593,14.385,26.309,0.908,13.305,5.294
NA,NA,NA,NA,13.325,0.491,14.405,25.69,0.888,13.325,6.642
NA,NA,NA,NA,13.345,0.491,14.425,26.159,0.903,13.345,7.597
