depth (m),year (AD),age (BP),d18O (d18O)
120.57,-28.7,1978.7,-41.37
120.68,-31.3,1981.3,-40.28
120.79,-33.8,1983.8,-38.81
120.9,-36.3,1986.3,-38.86
121.01,-38.8,1988.8,-39.09
121.12,-41.4,1991.4,-39.14
121.23,-43.8,1993.8,-40.69
121.34,-46.4,1996.4,-40.66
121.45,-48.9,1998.9,-40.14
121.56,-51.4,2001.4,-39.32
121.67,-53.9,2003.9,-38.66
121.76,-56.1,2006.1,-39.84
121.89,-59,2009,-37.47
122,-61.5,2011.5,-38.49
122.12,-64.3,2014.3,-38.46
122.22,-66.5,2016.5,-39.43
122.33,-69,2019,-38.39
122.44,-71.5,2021.5,-39.61
122.55,-74.1,2024.1,NA
122.66,-76.6,2026.6,-40.37
122.77,-79.1,2029.1,-41.64
122.88,-81.6,2031.6,-41.57
122.99,-84.1,2034.1,-38.76
123.12,-87.2,2037.2,-39.53
123.21,-89.2,2039.2,-42.21
123.32,-91.7,2041.7,-42.18
123.44,-94.5,2044.5,-41.52
123.54,-96.7,2046.7,-40.43
123.65,-99.2,2049.2,-40.76
123.79,-102.5,2052.5,-41.69
123.87,-104.3,2054.3,-41.46
123.98,-106.8,2056.8,-40.29
124.09,-109.3,2059.3,-39.64
124.2,-111.8,2061.8,-38.09
124.31,-114.3,2064.3,-36.59
124.42,-116.9,2066.9,-39.23
124.53,-119.4,2069.4,-40.67
124.64,-121.9,2071.9,-41.95
124.75,-124.4,2074.4,-42.49
124.86,-126.9,2076.9,-43.31
124.97,-129.4,2079.4,-41.44
125.08,-132,2082,NA
125.22,-135.3,2085.3,-38.77
125.3,-137.1,2087.1,-39.71
125.41,-139.7,2089.7,-40.94
125.51,-142.2,2092.2,-39.44
125.62,-144.8,2094.8,-39.77
125.73,-147.4,2097.4,-39.93
125.84,-150,2100,-40.69
125.95,-152.5,2102.5,-39.37
126.06,-155.1,2105.1,NA
126.17,-157.7,2107.7,-39.73
126.28,-160.3,2110.3,-38.29
126.39,-162.8,2112.8,-39.38
126.5,-165.4,2115.4,-42.17
126.61,-168,2118,-40.95
126.71,-170.6,2120.6,NA
126.82,-173.2,2123.2,-40.45
126.93,-175.7,2125.7,-40.09
127.04,-178.3,2128.3,-39.26
127.12,-180.2,2130.2,-40.43
127.26,-183.4,2133.4,-38.11
127.36,-186,2136,NA
127.47,-188.5,2138.5,-40.37
127.58,-191.1,2141.1,NA
127.69,-193.6,2143.6,-43.66
127.8,-196.2,2146.2,-41.2
127.9,-198.7,2148.7,NA
128.04,-201.8,2151.8,-36.83
128.12,-203.8,2153.8,-37.92
128.23,-206.4,2156.4,NA
128.34,-208.9,2158.9,-39.78
128.45,-211.5,2161.5,-39.3
128.55,-214.1,2164.1,NA
128.66,-216.6,2166.6,-40.85
128.77,-219.2,2169.2,NA
128.99,-224.3,2174.3,-41.32
129.12,-227.5,2177.5,NA
129.2,-229.4,2179.4,-37.65
129.31,-231.9,2181.9,NA
129.42,-234.5,2184.5,-38.19
129.52,-237,2187,-38.86
129.63,-239.6,2189.6,NA
129.72,-241.6,2191.6,-40.45
129.85,-244.7,2194.7,NA
129.96,-247.2,2197.2,-39.04
130.07,-249.8,2199.8,NA
130.28,-254.9,2204.9,-39.05
130.39,-257.5,2207.5,-40.09
130.5,-260,2210,NA
130.6,-262.6,2212.6,-39.92
130.71,-265.1,2215.1,-40.29
130.82,-267.7,2217.7,NA
130.93,-270.3,2220.3,-41.19
131.04,-272.8,2222.8,-40.7
131.12,-274.9,2224.9,-38.87
131.25,-278,2228,-39.65
131.36,-280.5,2230.5,-39.55
131.46,-283.1,2233.1,-40.05
131.57,-285.7,2235.7,-39.26
131.68,-288.2,2238.2,-38.84
131.79,-290.8,2240.8,NA
132.21,-301,2251,-39.18
132.32,-303.6,2253.6,-40.88
132.43,-306.2,2256.2,-42.11
132.53,-308.7,2258.7,-42.13
132.64,-311.3,2261.3,-40.22
132.75,-313.9,2263.9,-41.33
132.85,-316.4,2266.4,-40.15
132.96,-319,2269,-41.4
133.07,-321.5,2271.5,-40.49
133.18,-324.1,2274.1,-39.59
133.28,-326.7,2276.7,-39.22
133.39,-329.2,2279.2,-40.11
133.5,-331.8,2281.8,NA
133.6,-334.4,2284.4,-41
133.71,-336.9,2286.9,NA
133.82,-339.5,2289.5,-41.05
133.93,-342.1,2292.1,-39.26
134.03,-344.6,2294.6,NA
134.12,-346.7,2296.7,-39.77
134.35,-352.3,2302.3,-41.9
134.46,-354.8,2304.8,-39.4
134.55,-357,2307,-39.51
134.67,-359.9,2309.9,NA
134.78,-362.4,2312.4,-39.79
134.99,-367.5,2317.5,-40.83
135.12,-370.7,2320.7,-42.27
135.22,-373,2323,-42.19
135.31,-375.1,2325.1,NA
135.41,-377.7,2327.7,-41.02
135.52,-380.2,2330.2,-40.51
135.62,-382.8,2332.8,NA
135.73,-385.3,2335.3,-40.23
135.84,-387.8,2337.8,-39.36
135.94,-390.4,2340.4,NA
136.05,-392.9,2342.9,-40.26
136.15,-395.5,2345.5,-40.01
136.26,-398,2348,NA
136.37,-400.6,2350.6,-40.99
136.47,-403.2,2353.2,-40.6
136.58,-405.7,2355.7,NA
136.79,-410.9,2360.9,-43.03
136.9,-413.5,2363.5,NA
137,-416.1,2366.1,-38.96
137.12,-419,2369,-38.41
137.21,-421.3,2371.3,NA
137.32,-423.9,2373.9,-41.02
137.43,-426.4,2376.4,NA
137.64,-431.6,2381.6,-39.99
137.74,-434.2,2384.2,NA
137.96,-439.4,2389.4,-40.71
138.06,-442,2392,-39.45
138.17,-444.5,2394.5,NA
138.27,-447.1,2397.1,-39.68
138.38,-449.7,2399.7,NA
138.8,-460,2410,-40.61
138.91,-462.6,2412.6,-39.72
139.01,-465.1,2415.1,NA
139.12,-467.8,2417.8,-39.86
139.22,-470.3,2420.3,-41.69
139.33,-472.8,2422.8,-41.11
139.43,-475.4,2425.4,-39.5
139.54,-478,2428,-39.34
139.64,-480.5,2430.5,NA
139.75,-483.1,2433.1,-39.59
139.85,-485.6,2435.6,NA
140.06,-490.8,2440.8,-40.61
140.17,-493.3,2443.3,-40.56
140.27,-495.9,2445.9,-39.56
140.36,-498,2448,-38.74
140.48,-501,2451,-38.38
140.59,-503.6,2453.6,-38.88
140.69,-506.1,2456.1,-39.33
140.8,-508.7,2458.7,-39.11
140.9,-511.3,2461.3,-40.07
141.01,-513.8,2463.8,-41.11
141.11,-516.4,2466.4,NA
141.22,-519,2469,-42.55
141.32,-521.5,2471.5,-42.28
141.43,-524,2474,-39.78
141.53,-526.6,2476.6,-38.27
141.63,-529.1,2479.1,-39.64
141.74,-531.6,2481.6,-40.66
141.84,-534.2,2484.2,-40.22
141.95,-536.8,2486.8,NA
142.05,-539.4,2489.4,-42.83
142.15,-542,2492,-42.15
142.26,-544.6,2494.6,-41.87
142.36,-547.1,2497.1,-41.47
142.46,-549.7,2499.7,-39.21
142.57,-552.3,2502.3,-39.9
142.67,-554.9,2504.9,-41.93
142.78,-557.5,2507.5,-42.12
142.88,-560.1,2510.1,-39.28
142.99,-562.7,2512.7,-38.26
143.09,-565.3,2515.3,-39.54
143.19,-567.9,2517.9,-39.82
143.3,-570.5,2520.5,NA
143.4,-573.1,2523.1,-41.44
143.51,-575.6,2525.6,-41.93
143.61,-578.2,2528.2,-41.62
143.71,-580.8,2530.8,-42.11
143.82,-583.4,2533.4,-41.53
143.92,-586,2536,-41.04
144.02,-588.6,2538.6,-39.5
144.13,-591.2,2541.2,-39.24
144.22,-593.5,2543.5,-39.95
144.34,-596.4,2546.4,-40.25
144.44,-599,2549,-39.28
144.54,-601.6,2551.6,-40.12
144.65,-604.1,2554.1,-40.59
144.75,-606.7,2556.7,-39.86
144.86,-609.3,2559.3,-38.7
144.96,-611.9,2561.9,-40.67
145.07,-614.5,2564.5,-40.43
145.16,-617,2567,-39.65
145.26,-619.5,2569.5,NA
145.37,-622,2572,-39.75
145.46,-624.5,2574.5,NA
145.57,-627,2577,-40.75
145.66,-629.5,2579.5,-41.99
145.76,-631.9,2581.9,-40.28
145.87,-634.4,2584.4,-38.45
145.96,-636.9,2586.9,-38.54
146.07,-639.4,2589.4,-37.78
146.16,-641.9,2591.9,-39.03
146.26,-644.4,2594.4,-40.17
146.38,-647.4,2597.4,-38.45
146.46,-649.4,2599.4,-39.27
146.57,-651.9,2601.9,-37.74
146.66,-654.4,2604.4,-37.88
146.76,-656.9,2606.9,-37.8
146.87,-659.3,2609.3,-39.36
146.96,-661.8,2611.8,-41.33
147.07,-664.3,2614.3,-39.7
147.16,-666.8,2616.8,-38.76
147.26,-669.3,2619.3,-37.5
147.37,-671.8,2621.8,-38.9
147.46,-674.3,2624.3,-41.88
147.57,-676.9,2626.9,-42.12
147.66,-679.4,2629.4,NA
147.76,-682,2632,-40.56
147.87,-684.5,2634.5,-38.59
147.96,-687,2637,-34.36
148.07,-689.6,2639.6,-38.81
148.16,-692.1,2642.1,-40.15
148.26,-694.7,2644.7,NA
148.37,-697.2,2647.2,-39.81
148.46,-699.7,2649.7,-40.59
148.57,-702.3,2652.3,-41.72
148.66,-704.8,2654.8,-42.13
148.76,-707.3,2657.3,-41.75
148.87,-709.9,2659.9,-40.93
148.96,-712.4,2662.4,-39.88
149.07,-715,2665,-40.57
149.16,-717.5,2667.5,NA
149.26,-720,2670,-41.93
149.37,-722.6,2672.6,-39.96
149.46,-725.1,2675.1,-39.38
149.57,-727.6,2677.6,-39.08
149.66,-730.2,2680.2,-37.93
149.76,-732.7,2682.7,-37.8
149.87,-735.3,2685.3,-39.36
149.96,-737.8,2687.8,-39.05
150.07,-740.3,2690.3,-39.52
150.16,-742.9,2692.9,-40.33
150.24,-744.7,2694.7,NA
150.33,-747.1,2697.1,-42.44
150.46,-750.5,2700.5,-41.25
150.57,-753,2703,-41.41
150.66,-755.6,2705.6,NA
150.76,-758.1,2708.1,-42.86
150.87,-760.6,2710.6,-40.47
150.96,-763.2,2713.2,NA
151.07,-765.7,2715.7,-40.98
151.16,-768.3,2718.3,-41.07
151.26,-770.8,2720.8,-41.09
151.37,-773.3,2723.3,-39.21
151.46,-775.9,2725.9,-38.34
151.57,-778.4,2728.4,-40.51
151.69,-781.6,2731.6,-39.68
151.76,-783.5,2733.5,-39.6
151.87,-786,2736,-40.73
151.96,-788.6,2738.6,NA
152.09,-791.7,2741.7,-39.11
152.16,-793.6,2743.6,-38.94
152.26,-796.2,2746.2,-40.1
152.37,-798.7,2748.7,-41.55
152.46,-801.2,2751.2,-39.29
152.57,-803.8,2753.8,-37.38
152.66,-806.3,2756.3,-37
152.76,-808.9,2758.9,-36.99
152.87,-811.4,2761.4,-37.59
152.96,-814,2764,-37.61
153.07,-816.6,2766.6,-38.29
153.16,-819.2,2769.2,-40.77
153.26,-821.8,2771.8,-39.81
153.37,-824.3,2774.3,-39
153.46,-826.9,2776.9,NA
153.57,-829.5,2779.5,-41.08
153.66,-832.1,2782.1,-40.89
153.76,-834.7,2784.7,-41.45
153.87,-837.3,2787.3,-41.77
153.96,-839.9,2789.9,-41.33
154.07,-842.5,2792.5,-39.32
154.16,-845.1,2795.1,-40.19
154.24,-847,2797,-40.84
154.37,-850.2,2800.2,-39.28
154.46,-852.8,2802.8,-38.44
154.57,-855.4,2805.4,-39.19
154.66,-858,2808,-39.02
154.76,-860.6,2810.6,-37.41
154.87,-863.2,2813.2,-37.4
154.96,-865.8,2815.8,NA
155.07,-868.4,2818.4,-39.25
155.16,-870.9,2820.9,-39.26
155.24,-873,2823,-39.92
155.35,-875.7,2825.7,-39.6
155.46,-878.7,2828.7,-39.56
155.57,-881.3,2831.3,-39.9
155.66,-883.9,2833.9,-38.53
155.76,-886.5,2836.5,-37.8
155.96,-891.7,2841.7,-40.66
156.07,-894.3,2844.3,-41.33
156.16,-896.8,2846.8,NA
156.24,-898.7,2848.7,-41.02
156.37,-902,2852,-40.1
156.46,-904.6,2854.6,-40.24
156.57,-907.2,2857.2,-41.38
156.66,-909.8,2859.8,NA
156.76,-912.4,2862.4,-37.18
156.87,-915,2865,-37.81
156.96,-917.6,2867.6,-39.05
157.07,-920.1,2870.1,-41.65
157.16,-922.7,2872.7,-41.27
157.29,-926.1,2876.1,NA
157.37,-927.9,2877.9,-40.43
157.46,-930.5,2880.5,-41.49
157.57,-933.1,2883.1,-41.58
157.66,-935.7,2885.7,-41.06
157.76,-938.3,2888.3,-39.23
157.87,-940.9,2890.9,-37.81
157.96,-943.4,2893.4,-39.62
158.07,-946,2896,-40.47
158.16,-948.6,2898.6,NA
158.26,-951.2,2901.2,-39.28
158.37,-953.8,2903.8,-40.38
158.46,-956.4,2906.4,-39.8
158.57,-959.1,2909.1,-38.92
158.66,-961.7,2911.7,-40.38
158.76,-964.4,2914.4,-40.93
158.87,-967,2917,-39.01
158.96,-969.6,2919.6,-39.06
159.07,-972.3,2922.3,-38.71
159.16,-974.9,2924.9,-38.53
159.24,-976.9,2926.9,-39.72
159.37,-980.2,2930.2,-39.74
159.46,-982.9,2932.9,-39.18
159.57,-985.5,2935.5,-40.19
159.66,-988,2938,-39.18
159.76,-990.8,2940.8,NA
159.87,-993.4,2943.4,-41.02
159.96,-996.1,2946.1,-41.24
160.07,-998.7,2948.7,-42.46
160.14,-1000.7,2950.7,-41.94
160.23,-1003.1,2953.1,-39.04
160.37,-1006.7,2956.7,-39.32
160.46,-1009.3,2959.3,-39.45
160.57,-1011.9,2961.9,-39.62
160.66,-1014.6,2964.6,-40.8
160.76,-1017.2,2967.2,-40.01
160.87,-1019.9,2969.9,-37.92
160.96,-1022.5,2972.5,-38.84
161.07,-1025.2,2975.2,-39.15
161.14,-1027.1,2977.1,-40.01
161.25,-1030.1,2980.1,-41.18
161.37,-1033.1,2983.1,-41.07
161.46,-1035.7,2985.7,-38.94
161.57,-1038.4,2988.4,-38.5
161.66,-1041,2991,-39.76
161.76,-1043.7,2993.7,-39.07
161.87,-1046.3,2996.3,NA
161.96,-1049,2999,-35.44
162.05,-1051.2,3001.2,-36.17
162.14,-1053.6,3003.6,-38.19
162.26,-1056.9,3006.9,-41.54
162.37,-1059.5,3009.5,-42.25
162.46,-1062.2,3012.2,-42.19
162.57,-1064.8,3014.8,-41.37
162.66,-1067.5,3017.5,-39.42
162.76,-1070.1,3020.1,-39.68
162.87,-1072.8,3022.8,-40.51
162.96,-1075.4,3025.4,-38.02
163.07,-1078,3028,-38.09
163.14,-1080,3030,-38.84
163.26,-1083.3,3033.3,-40.4
163.37,-1086,3036,-39.55
163.46,-1088.6,3038.6,-38.62
163.57,-1091.3,3041.3,-38.1
163.66,-1093.9,3043.9,-40.26
163.76,-1096.5,3046.5,-41.36
163.87,-1099.2,3049.2,-39.73
163.95,-1101.4,3051.4,-38.4
164.07,-1104.5,3054.5,-38.51
164.16,-1107.2,3057.2,-38.56
164.26,-1109.9,3059.9,-38.75
164.37,-1112.6,3062.6,-37.75
164.46,-1115.3,3065.3,-38.32
164.57,-1118,3068,-38.52
164.66,-1120.7,3070.7,-40.52
164.76,-1123.3,3073.3,-42.02
164.87,-1126,3076,-39.73
164.96,-1128.7,3078.7,-37.94
165.07,-1131.5,3081.5,NA
165.12,-1132.9,3082.9,-39.03
165.26,-1136.8,3086.8,-40.04
165.37,-1139.5,3089.5,-39.06
165.46,-1142.1,3092.1,-39.96
165.57,-1144.8,3094.8,-39.46
165.66,-1147.5,3097.5,NA
165.76,-1150.2,3100.2,-37.95
165.87,-1152.9,3102.9,-38.2
165.96,-1155.6,3105.6,-38.67
166.07,-1158.3,3108.3,-38.25
166.16,-1160.9,3110.9,-39.45
166.26,-1163.6,3113.6,-40.04
166.37,-1166.3,3116.3,-37.59
166.46,-1169,3119,-37.92
166.57,-1171.7,3121.7,-38.21
166.66,-1174.4,3124.4,-39.21
166.76,-1177.1,3127.1,-40.42
166.87,-1179.8,3129.8,-39.92
166.96,-1182.4,3132.4,-39.29
167.07,-1185.1,3135.1,-41.95
167.16,-1187.8,3137.8,NA
167.26,-1190.5,3140.5,-41.51
167.37,-1193.2,3143.2,-41
167.46,-1195.9,3145.9,-40.44
167.57,-1198.6,3148.6,-38.81
167.66,-1201.2,3151.2,-39.24
167.76,-1203.9,3153.9,-40.92
167.87,-1206.6,3156.6,-40.03
167.96,-1209.3,3159.3,-37.9
168.07,-1212,3162,-38.97
168.16,-1214.7,3164.7,-40.39
168.26,-1217.4,3167.4,-39.77
168.37,-1220,3170,-38.65
168.46,-1222.7,3172.7,-35.56
168.57,-1225.4,3175.4,-36.49
168.66,-1228.1,3178.1,-36.69
168.76,-1230.8,3180.8,-38.49
168.87,-1233.5,3183.5,-39.02
168.96,-1236.2,3186.2,-39.93
169.07,-1238.9,3188.9,-41.44
169.16,-1241.5,3191.5,-41.5
169.26,-1244.2,3194.2,-42.2
169.37,-1246.9,3196.9,-41.12
169.46,-1249.6,3199.6,NA
169.57,-1252.4,3202.4,-39.44
169.66,-1255.1,3205.1,-40.09
169.76,-1257.8,3207.8,-40.75
169.87,-1260.6,3210.6,-39.42
169.96,-1263.3,3213.3,-39.56
170.07,-1266.1,3216.1,-42.05
170.19,-1269.5,3219.5,-39.86
170.26,-1271.6,3221.6,-38.59
170.37,-1274.3,3224.3,-40.42
170.46,-1277.1,3227.1,-40.95
170.57,-1279.8,3229.8,-39.08
170.66,-1282.6,3232.6,-40.6
170.76,-1285.3,3235.3,NA
170.86,-1287.9,3237.9,-37.49
170.96,-1290.8,3240.8,-39.67
171.07,-1293.6,3243.6,-41
171.16,-1296.3,3246.3,-41.6
171.26,-1299.1,3249.1,-40.03
171.37,-1301.8,3251.8,-39.43
171.46,-1304.6,3254.6,-39.66
171.57,-1307.3,3257.3,-38.66
171.66,-1310,3260,-39.45
171.76,-1312.8,3262.8,-39.27
171.87,-1315.5,3265.5,-37.91
171.96,-1318.3,3268.3,-36.38
172.07,-1321,3271,-36.99
172.16,-1323.8,3273.8,-38.73
172.26,-1326.5,3276.5,-39.62
172.37,-1329.3,3279.3,-40.17
172.46,-1332,3282,-40.28
172.55,-1334.4,3284.4,-39.33
172.66,-1337.5,3287.5,-38.84
172.76,-1340.3,3290.3,-38
172.9,-1343.8,3293.8,-39.62
173,-1346.7,3296.7,NA
173.1,-1349.5,3299.5,-40.33
173.16,-1351.3,3301.3,-39.4
173.26,-1354,3304,-40.39
173.37,-1356.7,3306.7,-38.35
173.46,-1359.5,3309.5,-38.89
173.57,-1362.2,3312.2,-39.68
173.66,-1365,3315,-40.13
173.76,-1367.7,3317.7,-40.89
173.87,-1370.5,3320.5,-42.78
173.96,-1373.2,3323.2,-40.95
174.07,-1376,3326,-39.13
174.16,-1378.7,3328.7,-39.57
174.3,-1382.4,3332.4,-39.26
174.37,-1384.2,3334.2,-38.69
174.46,-1387,3337,-41.09
174.57,-1389.7,3339.7,-41.18
174.66,-1392.5,3342.5,-43.43
174.76,-1395.2,3345.2,-43.6
174.87,-1398,3348,-40.39
174.96,-1400.7,3350.7,-39.61
175.07,-1403.5,3353.5,-38.64
175.16,-1406.3,3356.3,NA
175.26,-1409.1,3359.1,-40.32
175.37,-1411.9,3361.9,-40.96
175.46,-1414.7,3364.7,-39.96
175.57,-1417.5,3367.5,-39
175.66,-1420.3,3370.3,-37.63
175.76,-1423.1,3373.1,-38.5
175.87,-1425.9,3375.9,-41.88
175.96,-1428.7,3378.7,-39.59
176.07,-1431.5,3381.5,-37.51
176.16,-1434.3,3384.3,-38.72
176.26,-1437.1,3387.1,-39.97
176.37,-1439.9,3389.9,-39.52
176.46,-1442.7,3392.7,-39.81
176.57,-1445.5,3395.5,-38.33
176.66,-1448.3,3398.3,-38.23
176.76,-1451.1,3401.1,-42.14
176.87,-1453.9,3403.9,NA
176.96,-1456.7,3406.7,-39.88
177.07,-1459.5,3409.5,-39.69
177.16,-1462.3,3412.3,NA
177.26,-1465.1,3415.1,-38.9
177.37,-1467.9,3417.9,-39.69
177.46,-1470.7,3420.7,-40.69
177.57,-1473.5,3423.5,-38.48
177.67,-1476.4,3426.4,-38.56
177.76,-1479.1,3429.1,-40.04
177.87,-1481.9,3431.9,-38.61
177.96,-1484.7,3434.7,-38.01
178.07,-1487.5,3437.5,-38.78
178.16,-1490.3,3440.3,-38.43
178.26,-1493.1,3443.1,-39.22
178.37,-1495.9,3445.9,-41.07
178.49,-1499.4,3449.4,-40.25
178.57,-1501.5,3451.5,-39.36
178.66,-1504.3,3454.3,-39.25
178.76,-1507.1,3457.1,-39.7
178.87,-1509.9,3459.9,-39.67
179.07,-1515.5,3465.5,-40.87
179.16,-1518.3,3468.3,-38.78
179.26,-1521.1,3471.1,-39.94
179.37,-1523.9,3473.9,-40.15
179.46,-1526.7,3476.7,-40.1
179.57,-1529.5,3479.5,-39.12
179.66,-1532.3,3482.3,-38.38
179.76,-1535.1,3485.1,-38.45
179.87,-1537.9,3487.9,-37.51
179.96,-1540.7,3490.7,-36.75
180.07,-1543.5,3493.5,-37.6
180.19,-1547,3497,-39.27
180.26,-1549.1,3499.1,-40.35
180.37,-1551.9,3501.9,-40.2
180.46,-1554.7,3504.7,-39.59
180.57,-1557.5,3507.5,-37.72
180.66,-1560.4,3510.4,-39.29
180.76,-1563.2,3513.2,-39.01
180.87,-1566.1,3516.1,-39.89
180.96,-1569,3519,-39.23
181.07,-1571.8,3521.8,-40.23
181.16,-1574.7,3524.7,-39.41
181.28,-1578,3528,-39.76
181.37,-1580.4,3530.4,-39.27
181.46,-1583.2,3533.2,-38.13
181.57,-1586.1,3536.1,-37.8
181.66,-1588.9,3538.9,-37.31
181.76,-1591.8,3541.8,-38.16
181.87,-1594.7,3544.7,-40.15
181.96,-1597.5,3547.5,-38.94
182.08,-1600.8,3550.8,-38.59
182.16,-1603.2,3553.2,-39.64
182.26,-1606.1,3556.1,-40.29
182.37,-1608.9,3558.9,-39.19
182.46,-1611.8,3561.8,-41.04
182.57,-1614.6,3564.6,-40.08
182.66,-1617.5,3567.5,-39.86
182.76,-1620.4,3570.4,-42.91
182.87,-1623.2,3573.2,-39.83
182.96,-1626.1,3576.1,-37.96
183.07,-1628.9,3578.9,-40.25
183.16,-1631.8,3581.8,-39.6
183.26,-1634.6,3584.6,-39.56
183.37,-1637.5,3587.5,-39.25
183.46,-1640.3,3590.3,-39.9
183.57,-1643.2,3593.2,-39.32
183.66,-1646.1,3596.1,-37.43
183.76,-1648.9,3598.9,-38.93
183.87,-1651.8,3601.8,-39.5
183.96,-1654.6,3604.6,-39.55
184.07,-1657.5,3607.5,-39.95
184.15,-1659.9,3609.9,-40.37
184.26,-1663.2,3613.2,-39.35
184.37,-1666,3616,NA
184.46,-1668.9,3618.9,-38.61
184.55,-1671.3,3621.3,-41.43
184.66,-1674.6,3624.6,-42
184.76,-1677.5,3627.5,-42.41
184.87,-1680.3,3630.3,-41.42
184.96,-1683.2,3633.2,-40.36
185.07,-1686,3636,-38.77
185.16,-1688.9,3638.9,-38.3
185.26,-1691.7,3641.7,-39.49
185.37,-1694.6,3644.6,-39.39
185.48,-1697.9,3647.9,-39.05
185.57,-1700.3,3650.3,-41.04
185.66,-1703.2,3653.2,-39.37
185.76,-1706,3656,-40.18
185.87,-1708.9,3658.9,-40
185.96,-1711.7,3661.7,-41.57
186.07,-1714.6,3664.6,-41.04
186.16,-1717.5,3667.5,-39.98
186.26,-1720.4,3670.4,-39.6
186.37,-1723.4,3673.4,-41.95
186.46,-1726.3,3676.3,-40.35
186.57,-1729.2,3679.2,-38.56
186.66,-1732.1,3682.1,-40.08
186.76,-1735,3685,-40.4
186.87,-1738,3688,-40.62
186.96,-1740.9,3690.9,-40.91
187.07,-1743.8,3693.8,-39.93
187.16,-1746.7,3696.7,NA
187.26,-1749.6,3699.6,-40.79
187.37,-1752.6,3702.6,-40.35
187.46,-1755.5,3705.5,-40.11
187.57,-1758.4,3708.4,-40.78
187.66,-1761.3,3711.3,-40.42
187.76,-1764.2,3714.2,-41.17
187.87,-1767.2,3717.2,-40.72
187.96,-1770.1,3720.1,-39.24
188.07,-1773,3723,-37.87
188.16,-1775.9,3725.9,-38.72
188.26,-1778.8,3728.8,-41.36
188.37,-1781.8,3731.8,-40.13
188.46,-1784.4,3734.4,-40.9
188.57,-1787.6,3737.6,-39.7
188.66,-1790.5,3740.5,-39.36
188.76,-1793.4,3743.4,-38
188.87,-1796.4,3746.4,-38.06
188.96,-1799.3,3749.3,-39.05
189.07,-1802.2,3752.2,-39.71
189.16,-1805.1,3755.1,-38.67
189.26,-1808,3758,-39.16
189.37,-1811,3761,-38.95
189.49,-1814.6,3764.6,-40
189.57,-1816.8,3766.8,-39.36
189.66,-1819.7,3769.7,-39.8
189.76,-1822.6,3772.6,-39.34
189.87,-1825.6,3775.6,-39.19
189.96,-1828.5,3778.5,-39.18
190.07,-1831.4,3781.4,NA
190.26,-1837.2,3787.2,-36.86
190.37,-1840.2,3790.2,-38.74
190.46,-1843.1,3793.1,-39.42
190.57,-1846,3796,-37.92
190.66,-1848.9,3798.9,-39.12
190.76,-1851.8,3801.8,-40.45
190.87,-1854.8,3804.8,-40.15
190.96,-1857.7,3807.7,-37.85
191.07,-1860.6,3810.6,NA
191.16,-1863.5,3813.5,-37.19
191.24,-1865.7,3815.7,-38.53
191.37,-1869.4,3819.4,-41.19
191.46,-1872.3,3822.3,-39.18
191.57,-1875.2,3825.2,-40.58
191.66,-1878.2,3828.2,-40.79
191.76,-1881.1,3831.1,-39.56
191.87,-1884.1,3834.1,-38.66
191.96,-1887.1,3837.1,-39.15
192.07,-1890,3840,-38.17
192.16,-1893,3843,-37.12
192.26,-1896,3846,-38.89
192.37,-1898.9,3848.9,-37.96
192.46,-1901.9,3851.9,-37.31
192.57,-1904.9,3854.9,-38.88
192.66,-1907.8,3857.8,-40.16
192.76,-1910.8,3860.8,-39.98
192.87,-1913.8,3863.8,-38.11
192.96,-1916.7,3866.7,-38.41
193.07,-1919.7,3869.7,-37.76
193.16,-1922.7,3872.7,-38.76
193.26,-1925.6,3875.6,-39.53
193.37,-1928.6,3878.6,-39.89
193.46,-1931.5,3881.5,-38.68
193.57,-1934.5,3884.5,-40.16
193.66,-1937.5,3887.5,-42.06
193.76,-1940.4,3890.4,-41.51
193.87,-1943.4,3893.4,-38.73
193.96,-1946.4,3896.4,-39.33
194.07,-1949.3,3899.3,-40.72
194.16,-1952.3,3902.3,-39.11
194.26,-1955.3,3905.3,-39.49
194.37,-1958.2,3908.2,-39.64
194.46,-1961.2,3911.2,-39.56
194.57,-1964.2,3914.2,-39.96
194.66,-1967.1,3917.1,-40.64
194.76,-1970.1,3920.1,-37.72
194.87,-1973.1,3923.1,NA
194.96,-1976,3926,-38.31
195.05,-1978.6,3928.6,-37.18
195.16,-1982,3932,NA
196.13,-2010.6,3960.6,-40.01
196.26,-2014.6,3964.6,NA
196.37,-2017.6,3967.6,-37.93
196.46,-2020.5,3970.5,-38.8
196.57,-2023.5,3973.5,-40.2
196.66,-2026.5,3976.5,-39.83
196.76,-2029.4,3979.4,-38.84
196.87,-2032.4,3982.4,-40.23
196.96,-2035.4,3985.4,-38.99
197.07,-2038.3,3988.3,-40.1
197.13,-2040.3,3990.3,-38.73
197.26,-2044.5,3994.5,-37.75
197.37,-2047.6,3997.6,-37.88
197.46,-2050.8,4000.8,-38.33
197.57,-2053.9,4003.9,NA
197.66,-2056.8,4006.8,-38.87
197.76,-2060.1,4010.1,-40.39
197.87,-2063.2,4013.2,-40.82
197.96,-2066.3,4016.3,-39.35
198.07,-2069.5,4019.5,-38.36
198.16,-2072.6,4022.6,-39.97
198.26,-2075.7,4025.7,-39.34
198.37,-2078.8,4028.8,-40.78
198.46,-2081.9,4031.9,-41.06
198.57,-2085,4035,-42.46
198.66,-2088.2,4038.2,-41.9
198.76,-2091.3,4041.3,-40.85
