depth (m),age (BP),temperature (degC),Bag (missing),dD (permil)
843.7,50361.867,-7.06,1535,-430.7
844.25,50410.582,-7.05,1536,-430.7
844.8,50458.059,-5.64,1537,-422.1
845.35,50503.324,-7.17,1538,-431.4
845.9,50551.129,-7.43,1539,-433
846.45,50601.926,-8.11,1540,-437.1
847,50652.473,-6.25,1541,-425.8
847.55,50700.59,-7.02,1542,-430.5
848.1,50748.691,-7.48,1543,-433.3
848.65,50797.711,-6.59,1544,-427.9
849.2,50846.262,-7.5,1545,-433.4
849.75,50895.844,-7.37,1546,-432.6
850.3,50945.406,-6.69,1547,-428.5
850.85,50993.117,-6.71,1548,-428.6
851.4,51040.801,-7.84,1549,-435.5
851.95,51092.344,-7.38,1550,-432.7
852.5,51142.754,-7.38,1551,-432.7
853.05,51192.887,-7.22,1552,-431.7
853.6,51242.348,-6.95,1553,-430.1
854.15,51290.672,-7.02,1554,-430.5
854.7,51339.152,-6.77,1555,-429
855.25,51386.973,-7.21,1556,-431.7
855.8,51435.703,-6.61,1557,-428
856.35,51482.785,-6.42,1558,-426.9
856.9,51528.473,-5.98,1559,-424.2
857.45,51574.801,-7.41,1560,-432.9
858,51622.457,-6.57,1561,-427.8
858.55,51670.898,-7.35,1562,-432.5
859.1,51718.859,-6.11,1563,-425
859.65,51765.238,-6.64,1564,-428.2
860.2,51811.301,-5.49,1565,-421.2
860.75,51854.359,-6.81,1566,-429.2
861.3,51901.379,-6.26,1567,-425.9
861.85,51946.812,-5.97,1568,-424.1
862.4,51989.656,-4.62,1569,-415.9
862.95,52032.055,-6.36,1570,-426.5
863.5,52074.91,-5.24,1571,-419.7
864.05,52117.363,-6.23,1572,-425.7
864.6,52162.777,-7.27,1573,-432
865.15,52211.742,-6.32,1574,-426.2
865.7,52258.27,-6.86,1575,-429.5
866.25,52305.238,-6.32,1576,-426.2
866.8,52351.887,-6.75,1577,-428.8
867.35,52398.062,-6.07,1578,-424.7
867.9,52443.02,-5.66,1579,-422.2
868.45,52487.637,-7.04,1580,-430.6
869,52534.523,-5.97,1581,-424.1
869.55,52579.5,-6.35,1582,-426.4
870.1,52624.863,-5.28,1583,-419.9
870.65,52667.992,-6.72,1584,-428.6
871.2,52713.391,-6.11,1585,-424.9
871.75,52757.066,-4.61,1586,-415.8
872.3,52799.262,-6.11,1587,-424.9
872.85,52842.574,-6.18,1588,-425.3
873.4,52887.664,-6.62,1589,-428
873.95,52934.633,-6.82,1590,-429.2
874.5,52982.164,-6.33,1591,-426.2
875.05,53026.152,-4.25,1592,-413.6
875.6,53067.469,-5.75,1593,-422.7
876.15,53109.516,-6.18,1594,-425.3
876.7,53153.277,-5.08,1595,-418.6
877.25,53194.918,-5.41,1596,-420.6
877.8,53236.648,-5.03,1597,-418.3
878.35,53277.645,-5.18,1598,-419.2
878.9,53318.355,-4.95,1599,-417.8
879.45,53358.883,-4.92,1600,-417.6
880,53399.074,-4.99,1601,-418
880.55,53439.734,-5.29,1602,-419.8
881.1,53482.047,-6.18,1603,-425.2
881.65,53526.242,-6.3,1604,-425.9
882.2,53571.465,-6.08,1605,-424.6
882.75,53617.312,-7.19,1606,-431.3
883.3,53665.66,-6.87,1607,-429.4
883.85,53713.875,-6.66,1608,-428.1
884.4,53760.93,-5.54,1609,-421.3
884.95,53803.977,-6.25,1610,-425.6
885.5,53848.434,-5.54,1611,-421.3
886.05,53892.652,-6.52,1612,-427.2
886.6,53937.773,-6.25,1613,-425.6
887.15,53983.992,-6.67,1614,-428.1
887.7,54030.562,-6.5,1615,-427.1
888.25,54077.605,-6.98,1616,-430
888.8,54124.965,-5.66,1617,-422
889.35,54168.859,-5.96,1618,-423.8
889.9,54213.023,-5.83,1619,-423
890.45,54256.406,-5.42,1620,-420.5
891,54300.68,-7.04,1621,-430.3
891.55,54347.492,-6.9,1622,-429.5
892.1,54395.875,-6.86,1623,-429.2
892.65,54444.613,-7.4,1624,-432.5
893.2,54494.551,-7.4,1625,-432.5
893.75,54544.465,-6.79,1626,-428.8
894.3,54593.77,-7.62,1627,-433.8
894.85,54644.82,-7.9,1628,-435.5
895.4,54696.941,-7.37,1629,-432.3
895.95,54748,-7.39,1630,-432.4
896.5,54797,-5.94,1631,-423.6
897.05,54843.18,-6.6,1632,-427.6
897.6,54889.723,-6.76,1633,-428.6
898.15,54937.148,-6.14,1634,-424.8
898.7,54982.285,-5.79,1635,-422.7
899.25,55026.777,-6.93,1636,-429.6
899.8,55074.363,-6.82,1637,-428.9
900.35,55121.629,-6.04,1638,-424.2
900.9,55168.18,-7.05,1639,-430.3
901.45,55215.82,-6.85,1640,-429.1
902,55263.609,-6.34,1641,-426
902.55,55310.402,-6.59,1642,-427.5
903.1,55358.383,-7.81,1643,-434.9
903.65,55408.691,-6.79,1644,-428.7
904.2,55457.594,-6.77,1645,-428.6
904.75,55505.453,-6.81,1646,-428.8
905.3,55553.637,-7.19,1647,-431.1
905.85,55603.207,-7.37,1648,-432.2
906.4,55653.98,-7.91,1649,-435.5
906.95,55707.199,-8.33,1650,-438
907.5,55761.332,-7.32,1651,-431.9
908.05,55812.621,-7.35,1652,-432.1
908.6,55863.828,-8.13,1653,-436.8
909.15,55917.734,-8.38,1654,-438.3
909.7,55971.254,-6.75,1655,-428.4
910.25,56022.844,-8.67,1656,-440.1
910.8,56076.238,-7.37,1657,-432.2
911.35,56128.324,-7.29,1658,-431.7
911.9,56177.805,-6.52,1659,-427
912.45,56225.895,-6.88,1660,-429.2
913,56275.207,-8.08,1661,-436.5
913.55,56326.391,-6.63,1662,-427.7
914.1,56375.695,-7,1663,-429.9
914.65,56424.375,-7.1,1664,-430.5
915.2,56473.809,-7.21,1665,-431.2
915.75,56523.164,-6.64,1666,-427.7
916.3,56570.906,-6.46,1667,-426.6
916.85,56618.129,-7.61,1668,-433.6
917.4,56668.941,-6.52,1669,-427
917.95,56716.477,-7.18,1670,-431
918.5,56766.141,-6.36,1671,-426
919.05,56812.32,-6.13,1672,-424.6
919.6,56857.906,-6.56,1673,-427.2
920.15,56903.469,-5.32,1674,-419.7
920.7,56948.18,-6.83,1675,-428.8
921.25,56993.988,-6.25,1676,-425.3
921.8,57040.52,-6.37,1677,-426
922.35,57085.957,-5.72,1678,-422.1
922.9,57129.785,-5.2,1679,-418.9
923.45,57171.637,-5.99,1680,-423.7
924,57215.695,-4.97,1681,-417.5
924.55,57257.578,-5.7,1682,-421.9
925.1,57300.137,-5.58,1683,-421.2
925.65,57345.734,-7.79,1684,-434.6
926.2,57394.617,-6.66,1685,-427.7
926.75,57442.691,-5.97,1686,-423.5
927.3,57487.797,-5.75,1687,-422.2
927.85,57531.926,-6.43,1688,-426.3
928.4,57578.188,-6.61,1689,-427.4
928.95,57625.273,-5.83,1690,-422.6
929.5,57669.031,-5.23,1691,-419
930.05,57712.844,-6.95,1692,-429.4
930.6,57760.09,-7.16,1693,-430.7
931.15,57809.281,-6.82,1694,-428.6
931.7,57857.242,-6.23,1695,-425
932.25,57903.578,-6.2,1696,-424.8
932.8,57948.93,-5.97,1697,-423.4
933.35,57993.855,-6.1,1698,-424.2
933.9,58038.609,-5.25,1699,-419
934.45,58080.984,-6.57,1700,-427
935,58126.77,-5.28,1701,-419.2
935.55,58170.191,-5.98,1702,-423.4
936.1,58212.172,-4.42,1703,-413.9
936.65,58254.152,-6.03,1704,-423.7
937.2,58296.578,-5.03,1705,-417.6
937.75,58338.094,-4.92,1706,-416.9
938.3,58379.207,-5.86,1707,-422.6
938.85,58422.406,-5.66,1708,-421.4
939.4,58466.824,-6.42,1709,-426
939.95,58510.543,-4.83,1710,-416.3
940.5,58552.191,-4.6,1711,-414.9
941.05,58591.602,-5.19,1712,-418.5
941.6,58633.223,-5.44,1713,-420
942.15,58675.695,-5.64,1714,-421.2
942.7,58717.801,-4.89,1715,-416.6
943.25,58759.996,-5.93,1716,-422.9
943.8,58803.242,-5.8,1717,-422.1
944.35,58847.234,-6.08,1718,-423.8
944.9,58892.133,-5.78,1719,-422
945.45,58936.133,-5.9,1720,-422.7
946,58980.23,-5.8,1721,-422.1
946.55,59024.121,-5.71,1722,-421.5
947.1,59067.406,-5.41,1723,-419.7
947.65,59110.012,-5.36,1724,-419.4
948.2,59152.664,-7.08,1725,-429.8
948.75,59201.488,-4.53,1726,-414.3
949.3,59241.629,-6.16,1727,-424.2
949.85,59286.051,-6.26,1728,-424.8
950.4,59332.934,-7.3,1729,-431.1
950.95,59380.859,-6.1,1730,-423.8
951.5,59425.895,-4.82,1731,-416
952.05,59468.867,-6.28,1732,-424.9
952.6,59513.523,-6.55,1733,-426.5
953.15,59560.227,-6.19,1734,-424.3
953.7,59605.93,-5.85,1735,-422.2
954.25,59650.5,-7.15,1736,-430.1
954.8,59699.746,-6.9,1737,-428.6
955.35,59747.488,-5.32,1738,-419
955.9,59791.094,-5.9,1739,-422.5
956.45,59834.875,-5.92,1740,-422.6
957,59879.047,-5.72,1741,-421.4
957.55,59924.5,-7.27,1742,-430.8
958.1,59972.402,-6.35,1743,-425.2
958.65,60019.941,-6.78,1744,-427.8
959.2,60067.688,-6.67,1745,-427.1
959.75,60115.758,-7.25,1746,-430.6
960.3,60165.84,-7.33,1747,-431.1
960.85,60216.348,-6.92,1748,-428.6
961.4,60265.293,-6.66,1749,-427
961.95,60313.199,-7.48,1750,-432
962.5,60364.406,-6.97,1751,-428.9
963.05,60413.559,-6.25,1752,-424.5
963.6,60459.738,-7.25,1753,-430.6
964.15,60509.832,-6.73,1754,-427.4
964.7,60557.672,-6.07,1755,-423.4
965.25,60602.891,-5.79,1756,-421.7
965.8,60648.504,-7.22,1757,-430.4
966.35,60697.016,-6.91,1758,-428.5
966.9,60746.574,-7.24,1759,-430.5
967.45,60796.949,-7.52,1760,-432.2
968,60847.496,-6.68,1761,-427.1
968.55,60896.012,-6.45,1762,-425.7
969.1,60943.91,-7.13,1763,-429.8
969.65,60993.832,-7.77,1764,-433.7
970.2,61044.52,-6.43,1765,-425.5
970.75,61093.645,-7.13,1766,-429.8
971.3,61142.453,-6.86,1767,-428.1
971.85,61191.754,-7.09,1768,-429.5
972.4,61241.551,-7.32,1769,-430.9
972.95,61292.234,-7.39,1770,-431.3
973.5,61342.93,-7.01,1771,-429
974.05,61394.09,-8.11,1772,-435.7
974.6,61447.047,-7.6,1773,-432.6
975.15,61499.227,-6.96,1774,-428.7
975.7,61549.754,-7.44,1775,-431.6
976.25,61601.133,-7.77,1776,-433.6
976.8,61653.695,-7.52,1777,-432.1
977.35,61705.668,-7.26,1778,-430.5
977.9,61757.02,-7.62,1779,-432.7
978.45,61809.316,-7.77,1780,-433.6
979,61862.875,-8.37,1781,-437.2
979.55,61918.75,-8.22,1782,-436.3
980.1,61974.496,-8.94,1783,-440.7
980.65,62033.293,-8.17,1784,-436
981.2,62089.023,-7.94,1785,-434.6
981.75,62143.566,-8.05,1786,-435.3
982.3,62198.387,-8.19,1787,-436.1
982.85,62254.215,-8.6,1788,-438.6
983.4,62311.719,-8.86,1789,-440.2
983.95,62370.582,-8.57,1790,-438.4
984.5,62427.957,-7.25,1791,-430.4
985.05,62479.773,-8.91,1792,-440.5
985.6,62538.738,-8.89,1793,-440.4
986.15,62598.152,-8.85,1794,-440.1
986.7,62657.07,-8.53,1795,-438.2
987.25,62714.707,-8.24,1796,-436.4
987.8,62771.316,-9.17,1797,-442.1
988.35,62832.211,-9.47,1798,-443.9
988.9,62894.09,-8.6,1799,-438.6
989.45,62952.766,-8.41,1800,-437.5
990,63012.016,-10.19,1801,-448.3
990.55,63079.137,-9.27,1802,-442.7
991.1,63141.059,-9.22,1803,-442.4
991.65,63202.941,-9.41,1804,-443.6
992.2,63265.031,-8.95,1805,-440.8
992.75,63325.656,-9.3,1806,-442.9
993.3,63387.547,-9.05,1807,-441.4
993.85,63448.215,-8.83,1808,-440.1
994.4,63507.566,-8.49,1809,-438
994.95,63563.93,-6.68,1810,-427
995.5,63615,-6.82,1811,-427.9
996.05,63665.738,-8.34,1812,-437.1
996.6,63719.656,-6.63,1813,-426.7
997.15,63770.941,-8.87,1814,-440.3
997.7,63828.879,-7.88,1815,-434.3
998.25,63883.609,-7.86,1816,-434.2
998.8,63937.668,-7.12,1817,-429.7
999.35,63989.09,-7.45,1818,-431.7
999.9,64042.27,-8.53,1819,-438.3
1000.45,64100.141,-9.08,1820,-441.6
1001,64159.902,-8.38,1821,-437.4
1001.55,64218.402,-8.78,1822,-439.8
1002.1,64277.777,-9.32,1823,-443.1
1002.65,64339.883,-8.71,1824,-439.4
1003.2,64398.949,-8.24,1825,-436.6
1003.75,64456.785,-8.82,1826,-440.1
1004.3,64516.285,-9.11,1827,-441.9
1004.85,64577.23,-8.4,1828,-437.6
1005.4,64635.375,-9.24,1829,-442.7
1005.95,64696.766,-8.3,1830,-437
1006.5,64755.961,-9.34,1831,-443.3
1007.05,64817.449,-9.01,1832,-441.3
1007.6,64878.867,-8.82,1833,-440.2
1008.15,64939.086,-8.89,1834,-440.6
1008.7,64998.406,-7.72,1835,-433.5
1009.25,65053.855,-7.72,1836,-433.5
1009.8,65110.793,-9.77,1837,-446
1010.35,65173.078,-8.36,1838,-437.4
1010.9,65232.066,-9.03,1839,-441.5
1011.45,65293.145,-8.67,1840,-439.3
1012,65353.344,-9.14,1841,-442.2
1012.55,65415.344,-9.42,1842,-443.9
1013.1,65478.562,-8.79,1843,-440.1
1013.65,65539.414,-9.56,1844,-444.8
1014.2,65602.836,-8.46,1845,-438.1
1014.75,65663.062,-9,1846,-441.4
1015.3,65724.305,-9.36,1847,-443.6
1015.85,65787.805,-9.59,1848,-445
1016.4,65852.062,-8.78,1849,-440.1
1016.95,65913.891,-9.29,1850,-443.2
1017.5,65976.93,-9.58,1851,-445
1018.05,66041.922,-9.48,1852,-444.4
1018.6,66106.297,-9.17,1853,-442.5
1019.15,66170.133,-9.81,1854,-446.4
1019.7,66236.195,-9.2,1855,-442.7
1020.25,66299.211,-9.11,1856,-442.2
1020.8,66361.531,-8.83,1857,-440.5
1021.35,66423.047,-9.04,1858,-441.8
1021.9,66484.82,-7.85,1859,-434.6
1022.45,66541.367,-9.71,1860,-445.9
1023,66605.992,-8.67,1861,-439.6
1023.55,66667.109,-8.46,1862,-438.3
1024.1,66726.969,-9.21,1863,-442.9
1024.65,66789.852,-9.23,1864,-443
1025.2,66852.656,-8.5,1865,-438.6
1025.75,66913.375,-9.01,1866,-441.7
1026.3,66975.625,-9.61,1867,-445.4
1026.85,67040.945,-8.82,1868,-440.6
1027.4,67103.055,-9.39,1869,-444.1
1027.95,67167.117,-9.26,1870,-443.3
1028.5,67231.352,-9.44,1871,-444.4
1029.05,67296.016,-8.86,1872,-440.9
1029.6,67358.141,-8.9,1873,-441.2
1030.15,67420.609,-9.4,1874,-444.2
1030.7,67484.898,-8.78,1875,-440.5
1031.25,67545.812,-7.81,1876,-434.6
1031.8,67603.742,-9.11,1877,-442.5
1032.35,67665.82,-9.12,1878,-442.6
1032.9,67729.43,-9.32,1879,-443.8
1033.45,67792.969,-7.12,1880,-430.5
1034,67847.82,-8.87,1881,-441.1
1034.55,67908.398,-8.6,1882,-439.5
1035.1,67968.922,-8.27,1883,-437.5
1035.65,68028.594,-9.06,1884,-442.3
1036.2,68091.484,-9.63,1885,-445.8
1036.75,68158.117,-9.51,1886,-445.1
1037.3,68224.25,-9.31,1887,-443.9
1037.85,68289.445,-7.79,1888,-434.7
1038.4,68345.922,-8.04,1889,-436.2
1038.95,68403.359,-7.92,1890,-435.5
1039.5,68460.164,-7.59,1891,-433.5
1040.05,68516.523,-8.15,1892,-436.9
1040.6,68573.883,-7.77,1893,-434.6
1041.15,68631.109,-8.6,1894,-439.7
1041.7,68691.539,-8.14,1895,-436.9
1042.25,68751.18,-9.42,1896,-444.7
1042.8,68815.555,-8.96,1897,-441.9
1043.35,68879.336,-8.92,1898,-441.7
1043.9,68942.703,-9.71,1899,-446.5
1044.45,69009.469,-8.85,1900,-441.3
1045,69074.008,-9.67,1901,-446.3
1045.55,69140.883,-8.75,1902,-440.7
1046.1,69203.688,-9.22,1903,-443.6
1046.65,69268.055,-8.99,1904,-442.2
1047.2,69332,-8.89,1905,-441.6
1047.75,69394.414,-7.26,1906,-431.7
1048.3,69450.367,-8.49,1907,-439.2
1048.85,69510.641,-8.8,1908,-441.1
1049.4,69572.523,-8.34,1909,-438.3
1049.95,69632.234,-6.91,1910,-429.6
1050.5,69685.75,-7.58,1911,-433.7
1051.05,69741.477,-7.27,1912,-431.8
1051.6,69796.289,-7.94,1913,-435.9
1052.15,69854.156,-8.07,1914,-436.7
1052.7,69912.57,-7.49,1915,-433.2
1053.25,69969.234,-7.69,1916,-434.4
1053.8,70025.359,-7.34,1917,-432.3
1054.35,70080.805,-7.72,1918,-434.6
1054.9,70137.227,-6.79,1919,-429
1055.45,70189.578,-6.66,1920,-428.2
1056,70241.273,-7.55,1921,-433.6
1056.55,70296.422,-6.28,1922,-425.9
1057.1,70347.195,-6.69,1923,-428.4
1057.65,70398.625,-6.61,1924,-427.9
1058.2,70449.883,-6.41,1925,-426.7
1058.75,70499.516,-5.2,1926,-419.4
1059.3,70545.875,-6.04,1927,-424.5
1059.85,70594.008,-5.61,1928,-421.9
1060.4,70640.992,-5.63,1929,-422
1060.95,70687.805,-5.05,1930,-418.5
1061.5,70732.57,-5.5,1931,-421.2
1062.05,70778.711,-5.53,1932,-421.4
1062.6,70825.602,-5.98,1933,-424.1
1063.15,70873.117,-5.41,1934,-420.7
1063.7,70922.07,-7.72,1935,-434.7
1064.25,70976.406,-7.27,1936,-432
1064.8,71030.25,-5.25,1937,-419.7
1065.35,71078.422,-7.09,1938,-430.9
1065.9,71130.492,-6.41,1939,-426.8
1066.45,71181.531,-6.21,1940,-425.6
1067,71231.32,-6.01,1941,-424.4
1067.55,71280.352,-6.04,1942,-424.6
1068.1,71330.055,-7.05,1943,-430.7
1068.65,71383.398,-7.19,1944,-431.6
1069.2,71438.016,-6.78,1945,-429.1
1069.75,71490.742,-6.88,1946,-429.7
1070.3,71543.523,-5.85,1947,-423.5
1070.85,71592.414,-6.71,1948,-428.7
1071.4,71644.625,-6.84,1949,-429.5
1071.95,71697.492,-6.65,1950,-428.4
1072.5,71750.062,-7,1951,-430.5
1073.05,71803.617,-6.9,1952,-429.9
1073.6,71856.82,-6.6,1953,-428.1
1074.15,71909.695,-7.09,1954,-431.1
1074.7,71963.859,-7.28,1955,-432.3
1075.25,72018.789,-6.94,1956,-430.2
1075.8,72074.055,-8.05,1957,-437
1076.35,72132.07,-7.05,1958,-430.9
1076.9,72187.172,-7.59,1959,-434.2
1077.45,72244.234,-7.3,1960,-432.5
1078,72300.922,-8.24,1961,-438.2
1078.55,72362.87,-8.89,1962,-442.2
1079.1,72426.08,-7.9,1963,-436.2
1079.65,72486.28,-8.14,1964,-437.7
1080.2,72546.88,-8.32,1965,-438.8
1080.75,72608.3,-8.19,1966,-438
1081.3,72668.74,-7.66,1967,-434.8
1081.85,72727.26,-7.6,1968,-434.5
1082.4,72785.02,-7.63,1969,-434.7
1082.95,72842.85,-7.42,1970,-433.4
1083.5,72899.48,-7.17,1971,-431.9
1084.05,72955.6,-7.66,1972,-434.9
1084.6,73011.97,-6.58,1973,-428.4
1085.15,73066.1,-6.89,1974,-430.3
1085.7,73119.42,-6.51,1975,-428
1086.25,73172.02,-6.45,1976,-427.6
1086.8,73225.09,-7.55,1977,-434.3
1087.35,73280.54,-6.16,1978,-425.9
1087.9,73332.7,-7.1,1979,-431.6
1088.45,73387.26,-6.45,1980,-427.7
1089,73439.54,-7.39,1981,-433.4
1089.55,73495.48,-5.53,1982,-422.1
1090.1,73544.63,-6.91,1983,-430.5
1090.65,73598.15,-6.23,1984,-426.4
1091.2,73649.64,-6.23,1985,-426.4
1091.75,73700.62,-6.11,1986,-425.7
1092.3,73751.65,-6.62,1987,-428.8
1092.85,73803.73,-6.04,1988,-425.3
1093.4,73854.45,-5.97,1989,-424.9
1093.95,73902.83,-4.21,1990,-414.2
1094.5,73947.32,-5.39,1991,-421.4
1095.05,73994.03,-5.52,1992,-422.2
1095.6,74041.9,-5.56,1993,-422.4
1096.15,74089.9,-4.83,1994,-418
1096.7,74135.2,-5.7,1995,-423.3
1097.25,74182.82,-4.51,1996,-416.1
1097.8,74227.62,-5.06,1997,-419.4
1098.35,74273.88,-5.86,1998,-424.3
1098.9,74321.52,-4.92,1999,-418.6
1099.45,74368.17,-5.15,2000,-420
1100,74414.06,-4.97,2001,-418.9
1100.55,74459.32,-4.47,2002,-415.9
1101.1,74502.55,-3.52,2003,-410.1
1101.65,74543.44,-4.64,2004,-416.9
1102.2,74587.23,-4.08,2005,-413.5
1102.75,74629.61,-4.44,2006,-415.7
1103.3,74673.95,-5.59,2007,-422.7
1103.85,74720.84,-5.29,2008,-420.9
1104.4,74768.27,-5.26,2009,-420.7
1104.95,74815.85,-5.72,2010,-423.5
1105.5,74863.96,-5.34,2011,-421.2
1106.05,74912.68,-6.11,2012,-425.9
1106.6,74961.69,-5.19,2013,-420.3
1107.15,75011.16,-6.67,2014,-429.3
1107.7,75062.73,-6.22,2015,-426.6
1108.25,75114.44,-5.86,2016,-424.4
1108.8,75164.71,-5.82,2017,-424.2
1109.35,75214.69,-5.98,2018,-425.2
1109.9,75265.18,-6.1,2019,-425.9
1110.45,75316.04,-5.99,2020,-425.3
1111,75367.54,-6.62,2021,-429.1
1111.55,75420.62,-6.67,2022,-429.4
1112.1,75474.13,-6.22,2023,-426.7
1112.65,75527.07,-6.96,2024,-431.2
1113.2,75581.68,-6.52,2025,-428.6
1113.75,75635.71,-7.41,2026,-434
1114.3,75693.32,-6.78,2027,-430.2
1114.85,75748.8,-7.6,2028,-435.2
1115.4,75807.89,-7.94,2029,-437.3
1115.95,75868.15,-7.43,2030,-434.2
1116.5,75926.47,-6.77,2031,-430.2
1117.05,75982.08,-6.99,2032,-431.6
1117.6,76037.83,-6.38,2033,-427.9
1118.15,76090.91,-6.31,2034,-427.5
1118.7,76143.87,-7.51,2035,-434.8
1119.25,76201.99,-6.91,2036,-431.2
1119.8,76258.08,-6.75,2037,-430.2
1120.35,76312.42,-6.1,2038,-426.3
1120.9,76365.05,-6.28,2039,-427.4
1121.45,76419.48,-8.09,2040,-438.4
1122,76477.77,-5.99,2041,-425.7
1122.55,76531.49,-6.98,2042,-431.7
1123.1,76586.77,-6.1,2043,-426.4
1123.65,76638.92,-6.38,2044,-428.1
1124.2,76692.25,-7.18,2045,-433
1124.75,76749.42,-6.95,2046,-431.6
1125.3,76805.52,-6.65,2047,-429.8
1125.85,76860.79,-6.89,2048,-431.3
1126.4,76915.71,-6.21,2049,-427.2
1126.95,76968.87,-6.06,2050,-426.3
1127.5,77020.83,-6.03,2051,-426.1
1128.05,77072.64,-6.12,2052,-426.7
1128.6,77125.36,-6.78,2053,-430.7
1129.15,77178.8,-5.16,2054,-420.9
1129.7,77228.8,-6.38,2055,-428.3
1130.25,77280.83,-5.77,2056,-424.6
1130.8,77331.75,-5.66,2057,-424
1131.35,77382.3,-6.31,2058,-427.9
1131.9,77435.44,-7.08,2059,-432.6
1132.45,77492.34,-6.43,2060,-428.7
1133,77546.39,-6.46,2061,-428.9
1133.55,77600.94,-7.04,2062,-432.4
1134.1,77657.68,-7.05,2063,-432.5
1134.65,77714.67,-6.81,2064,-431.1
1135.2,77770.5,-6.38,2065,-428.5
1135.75,77825.13,-6.69,2066,-430.4
1136.3,77880.08,-6.44,2067,-428.9
1136.85,77934.54,-6.6,2068,-429.9
1137.4,77989.44,-5.94,2069,-425.9
1137.95,78041.27,-6.2,2070,-427.5
1138.5,78094.45,-6.63,2071,-430.1
1139.05,78148.91,-5.69,2072,-424.4
1139.6,78200.18,-5.75,2073,-424.8
1140.15,78252.4,-7.4,2074,-434.8
1140.7,78309.68,-6.64,2075,-430.2
1141.25,78364.29,-5.25,2076,-421.8
1141.8,78414.92,-5.61,2077,-424
1142.35,78465.4,-6.12,2078,-427.1
1142.9,78517.63,-6.13,2079,-427.2
1143.45,78569.6,-5.34,2080,-422.4
1144,78619.98,-5.67,2081,-424.4
1144.55,78670.02,-5.45,2082,-423.1
1145.1,78719.32,-4.92,2083,-419.9
1145.65,78767.39,-5.1,2084,-421
1146.2,78816.68,-6.32,2085,-428.4
1146.75,78868.11,-5.41,2086,-422.9
1147.3,78918.97,-5.64,2087,-424.3
1147.85,78969.4,-5.67,2088,-424.5
1148.4,79021.81,-7.15,2089,-433.5
1148.95,79076.47,-5.02,2090,-420.6
1149.5,79127.2,-6.06,2091,-426.9
1150.05,79178.2,-5.13,2092,-421.3
1150.6,79228.33,-6.27,2093,-428.2
1151.15,79279.67,-4.44,2094,-417.1
1151.7,79326.86,-4.88,2095,-419.8
1152.25,79373.62,-4.76,2096,-419.1
1152.8,79421.44,-5.59,2097,-424.1
1153.35,79470.38,-4.96,2098,-420.3
1153.9,79520.26,-6.29,2099,-428.4
1154.45,79570.99,-4.71,2100,-418.8
1155,79620.72,-5.99,2101,-426.6
1155.55,79669.82,-4.26,2102,-416.1
1156.1,79716.24,-4.06,2103,-414.9
1156.65,79762.08,-5.57,2104,-424.1
1157.2,79810.45,-5.13,2105,-421.4
1157.75,79859.9,-5.44,2106,-423.3
1158.3,79909.99,-5.77,2107,-425.3
1158.85,79960.92,-5.45,2108,-423.4
1159.4,80010.77,-4.86,2109,-419.8
1159.95,80058.95,-4.92,2110,-420.2
1160.5,80106.6,-4.9,2111,-420.1
1161.05,80153.27,-3.8,2112,-413.4
1161.6,80198.49,-5.96,2113,-426.5
1162.15,80249.02,-4.62,2114,-418.4
1162.7,80296.81,-5.39,2115,-423.1
1163.25,80345.93,-4.37,2116,-416.9
1163.8,80391.91,-4.91,2117,-420.2
1164.35,80439.66,-5.26,2118,-422.3
1164.9,80489.02,-5.01,2119,-420.8
1165.45,80537.35,-5.04,2120,-421
1166,80585.72,-4.86,2121,-419.9
1166.55,80633.13,-4.38,2122,-417
1167.1,80679.18,-4.66,2123,-418.7
1167.65,80726.18,-5.14,2124,-421.6
1168.2,80773.98,-4.49,2125,-417.7
1168.75,80820.94,-4.69,2126,-418.9
1169.3,80868.63,-5.52,2127,-423.9
1169.85,80917.5,-4.74,2128,-419.2
1170.4,80966.48,-5.5,2129,-423.8
1170.95,81016.05,-5.28,2130,-422.5
1171.5,81065.36,-4.72,2131,-419.1
1172.05,81114.07,-5.49,2132,-423.8
1172.6,81164.08,-5.63,2133,-424.6
1173.15,81214.65,-5.05,2134,-421.1
1173.7,81263.56,-4.65,2135,-418.7
1174.25,81310.09,-3.91,2136,-414.2
1174.8,81355.08,-4.35,2137,-416.9
1175.35,81400.97,-5.26,2138,-422.4
1175.9,81449.98,-5.21,2139,-422.1
1176.45,81498.97,-4.37,2140,-417
1177,81545.28,-4.37,2141,-417
1177.55,81591.03,-4.37,2142,-417
1178.1,81636.92,-4.8,2143,-419.6
1178.65,81683.03,-2.65,2144,-406.6
1179.2,81724.66,-4.14,2145,-415.6
1179.75,81766.97,-3.38,2146,-411
1180.3,81810.48,-4.21,2147,-416
1180.85,81854.51,-4.07,2148,-415.2
1181.4,81899.09,-3.93,2149,-414.3
1181.95,81943.42,-5.03,2150,-421
1182.5,81991.86,-4.26,2151,-416.3
1183.05,82037.39,-4.59,2152,-418.3
1183.6,82083.62,-3.71,2153,-413
1184.15,82128.08,-4.74,2154,-419.2
1184.7,82173.7,-3.85,2155,-413.8
1185.25,82218.38,-3.91,2156,-414.2
1185.8,82261.15,-2.97,2157,-408.5
1186.35,82302.57,-3.12,2158,-409.4
1186.9,82343.35,-3.63,2159,-412.5
1187.45,82385.79,-2.96,2160,-408.4
1188,82426.81,-3.59,2161,-412.2
1188.55,82469.2,-3.87,2162,-413.9
