thisShouldntBeEmpty (),d18O (permil),year (AD),d18O ()
-35.57,-33.61,1197,-29.51
-37.6,-32.64,1196,-29.19
-40.38,-37.45,1195,-34.55
-33.27,-33.26,1194,-32.23
-37.29,-31.83,1193,-25.9
-39.04,-34.56,1192,-32.18
-40.74,-35.34,1191,-30.76
-36.91,-35.59,1190,-32.9
-37.04,-33.55,1189,-30.26
-34.9,-33.91,1188,-32.22
-39.33,-33.76,1187,-30.01
-37.84,-35.52,1186,-32.82
-37.65,-35.22,1185,-32.74
-37.5,-34.75,1184,-31.57
-36.26,-33.12,1183,-29.67
-35.72,-33.84,1182,-31.95
-37.01,-34.36,1181,-32.17
-36.54,-34.52,1180,-32.22
-36.58,-34.26,1179,-32.29
-37.28,-34.7,1178,-32.01
-37.66,-35.32,1177,-33.1
-35.68,-33.59,1176,-30.75
-34.97,-33.38,1175,-31.73
-35.69,-33.32,1174,-31.26
-35.21,-33.67,1173,-32.25
-37.4,-34.22,1172,-31.28
-37.3,-33.96,1171,-30.58
-33.32,-34.57,1170,-33.71
-41.6,-33.27,1169,-30.81
-36.29,-36.55,1168,-34.84
-39.63,-34.22,1167,-30.33
-35.21,-34.23,1166,-31.06
-38.1,-34.18,1165,-31.99
-35.82,-35.35,1164,-33.17
-37.28,-32.42,1163,-28.86
-35.12,-36.08,1162,-35.16
-37.13,-34.5,1161,-33.24
-35.99,-34.43,1160,-32.07
-38.43,-33.83,1159,-30.24
-39.49,-36.14,1158,-33.13
-37,-34.23,1157,-30.87
-38.39,-34.76,1156,-31.14
-37.09,-34.88,1155,-32.11
-35.46,-34.02,1154,-32.16
-37.25,-33.73,1153,-31.18
-38.45,-36.06,1152,-33.53
-36.95,-34.97,1151,-32.33
-38.8,-34.26,1150,-30.32
-39.09,-34.99,1149,-31.4
-37,-34.77,1148,-31.5
-32.55,-32.75,1147,-31.07
-35.49,-32.67,1146,-31.22
-36.5,-33.67,1145,-31.78
-35.17,-33.82,1144,-31.57
-38.69,-34.05,1143,-30.73
-34.89,-34.66,1142,-32.78
-34.64,-33.46,1141,-32.02
-34.67,-33.07,1140,-31.67
-35.83,-34.95,1139,-34.32
-35.07,-33.45,1138,-31.52
-35.05,-33.3,1137,-31.24
-36.92,-33.4,1136,-30.62
-35.41,-33.97,1135,-31.97
-33.26,-31.71,1134,-29.43
-34.3,-33,1133,-31.56
-34.16,-32.82,1132,-31.83
-34.47,-31.72,1131,-29.38
-37.5,-33.77,1130,-31.85
-39.28,-36.41,1129,-33.51
-35.19,-34.23,1128,-31.57
-37.73,-33.87,1127,-31.62
-35.78,-34.81,1126,-32.81
-33.81,-34.95,1125,-34.5
-37.75,-32.07,1124,-29.07
-33.9,-32.99,1123,-30.52
-34.81,-33.96,1122,-33.08
-38.34,-33.35,1121,-29.64
-35.2,-34.49,1120,-32.2
-37.29,-33.96,1119,-32.39
-36.64,-33.88,1118,-30.89
-34.88,-33.73,1117,-30.9
-38.83,-33.44,1116,-31.02
-35.6,-33.27,1115,-29.94
-39.08,-35.02,1114,-32.84
-39.09,-36.52,1113,-33.58
-34.7,-34.08,1112,-32.32
-38.22,-34.89,1111,-32.75
-35.83,-34.01,1110,-31.33
-38.51,-34.01,1109,-30.65
-35.26,-34.56,1108,-31.47
-35.79,-33.59,1107,-32.27
-37.17,-33.1,1106,-29.64
-37.52,-33.41,1105,-29.36
-35.76,-33.82,1104,-31.69
-35.38,-33.77,1103,-31.69
-39.75,-34.43,1102,-31.85
-37.37,-36.25,1101,-33.77
-36.16,-34.19,1100,-31.84
-36.5,-34.37,1099,-32.44
-35.76,-33.83,1098,-31.01
-38.56,-34.26,1097,-31.65
-33.38,-33.55,1096,-31.93
-35.43,-33.28,1095,-32.05
-37.08,-34.88,1094,-33.04
-40.37,-35.02,1093,-31.09
-37.14,-34.88,1092,-30.38
-37.07,-33.95,1091,-31.26
-36.54,-33.98,1090,-31.5
-37.89,-35.25,1089,-33.32
-35.57,-34.65,1088,-32.82
-34.98,-32.34,1087,-28.48
-35.81,-33.56,1086,-32.28
-39.61,-34.15,1085,-30.68
-36.69,-35.04,1084,-32.47
-36.58,-33.97,1083,-31.4
-36.95,-34.3,1082,-31.48
-33.82,-33.1,1081,-31.17
-36.98,-32.96,1080,-30.89
-37.31,-34.85,1079,-32.17
-40.44,-34.31,1078,-29.6
-39.86,-35.85,1077,-31.9
-36.29,-35.18,1076,-32.76
-34.84,-33.86,1075,-31.97
-37.67,-33.52,1074,-30.48
-35.3,-34.68,1073,-33.63
-37,-32.51,1072,-29.03
-39.16,-35.85,1071,-32.46
-35.59,-33.98,1070,-31.47
-35.4,-33.62,1069,-31.57
-37.58,-33.74,1068,-31.27
-37.62,-33.68,1067,-29.75
-37.24,-35.17,1066,-32.88
-38.29,-35.11,1065,-32.23
-39.28,-35.59,1064,-32.32
-37.45,-34.84,1063,-31.3
-36.22,-33.37,1062,-30.25
-36.57,-34.63,1061,-32.88
-38.86,-35.84,1060,-33.44
-34.8,-34.33,1059,-32.54
-37.29,-32.14,1058,-28.43
-37.64,-35.32,1057,-33.08
-34.43,-34.06,1056,-32.06
-40.16,-34.99,1055,-33.6
-34.35,-33.74,1054,-30.55
-35.42,-33.48,1053,-32.1
-38.49,-34.62,1052,-31.57
-36.51,-34.46,1051,-31.75
-35.59,-33.17,1050,-30.12
-37.49,-34.31,1049,-32.65
-34.11,-33.83,1048,-31.21
-36.3,-32.35,1047,-29.7
-38.68,-35.35,1046,-33.66
-34.37,-33.8,1045,-31.71
-36.2,-33.38,1044,-31.59
-31.62,-32.6,1043,-31.4
-35.55,-32.17,1042,-30.04
-38.42,-33.87,1041,-30.6
-37.01,-34.94,1040,-32.41
-36.96,-32.93,1039,-28.83
-33.98,-33.51,1038,-31.58
-37.67,-34.9,1037,-32.9
-35.38,-33.02,1036,-30.31
-37.69,-34.01,1035,-31.34
-37.81,-35.79,1034,-33.82
-37.53,-34.38,1033,-31.04
-37.27,-34.88,1032,-32.33
-35.41,-33.82,1031,-31.67
-34.62,-34.29,1030,-33.78
-39.14,-34.53,1029,-31.97
-37.81,-34.86,1028,-31.4
-37.35,-33.58,1027,-29.97
-36.72,-34.08,1026,-30.69
-38.3,-35.41,1025,-33.02
-39.08,-35.7,1024,-32.82
-35.38,-34.11,1023,-30.39
-38.22,-33.03,1022,-30.63
-37.6,-34.53,1021,-29.91
-36.72,-33.37,1020,-30.46
-35.73,-33.72,1019,-31.13
-36.16,-33.13,1018,-30.09
-38.34,-34.25,1017,-31.41
-36.18,-34.43,1016,-31.6
-34.64,-33.58,1015,-31.06
-37.49,-31.97,1014,-28.75
-33.99,-33.68,1013,-31.47
-38.19,-33.73,1012,-30.52
-37.29,-36.04,1011,-34.16
-36.9,-33.35,1010,-29.9
-34.75,-33.3,1009,-30.91
-36.81,-32.93,1008,-29.84
-36.8,-34.25,1007,-31.96
-35.46,-32.63,1006,-28.41
-38.28,-32.87,1005,-29.59
-32.2,-33.91,1004,-32.4
-34.46,-32.36,1003,-30.83
-38.57,-34.66,1002,-31.99
-37.64,-35.04,1001,-31.84
-35.38,-34.21,1000,-32.46
-34.02,-32.75,999,-30.86
-36.22,-34.22,998,-32.86
-38.48,-34.83,997,-31.71
-36.86,-34.53,996,-31.73
-36.75,-35.53,995,-34.03
-37.55,-34.66,994,-31.97
-36.65,-35.09,993,-33.13
-35.52,-33.33,992,-31.07
-34.75,-33.53,991,-32.3
-36.95,-34.51,990,-32.25
-39.02,-33.17,989,-28.86
-35.84,-33.93,988,-28.13
-37.09,-34.23,987,-33.49
-34.95,-30.29,986,-25.98
-36.7,-33.93,985,-31.9
-37.29,-34.7,984,-32.32
-34.84,-33.03,983,-30.4
-36.86,-33.76,982,-31.43
-35.89,-33.71,981,-30.83
-38.34,-34.08,980,-31.66
-37.19,-35.14,979,-32.57
-36.14,-33.96,978,-31.44
-35.08,-32.74,977,-28.77
-39.36,-33.01,976,-29.94
-36.87,-34.46,975,-31.81
-34.9,-33.29,974,-30.79
-35.95,-34.08,973,-30.95
-40.07,-34.05,972,-31.14
-35.46,-34.25,971,-31.17
-36.57,-33.68,970,-31.72
-34.45,-33.42,969,-30.22
-34.03,-32.29,968,-30.59
-36.39,-32.52,967,-30.84
-37.82,-34.48,966,-31.1
-36.77,-33.9,965,-30.92
-35.83,-34.12,964,-31.97
-34.89,-33.33,963,-30.42
-39.17,-33.01,962,-30.15
-35.59,-34.13,961,-30.41
-38.51,-34.1,960,-31.79
-36.8,-36.06,959,-34.18
-34.08,-32.07,958,-29.05
-35.93,-33.11,957,-31.37
-35.98,-34.39,956,-32.77
-37.12,-33.62,955,-30.81
-36.7,-33.97,954,-31.17
-35.54,-34.79,953,-33.24
-35.49,-33.86,952,-31.66
-38.35,-33.33,951,-30.79
-34.69,-33.44,950,-31.2
-37.32,-33.52,949,-30.49
-36.55,-34.15,948,-30.32
-37.66,-33.38,947,-30.47
-34.57,-34.54,946,-32.7
-35.74,-35.08,945,-34.11
-35.2,-34.56,944,-33.76
-37.99,-34.18,943,-31.8
-36.7,-35.84,942,-34.47
-41.15,-36.7,941,-32.97
-37.21,-33.63,940,-27.8
-36.37,-33.22,939,-30.8
-33.06,-32.11,938,-30.59
-38.26,-32.97,937,-28.97
-36.71,-35.47,936,-33.39
-36.04,-33.39,935,-30.77
-33.31,-33.17,934,-31.88
-35.8,-32.85,933,-30.88
-34.48,-33.5,932,-31.93
-36.85,-34.24,931,-32.22
-34.39,-33.07,930,-30.71
-34.79,-32.02,929,-29.75
-37.08,-32.55,928,-29.26
-38.5,-35.43,927,-32.46
-37.65,-33.65,926,-29.4
-33.83,-33.37,925,-31.76
-36.44,-32.5,924,-29.71
-37.87,-35.19,923,-32.63
-38.58,-34.46,922,-30.45
-36.35,-34.06,921,-30.45
-35.04,-33.19,920,-29.38
-35.78,-32.72,919,-31.18
-36.69,-33.68,918,-31.28
-34.84,-33.85,917,-32.14
-37.46,-35.35,916,-33.96
-36.5,-34.63,915,-31.96
-37.12,-33.29,914,-30.22
-34.97,-33.92,913,-32.08
-37.09,-33.4,912,-30.53
-34.7,-34.14,911,-32.36
-33.88,-31.37,910,-28.82
-38.2,-35.16,909,-33.41
-35.44,-34.55,908,-32.43
-34.91,-31.63,907,-28.58
-37.92,-35.01,906,-32.94
-36.9,-36.25,905,-33.97
-33.4,-32.65,904,-30.65
-37.7,-32.18,903,-28.48
-34.92,-34.2,902,-32.17
-36.52,-32.8,901,-29.49
-37.26,-32.99,900,-29.55
-35.35,-33.97,899,-31.38
-39.55,-34.5,898,-32.02
-35.81,-34.07,897,-30.49
-35.62,-34.15,896,-32.89
-37.2,-35.04,895,-33.64
-36.27,-35.06,894,-32.6
-35.22,-33.21,893,-31.23
-33.46,-32.77,892,-31.39
-35.8,-33.86,891,-33.22
-38.77,-34.65,890,-31.05
-37.29,-33.8,889,-30.82
-38.35,-35.32,888,-31.88
-35,-34.58,887,-33.16
-35.72,-32.57,886,-29.8
-36.78,-34.71,885,-33.19
-38.14,-33.49,884,-29.59
-37.82,-36.73,883,-35.22
-35.13,-34.92,882,-33.66
-35.55,-34.63,881,-33.79
-32.82,-33.66,880,-33.18
-34.63,-33.38,879,-32.74
-37.46,-33.61,878,-30.64
-38.03,-35.65,877,-33.53
-36.56,-35.09,876,-32.88
-38.07,-34.61,875,-31.83
-39.36,-36.73,874,-34.36
-34.92,-35.02,873,-33.22
-35.13,-32.57,872,-30.32
-34.48,-32.89,871,-30.94
-36.98,-34.57,870,-32.81
-37.32,-33.93,869,-31.04
-35.12,-33.93,868,-31.58
-37.93,-32.94,867,-29.2
-32.96,-35.24,866,-34.08
-37.94,-32.79,865,-30.12
-37.25,-34.8,864,-31.56
-37.73,-34.66,863,-32.02
-37.07,-34.11,862,-31.17
-38.05,-36.03,861,-33.38
-40.32,-34.39,860,-30.02
-37.14,-34.68,859,-31
-36.19,-32.29,858,-28.03
-36.69,-35.63,857,-34.58
-34.82,-32.53,856,-29.66
-35.36,-34.02,855,-33.01
-36.44,-33.98,854,-32.2
-39.87,-34.8,853,-30.82
-37.53,-36.82,852,-35.15
-36.52,-34.31,851,-31.64
-34.73,-33.8,850,-32.84
-37.26,-35.43,849,-33.99
-39.36,-34.82,848,-31.74
-39.27,-37.61,847,-35.42
-36.61,-35.03,846,-32.18
-40.21,-34.66,845,-31.48
-34.77,-34.88,844,-33.41
-36.39,-32.81,843,-29.67
-35.22,-34.02,842,-32.19
-36.49,-32.55,841,-28.99
-36.07,-31.46,840,-27.14
-36.47,-34.05,839,-31.87
-36.03,-33.37,838,-31.09
-36.85,-33.78,837,-30.54
-37.53,-34.82,836,-32.47
-35.46,-36,835,-35.04
-39.4,-34.33,834,-31.91
-38.36,-36.08,833,-32.99
-38.8,-34.81,832,-31.25
-38.42,-35.95,831,-33.24
-38.31,-36.63,830,-34.78
-37.09,-34.12,829,-30.16
-35.05,-32.85,828,-29.95
-34.58,-33.23,827,-31.64
-37.56,-34.38,826,-31.87
-37.17,-34.74,825,-32.39
-37.12,-34.33,824,-31.19
-36.14,-34.6,823,-32.77
-36.67,-34.45,822,-32.24
-37.79,-34.15,821,-31.35
-36.68,-35.32,820,-33.78
-37.17,-33.87,819,-30.29
-35.56,-32.37,818,-29.1
-33.74,-33.01,817,-30.69
-36.18,-32.27,816,-29.84
-36.43,-34.54,815,-32.72
-37.06,-33.32,814,-29.92
-35.69,-34.07,813,-32.15
-37.96,-34.49,812,-32.09
-36.66,-36.39,811,-34.53
-35.73,-34.78,810,-33.83
-36.05,-33.97,809,-31.2
-35.73,-33.46,808,-31.56
-36.24,-33.3,807,-30.16
-38.21,-33.94,806,-31.02
-34.89,-33.24,805,-30.28
-38.05,-34.15,804,-30.88
-37.99,-34.06,803,-30.26
-36.89,-34.01,802,-30.73
-37.09,-35.14,801,-33.42
-37.35,-36.21,800,-34.77
-35.95,-33.1,799,-29.89
-34.85,-33.08,798,-30.78
-36.6,-34.09,797,-32.12
-35.61,-33.27,796,-30.68
-36.04,-33.49,795,-30.79
-37.9,-33.5,794,-30.03
-33.96,-34.5,793,-32.85
-35.67,-32.49,792,-30.03
-36.22,-33.25,791,-30.27
-35.57,-32.64,790,-29.61
-34.42,-33.62,789,-32.34
-38.63,-33.22,788,-29.78
-33.86,-34.43,787,-32.77
-37.58,-34.09,786,-32.43
-35.66,-34.11,785,-31.97
-33.18,-33.35,784,-32.35
-37.37,-34.02,783,-32.58
-35.34,-34.28,782,-32.46
-36.7,-34.16,781,-31.97
-37.62,-33.6,780,-30.19
-37.32,-34.69,779,-31.74
-35.06,-34.15,778,-32.36
-36.02,-34.64,777,-33.58
-37.97,-33.37,776,-29.86
-34.96,-34.92,775,-32.95
-37.94,-33.8,774,-30.83
-33.44,-33.23,773,-30.86
-36.32,-32.52,772,-30.64
-35.34,-34.01,771,-32.13
-36.1,-33.7,770,-31.54
-37.17,-34.84,769,-32.25
-36.5,-33.4,768,-30.44
-34.27,-33.3,767,-31.69
-34.98,-33.3,766,-31.86
-36.21,-33.38,765,-31.12
-33.24,-33.8,764,-32.59
-33.31,-31.11,763,-29.31
-36.47,-32.8,762,-30.04
-35.85,-34.37,761,-32.47
-35.68,-33.34,760,-31.27
-37.18,-33.8,759,-30.98
-34.61,-32.66,758,-30.63
-35.6,-34.1,757,-32.57
-38.85,-33.87,756,-30.06
-33.93,-33.34,755,-30.18
-33.67,-32.72,754,-32.04
-38.42,-33.34,753,-29.6
-38.59,-36.91,752,-35.15
-33.66,-33.21,751,-31.63
-38.1,-35.12,750,-32.92
-36.6,-33.94,749,-31.28
-37.63,-35.09,748,-32.74
-35.69,-33.68,747,-30.69
-38.25,-33.97,746,-31.11
-35.08,-33.87,745,-31.67
-40.17,-32.87,744,-27.76
-38.32,-35.46,743,-31.86
-38.13,-34.14,742,-30.03
-32.45,-32.77,741,-30.31
-37.82,-32.39,740,-30.71
-36.03,-35.07,739,-33.41
-36.23,-33.02,738,-29.85
-37.73,-33.88,737,-30.58
-35.36,-32.56,736,-29.28
-34.9,-31.52,735,-27.96
-37.99,-33.1,734,-30.59
-37.01,-35.64,733,-33.8
-37.22,-33.19,732,-29.51
-34.43,-33.61,731,-32
-38.28,-32.85,730,-28.72
-36.65,-33.89,729,-30.56
-35.09,-33.79,728,-31.65
-35,-33.83,727,-32.42
-37.6,-32.51,726,-28.56
-34.14,-32.8,725,-30.2
-37.17,-34.41,724,-32.29
-36.42,-34.44,723,-32.4
-35.88,-32.88,722,-29.86
-37.78,-34.87,721,-32.73
-38.74,-32.43,720,-26.6
-36.67,-33.06,719,-28.78
-35.5,-34.79,718,-33
-36.4,-33.39,717,-30.87
-37.19,-32.81,716,-29.62
-37.76,-34.52,715,-31.13
-36.53,-33.93,714,-30.84
-37.29,-33.65,713,-30.42
-35.67,-33.79,712,-31.68
-35.78,-33.88,711,-31.78
-35.01,-33.84,710,-32.26
-39.53,-35.52,709,-32.4
-38.05,-35.16,708,-31.75
-37.12,-35.27,707,-33.22
-39.32,-35.48,706,-32.23
-37.21,-35.16,705,-32.52
-36.62,-34.1,704,-31.37
-36.35,-34.42,703,-32.61
-39.78,-37.01,702,-34.98
-36.06,-32.55,701,-27.73
-37.42,-34.74,700,-32.43
-35.16,-34.24,699,-32.38
-34.27,-32.31,698,-30.24
-38.39,-33.01,697,-29.84
-37.55,-34.86,696,-31.79
-35.59,-35.66,695,-35.03
-33.57,-33.23,694,-32.22
-38.55,-34.26,693,-31.11
-36.02,-34.43,692,-32.05
-39.49,-34.22,691,-30.29
-36.67,-35.24,690,-32.25
-37.14,-33.87,689,-30.99
-34.97,-33.97,688,-31.97
-38.35,-32.32,687,-27.98
-35.47,-34.14,686,-31.18
-37.09,-32.73,685,-29.59
-40.28,-36.77,684,-33.8
-37.38,-35.81,683,-33.59
-38.01,-36.04,682,-33.88
-37.6,-35.99,681,-34.23
-39.25,-34.29,680,-30.58
-38.75,-35.78,679,-32.29
-39.66,-34.18,678,-29.54
-36.84,-35.41,677,-32.56
-33.22,-34.77,676,-34.93
-37.88,-34.62,675,-32.15
-35.29,-34.62,674,-32.74
-35.64,-32.57,673,-29.97
-38.23,-34.19,672,-30.93
-35.74,-33.88,671,-31.24
-32.98,-32.2,670,-30.21
-37.48,-33.2,669,-30.5
-38.03,-35.19,668,-32.27
-35.42,-33.66,667,-31.01
-37.13,-34.98,666,-32.83
-36.52,-33.58,665,-30.62
-39.1,-33.52,664,-29.64
-35.79,-35.49,663,-33.52
-36.35,-34.6,662,-33.09
-36.37,-34,661,-31.56
-36.82,-34.57,660,-32.37
-35.92,-34.29,659,-32.47
-35.84,-33.2,658,-30.5
-34.73,-32.55,657,-30.13
-35.97,-33.15,656,-31
-37.87,-34.39,655,-31.56
-36.92,-34.41,654,-31.21
-36.88,-33.13,653,-29.46
-35.4,-34.93,652,-33.53
-36.35,-33.18,651,-30.38
-36.76,-32.92,650,-29.49
-38.86,-35.66,649,-32.97
-35.38,-34.55,648,-32.53
-37.67,-33.92,647,-30.79
-36.47,-32.58,646,-28.35
-35,-33.08,645,-30.38
-37.44,-34.28,644,-31.76
-37.73,-35.06,643,-32.35
-36.9,-34.13,642,-31.31
-36.76,-35.13,641,-33.03
-34.53,-33.49,640,-31.93
-36.01,-33,639,-30.01
-38.73,-34.79,638,-32.9
-38.77,-37.6,637,-35.88
-33.48,-33.44,636,-31.49
-35,-33.03,635,-31.49
-36.51,-33.43,634,-31.32
-39.29,-35.62,633,-32.48
-35.09,-33.65,632,-31.18
-35.67,-32.38,631,-29.42
-36.11,-33.84,630,-31.57
-37.59,-34.98,629,-32.62
-39.17,-34.27,628,-30.38
-38.68,-37.48,627,-35.95
-36.32,-33.63,626,-29.53
-35.04,-34.32,625,-33.04
-36.75,-32.19,624,-28.51
-35.64,-32.9,623,-29.89
-37.21,-34.45,622,-31.62
-37.41,-33.85,621,-30.88
-38.56,-35.39,620,-33.01
-38.51,-35.47,619,-32.49
-38.04,-35.84,618,-33.11
-35.93,-34.07,617,-30.83
-35.62,-32.06,616,-27.52
-37.94,-33.82,615,-31.9
-35.95,-34.33,614,-32.72
-35.83,-33.89,613,-31.7
-39.35,-35.15,612,-31.08
-38.57,-35.97,611,-33.35
-37.64,-34.76,610,-30.54
-36.85,-32.98,609,-29.4
-37.53,-34.88,608,-32.51
-33.26,-33.65,607,-30.77
-39.05,-32.79,606,-31.01
-37.52,-33.7,605,-30
-38.05,-35.43,604,-32.89
-37.71,-33.57,603,-29.51
-37.3,-35.13,602,-32.59
-35.03,-33.51,601,-31.2
-34.09,-32.77,600,-31.13
-32.63,-31.56,599,-30.28
-35.99,-33.33,598,-31.38
-33.76,-34.25,597,-33.56
-34.8,-32.7,596,-31.36
-34.88,-33.4,595,-31.92
-34.41,-32.61,594,-30.58
-35.6,-32.87,593,-30.95
-34.24,-32.66,592,-30.8
-38.56,-34.7,591,-32.33
-37.44,-35.51,590,-33
-38.07,-35.44,589,-32.98
-39.18,-35.78,588,-33.14
-37.88,-35.23,587,-31.77
-38.39,-34.37,586,-30.84
-37.5,-35.57,585,-32.89
-34.96,-33.94,584,-32.11
-36.79,-34.19,583,-32.51
-37.26,-32.06,582,-26.81
-37.16,-35.06,581,-33.38
-40.26,-31.94,580,-24.67
-35.46,-34.43,579,-30.32
-35.43,-33.62,578,-31.85
-37.13,-33.46,577,-30.62
-41.43,-36.38,576,-33.34
-40.36,-36.72,575,-32.72
-34.72,-35.19,574,-33.84
-37.24,-32.75,573,-29.2
-37.39,-34.55,572,-32.11
-38.88,-34.75,571,-31.33
-34.63,-34.38,570,-32.01
-36.3,-33.51,569,-31.29
-35.56,-33.34,568,-30.72
-37.15,-33.19,567,-29.55
-34.7,-33.73,566,-31.9
-37.3,-34.51,565,-32.85
-37.97,-34.23,564,-29.74
-38.08,-34.7,563,-31.54
-36.22,-32,562,-27.07
-35.6,-33.26,561,-30.95
-36.81,-34.37,560,-31.92
-35.51,-32.16,559,-27.88
-36.8,-31.68,558,-27.6
-36.22,-32.24,557,-28.27
-35.66,-34.14,556,-32.23
-34.39,-33.11,555,-31.15
-38.61,-34.5,554,-31.69
-33.58,-32.67,553,-29.11
NA,-31.82,552,-29.53
