TSid,dataSetName,archiveType,pub1_authors,pub1_year,pub1_doi,pub2_authors,pub2_year,pub2_doi,originalDataUrl,lat,lon,elevation,siteName,subRegion,minYear,maxYear,proxy,measurementMaterial,variableName,variableNameOriginal,units,description,"paleoDataNotes
",climateVariable,climateVariableDetail,seasonality,direction,basis,calibration_method,inCompilation,useInGlobalHolocene,QC Certification,QC comments,link to lipdverse
GHc734e082,BJ8_13GGC,MarineSediment,"Linsley, Braddock K. ; Rosenthal, Yair ; Oppo, Delia W.",2010,10.1038/ngeo920,NA,NA,NA,NA,-7.4,115.2,-594,BJ813GGC,unassigned,169.18,10556.54,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/BJ8_13GGC.html
GH26dc1687,BJ8_70GGC,MarineSediment,"Linsley, Braddock K. ; Rosenthal, Yair ; Oppo, Delia W.",2010,10.1038/ngeo920,NA,NA,NA,NA,-3.6,119.4,-482,BJ870GGC,unassigned,107,14126,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/BJ8_70GGC.html
PYTUWT2GQ7F,farewell.Hu.1998,LakeSediment,NA,1998,10.1006/qres.1997.1936,NA,NA,NA,NA,62.55,-153.63,230,farewell,NA,-49.971,12517.308,Mg/Ca,NA,Mg/Ca,mg/ca,mmol/mol,NA,NA,T,lake@surface,Summer,NA,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/farewell.Hu.1998.html
GH4b2d276c,GeoB100384.Mohtadi.2010,MarineSediment,"Mohtadi, Mahyar ; Steinke, Stephan ; Lueckge, Andreas ; Groeneveld, Jeroen ; Hathorne, Ed C.",2010,10.1016/j.epsl.2010.01.024,NA,NA,NA,NA,-5.9,103.3,NA,GeoB10038-4,unassigned,440,15230,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GeoB100384.Mohtadi.2010.html
LPD78bb3782,GeoB10069-3.Gibbons.2014,MarineSediment,"Gibbons, Fern T. ; Oppo, Delia W. ; Mohtadi, Mahyar ; Rosenthal, Yair ; Cheng, Jun ; Liu, Zhengyu ; Linsley, Braddock K.",2014,10.1016/j.epsl.2013.11.032,NA,NA,NA,http://www.sciencedirect.com/science/article/pii/S0012821X13006663,-9.0099,120.0153,-1250,GeoB10069-3,unassigned,0.47,35.24,Mg/Ca,NA,temperature,SST,degC,NA,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GeoB10069-3.Gibbons.2014.html
LPD7de8d7c5,GeoB12610-2.Rippert.2015,MarineSediment,"RIPPERT, NADINE ; BAUMANN, KARL-HEINZ ; PAETZOLD, JUERGEN",2015,10.1002/jqs.2767,NA,NA,NA,https://doi.org/10.1594/PANGAEA.841927,-4.8167,39.4237,-399,GeoB12610,unassigned,350,33290,Mg/Ca,NA,temperature,SST,degC,SST (1-12) [   C],NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GeoB12610-2.Rippert.2015.html
GH874b8952,GeoB3129.Weldeab.2006,MarineSediment,"Weldeab, S. ; Schneider, R.R. ; Koelling, M.",2006,10.1016/j.epsl.2005.11.012,NA,NA,NA,NA,-4.6,-36.6,-830,GeoB3129,unassigned,170,13900,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GeoB3129.Weldeab.2006.html
LPD4767a673,GeoB4905.Weldeab.2005,MarineSediment,"Weldeab, Syee ; Schneider, Ralph R. ; Koelling, Martin ; Wefer, Gerold",2005,10.1130/G21874.1,NA,NA,NA,NA,2.5,9.4,-1328,GeoB4905,unassigned,60,14610,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GeoB4905.Weldeab.2005.html
LPD52d54dc4,GEOFAR_KF16_MgCa.Repschlager.2016,MarineSediment,"Schwab, C. ; Kinkel, H. ; Weinelt, M. ; Repschlaeger, J.",2012,10.1029/2012PA002281,NA,NA,NA,https://doi.org/10.1594/PANGAEA.824858,37.999,-31.1283,-3050,GEOFAR_KF22,unassigned,524,11258,Mg/Ca,NA,temperature,SST,degC,"Sea surface temperature [   C] (SST) * PI: Repschl    ger, Janne (https://orcid.org/0000-0002-6885-2280, J.Repschlaeger@mpic.de) * COMMENT: derived from Mg/Ca G. ruber w., calibration after Cleroux et al. (2008)","Sea surface temperature [   C] (SST) * PI: Repschl    ger, Janne (https://orcid.org/0000-0002-6885-2280, J.Repschlaeger@mpic.de) * COMMENT: derived from Mg/Ca G. ruber w., calibration after Cleroux et al. (2008)",T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GEOFAR_KF16_MgCa.Repschlager.2016.html
GH37fc751b,KY07_04_01.Kubota.2010,MarineSediment,"Kubota, Yoshimi ; Kimoto, Katsunori ; Tada, Ryuji ; Oda, Hirokuni ; Yokoyama, Yusuke ; Matsuzaki, Hiroyuki",2010,10.1029/2009PA001891,NA,NA,NA,NA,31.6,129,-2114,KY070401,unassigned,20.934,13081.627,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,Summer,positive,NA,NA,Temp12k,TRUE,NA,The core top sample yields a temperature of 24.9,http://lipdverse.org/globalHolocene/0_23_0/KY07_04_01.Kubota.2010.html
LPD2d83141e,MD01-2416.Sarnthien.2004,MarineSediment,"Sarnthein, M. ; Gebhardt, H. ; Kiefer, T. ; Kucera, M. ; Cook, M. ; Erlenkeuser, H.",2004,10.1016/j.quascirev.2004.08.008,NA,NA,NA,NA,51.268,167.725,-2317,MD01-2416,WNA,5632,11920,Mg/Ca,NA,temperature,SST,degC,NA,NA,T,sea@surface,Summer,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/MD01-2416.Sarnthien.2004.html
GHb33f95fe,MD012378.Xu.2008,LakeSediment,"Xu, Jian ; Holbourn, Ann ; Kuhnt, Wolfgang ; Jian, Zhimin ; Kawamura, Hiroshi",2008,10.1016/j.epsl.2008.06.029,NA,NA,NA,NA,13.1,121.8,-1783,MD01-2378,unassigned,732.25,15168.35,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/MD012378.Xu.2008.html
GHbf21e8dc,MD012390.Steinke.2008,LakeSediment,"Steinke, Stephan ; Kienast, Markus ; Groeneveld, Jeroen ; Lin, Li-Chuan ; Chen, Min-Te ; Rendle-Buehring, Rebecca",2008,10.1016/j.quascirev.2007.12.003,NA,NA,NA,NA,6.6,113.4,-1545,MD01-2390,unassigned,1050,16226,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/MD012390.Steinke.2008.html
GH9c7c7fd8,MD032707.Weldeab.2007,MarineSediment,"Weldeab, S. ; Lea, D. W. ; Schneider, R. R. ; Andersen, N.",2007,10.1126/science.1140461,NA,NA,NA,NA,2.5,9.4,-1295,MD03-2707,unassigned,360,13100,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/MD032707.Weldeab.2007.html
GHa740369f,MD972141,MarineSediment,"Rosenthal, Yair ; Oppo, Delia W. ; Linsley, Braddock K.",2003,10.1029/2002GL016612,NA,NA,NA,NA,8.78,121.28,-3633,MD97-2141,unassigned,4334.286,70800,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/MD972141.html
GHd91e00fa,MD982165,MarineSediment,"Levi, Camille ; Labeyrie, Laurent ; Bassinot, Franck ; Guichard, Francois ; Cortijo, Elsa ; Waelbroeck, Claire ; Caillon, Nicolas ; Duprat, Josette ; de Garidel-Thoron, Thibault ; Elderfield, Harry",2007,10.1029/2006GC001514,NA,NA,NA,NA,-9.7,118.3,-2100,MD98-2165,unassigned,767,14689.3,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/MD982165.html
GH6d77af79,MD982176,MarineSediment,"Stott, L. ; Timmermann, A. ; Thunell, R.",2007,10.1126/science.1143791,NA,NA,NA,NA,-5,133.4,-2382,MD98-2176,unassigned,125.74,13171,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,seasonal interpreation not explicitly stated but inferred based on general discussion in the text,http://lipdverse.org/globalHolocene/0_23_0/MD982176.html
LPDf5f8b9a6,MD982181,MarineSediment,"Stott, L. ; Timmermann, A. ; Thunell, R.",2007,10.1126/science.1143791,NA,NA,NA,NA,6.3,125.8,-2114,MD98-2181,unassigned,2.6,11659,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,seasonal interpreation not explicitly stated but inferred based on general discussion in the text,http://lipdverse.org/globalHolocene/0_23_0/MD982181.html
GH9aabd826,ME005A43JC,MarineSediment,"Benway, H. M. ; Mix, A. C. ; Haley, B. A. ; Klinkhammer, G. P.",2006,10.1029/2005PA001208,NA,NA,NA,NA,7.9,-83.6,-1368,ME005A-43JC,unassigned,492,15560,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/ME005A43JC.html
NAm2kHydro109,MV99-GC41.Marchitto. 2010,MarineSediment,"Marchitto, T. M. ; Muscheler, R. ; Ortiz, J. D. ; Carriquiry, J. D. ; van Geen, A.",2010,10.1126/science.1194887,NA,NA,NA,NA,25.2,-112.7,-540,MV99-GC41,WNA,831.9,13811.8,Mg/Ca,NA,temperature,SST,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_20_1/MV99-GC41.Marchitto. 2010.html
GHc6db9661,ODP1084B,MarineSediment,"Farmer, E. Christa ; deMenocal, Peter B. ; Marchitto, Thomas M.",2005,10.1029/2004PA001049,NA,NA,NA,NA,-25.5,13,NA,ODP1084B,unassigned,0,21262,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,winter,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/ODP1084B.html
LPDce0e7640,P178-15P.Tierney.2015,MarineSediment,"Tierney, Jessica E. ; Pausata, Francesco S. R. ; deMenocal, Peter",2015,10.1038/ngeo2603,NA,NA,NA,NA,11.955,44.3,-869,P178-15P,unassigned,-18,39485,Mg/Ca,NA,temperature,sst0x2Dmg0x2Fca,degC,NA,New multivariate calibration developed for this study; see Supplementary Information,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,New multivariate calibration developed for this study; see Supplementary Information,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/P178-15P.Tierney.2015.html
LPD8a78a6cc,PL0739PC.Lea.2003,MarineSediment,"Lea, D. W.",2003,10.1126/science.1088470,NaN,NA,NA,NA,10.7,-65,-790,PL07-39PC,unassigned,465,14077,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/PL0739PC.Lea.2003.html
PYTCKIHL13P,RAPID-12.Thournally.2009,MarineSediment,NA,2009,10.1038/nature07717,NA,NA,NA,NA,62.0905,-17.8197,-1938,RAPID-12,NA,0,11868.5,Mg/Ca,NA,temperature,NA,degC,NA,NA,T,NST,NA,NA,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/RAPID-12.Thournally.2009.html
LPDadaae75f,SN-6.STiwari.2015,MarineSediment,"Tiwari, Manish ; Nagoji, Siddhesh S ; Ganeshram, Raja S",2015,10.1177/0959683615585840,NA,NA,NA,http://www.ncdc.noaa.gov/paleo/study/18919,12.486,74.133,-589,SN-6,unassigned,154.21,4772.19,Mg/Ca,NA,temperature,SST,degC,NA,NA,T,sea@surface,NA,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SN-6.STiwari.2015.html
LPD35f2c581,SO189-119KL.Mohtadi.2014,MarineSediment,"Mohtadi, Mahyar ; Prange, Matthias ; Oppo, Delia W. ; De Pol-Holz, Ricardo ; Merkel, Ute ; Zhang, Xiao ; Steinke, Stephan ; Lueckge, Andreas",2014,10.1038/nature13196,NA,NA,NA,https://www.ncdc.noaa.gov/paleo/study/19139,3.5167,96.3167,-808,SO189-119KL,unassigned,60,36060,Mg/Ca,NA,temperature,SST,degC,"sst-mg/ca-rub.ss Sea surface temperature, , , degrees C, , paleoceanography, from Mg/Ca Globigerinoides ruber white sensu stricto, calculated after Anand et al. (2003),N",NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO189-119KL.Mohtadi.2014.html
LPDdaddb218,SO189-39KL.Mohtadi.2014,MarineSediment,"Mohtadi, Mahyar ; Prange, Matthias ; Oppo, Delia W. ; De Pol-Holz, Ricardo ; Merkel, Ute ; Zhang, Xiao ; Steinke, Stephan ; Lueckge, Andreas",2014,10.1038/nature13196,NA,NA,NA,https://www.ncdc.noaa.gov/paleo/study/19139,-0.7833,99.9,-517,SO189-119KL,unassigned,410,45330,Mg/Ca,NA,temperature,SST,degC,"Globigerinoides ruber white sensu stricto, calculated after Anand et al. (2003),N","Globigerinoides ruber white sensu stricto, calculated after Anand et al. (2003),N",T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO189-39KL.Mohtadi.2014.html
GH7c7f0f75,V2130,MarineSediment,"Koutavas, Athanasios ; Lynch-Stieglitz, Jean",2003,10.1029/2003PA000894,NaN,NA,NA,NA,1.22,-89.68,-617,V21-30,unassigned,2434.545,27472.429,Mg/Ca,NA,temperature,NA,degC,NA,; paleoData_proxy changed - was originally MgCa,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/V2130.html
WEB6caee137,HjortSo.Wagner.2008,LakeSediment,"Wagner, Bernd ; Bennike, Ole ; Bos, Johanna A. A. ; Cremer, Holger ; Lotter, Andre F. ; Melles, Martin",2008,10.1007/s10933-007-9120-3,NA,NA,NA,NA,76.4331,-18.7614,114,Hjort So,NA,371,10009,particle size,NA,D50,NA,mcm,"Median, grain size [m] (D50)",NA,T,NA,Summer,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/HjortSo.Wagner.2008.html
M2Lhfelk1bfP,Abalone.Cole.1994,LakeSediment,"Mathewes, Rolf W. ; Heusser, Linda E.",1981,10.1139/b81-100,NA,NA,NA,NA,33.96,-119.98,0,NA,WNA,-40,6113.9,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Abalone.Cole.1994.html
PYTMUTG3NU9,akvaquak.Frechette.2009,LakeSediment,NA,2009,10.5194/cp-5-347-2009,NA,NA,NA,NA,66.7833,-63.95,17,akvaquak,NA,10,8334,pollen,NA,uncertainty.temperature,TempMax,degC,TempMax,TempMax,T,air@surface,7,positive,NA,NA,Temp12k,TRUE-2,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/akvaquak.Frechette.2009.html
PYTHL70XHKP,akvaquak.Frechette.2009,LakeSediment,NA,2009,10.5194/cp-5-347-2009,NA,NA,NA,NA,66.7833,-63.95,17,akvaquak,NA,10,8334,pollen,NA,uncertainty.temperature,TempMin,degC,TempMin,TempMin,T,air@surface,7,positive,NA,NA,Temp12k,TRUE-1,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/akvaquak.Frechette.2009.html
PYTCLN8P1CL,andy.Szeicz.1995,LakeSediment,NA,1995,10.1016/0031-0182(95)00070-3,NA,NA,NA,NA,64.65,-128.0833,1360,andy,NA,0,9803,pollen,NA,temperature,NA,degC,NA,NA,T,air@surface,warmest+coldest,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/andy.Szeicz.1995.html
PYTXFMZ1EQU,arapisto.Sarmaja-Korjonen.2007,LakeSediment,NA,2007,10.1177/0959683607077020,NA,NA,NA,NA,60.58,24.8,133,arapisto,NA,0,8888.5,pollen,NA,temperature,NA,degC,NA,NA,T,air@surface,ANN,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/arapisto.Sarmaja-Korjonen.2007.html
M2L68fmqq0lP,Atocas.Gauthier.1981,LakeSediment,NA,NA,NA,NA,NA,NA,NA,45.54,-73.31,114,NA,NA,0,11977,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Atocas.Gauthier.1981.html
PYTLCCXN62R,austerkjosen.Seppa.2009,LakeSediment,NA,2009,10.5194/cp-5-523-2009,NA,NA,NA,NA,68.5333,17.2667,135,austerkjosen,NA,19.45,8838.87,pollen,NA,temperature,NA,degC,NA,NA,T,air@surface,7,posiitve,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/austerkjosen.Seppa.2009.html
M2Lrnm3244iP,Axe.McAndrews.No,LakeSediment,NA,NA,NA,NA,NA,NA,NA,45.38,-79.51,323,NA,NA,-15,11159,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Axe.McAndrews.No.html
M2Lmpe7cfl9P,BanksIsland74MS11.Gajewski.2000,LakeSediment,NA,NA,NA,NA,NA,NA,NA,71.75,-124.27,30,NA,NA,-50,10183,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/BanksIsland74MS11.Gajewski.2000.html
M2Lzkp2ld6fP,BanksIsland74MS12.Gajewski.2000,LakeSediment,NA,NA,NA,NA,NA,NA,NA,72.37,-119.83,220,NA,NA,175,10183,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/BanksIsland74MS12.Gajewski.2000.html
M2Lqd7jeqa8P,BanksIsland74MS15.Gajewski.2000,LakeSediment,NA,NA,NA,NA,NA,NA,NA,73.53,-120.22,120,NA,NA,14,10183,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/BanksIsland74MS15.Gajewski.2000.html
M2Lqrusrc3gP,Bastien.Bennett.1987,LakeSediment,NA,NA,NA,NA,NA,NA,NA,46.4,-78.92,305,NA,NA,0,10833,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Bastien.Bennett.1987.html
M2Lx72gur5lP,BattleGround.Whitlock.1985,LakeSediment,NA,NA,NA,NA,NA,NA,NA,45.8,-122.49,155,NA,NA,-30,23850.6,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/BattleGround.Whitlock.1985.html
M2Liw3f5q2yP,BearBog.McAndrews.1992,LakeSediment,NA,NA,NA,NA,NA,NA,NA,47.18,-80.16,304,NA,NA,4076,11127,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/BearBog.McAndrews.1992.html
M2L6n22fvlcP,Beaverhouse.Ritchie.1976,LakeSediment,NA,NA,NA,NA,NA,NA,NA,54.74,-101.68,305,NA,NA,-25,10183,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Beaverhouse.Ritchie.1976.html
M2Lgb6c2jm2P,BeefPasture.Petersen.1985,LakeSediment,"Marsicek, Jeremiah ; Shuman, Bryan N. ; Bartlein, Patrick J. ; Shafer, Sarah L. ; Brewer, Simon",2018,10.1038/nature25464,NA,NA,NA,NA,37.42,-108.15,3060,Beef Pasture,WNA,0,6025.2,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/BeefPasture.Petersen.1985.html
PYTV4OH8PKH,bells.Szeicz.1995,LakeSediment,NA,1995,10.1016/0031-0182(95)00070-3,NA,NA,NA,NA,65.0167,-127.4833,580,bells,NA,0,13299,pollen,NA,temperature,NA,degC,NA,NA,T,air@surface,coldest,NA,NA,NA,Temp12k,TRUE-1,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/bells.Szeicz.1995.html
PYTNNSXZFMF,bells.Szeicz.1995,LakeSediment,NA,1995,10.1016/0031-0182(95)00070-3,NA,NA,NA,NA,65.0167,-127.4833,580,bells,NA,0,9702,pollen,NA,temperature,NA,degC,NA,NA,T,air@surface,warmest+coldest,positive,NA,NA,Temp12k,TRUE-2,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/bells.Szeicz.1995.html
M2Lsemj4z4fP,Berry.Whitehead.1979,LakeSediment,NA,NA,NA,NA,NA,NA,NA,42.5,-73.32,600,NA,NA,40,14433,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Berry.Whitehead.1979.html
M2La2ua5w4kP,BI2.Gajewski.1992,LakeSediment,NA,NA,NA,NA,NA,NA,NA,57.12,-76.38,210,NA,NA,-42,7791,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/BI2.Gajewski.1992.html
LPD07ea24cb,BighornBasin.Shuman.2012,LakeSediment,"Kelly, R. L. ; Surovell, T. A. ; Shuman, B. N. ; Smith, G. M.",2012,10.1073/pnas.1201341110,NA,NA,NA,NA,44.285,-108.635,2514,Bighorn Basin,WNA,0,12000,pollen,NA,RegionalMeanAnnualTemp,NA,degC,Average temperature reconstruction from Buckbean Fen and Sherd Lake,Average temperature reconstruction from Buckbean Fen and Sherd Lake,T,MAT,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/BighornBasin.Shuman.2012.html
M2Lqditl4qyP,Billys.Jacobson.1975,LakeSediment,NA,NA,NA,NA,NA,NA,NA,46.27,-94.55,383,NA,NA,0,11474.4,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Billys.Jacobson.1975.html
LPD779b21dc,BloodPond.Marsicek.2013T,LakeSediment,"Marsicek, Jeremiah P. ; Shuman, Bryan ; Brewer, Simon ; Foster, David R. ; Oswald, W. Wyatt",2013,10.1016/j.quascirev.2013.09.001,NEEDS AUTHORS!,2007,10.1111/j.1365-2699.2006.016,NA,42.08,-71.962,214,Blood Pond,unassigned,0,11000,pollen,NA,MTWM,NA,degC,NA,"50-yr binned (Shuman and Marsicek, 2016)",T,air@surface,Summer,positive,NA,NA,Temp12k,TRUE,NA,"50-yr binned (Shuman and Marsicek, 2016)",http://lipdverse.org/globalHolocene/0_23_0/BloodPond.Marsicek.2013T.html
M2Liv8xnftiP,BlueMoundsCreek.Davis.1977,LakeSediment,NA,NA,NA,NA,NA,NA,NA,-89.87,43.08,335,NA,NA,0,12104,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/BlueMoundsCreek.Davis.1977.html
M2Lgorjfg1lP,BogD.McAndrews.1966,LakeSediment,NA,NA,NA,NA,NA,NA,NA,-95.16,47.18,460,NA,NA,-10,10888,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/BogD.McAndrews.1966.html
M2Lxytve3doP,Boone.White.1986,LakeSediment,NA,NA,NA,NA,NA,NA,NA,55.58,-119.43,872,NA,NA,-28,13668,pollen,NA,temperature,temperatureAnnual,degC,NA,NA,T,air@surface,NA,NA,NA,MAT,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Boone.White.1986.html
