TSid,dataSetName,archiveType,pub1_authors,pub1_year,pub1_doi,pub2_authors,pub2_year,pub2_doi,originalDataUrl,lat,lon,elevation,siteName,subRegion,minYear,maxYear,proxy,measurementMaterial,variableName,units,paleoDataNotes,climateVariable,climateVariableDetail,seasonality,direction,calibration_method,inCompilation,useInGlobalHolocene,QC Certification,QC comments,link to lipdverse
RKXssWatJFm,GeoB6211_2,MarineSediment,"Chiessi, Cristiano M. ; Mulitza, Stefan ; Paul, Andre ; Paetzold, Juergen ; Groeneveld, Jeroen ; Wefer, Gerold",2008,10.1130/G24979A.1,"Voigt, Ines ; Chiessi, Cristiano M. ; Prange, Matthias ; Mulitza, Stefan ; Groeneveld, Jeroen ; Varma, Vidya ; Henrich, Ruediger",2008,10.1002/2014PA002677,,-32.5052,-50.2427,-657,GeoB6211_2,,1185,19300,,planktic foraminifera calcite,planktic.d18O,permil,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB6211_2.html
LPD5ef3a5c6,GeoB65181_MBT.Weijers.2007,MarineSediment,"Weijers, J. W. H. ; Schefuss, E. ; Schouten, S. ; Damste, J. S. S.",2007,10.1126/science.1138131,,,,,-5.6,11.2,-962,GeoB6518-1,unassigned,30,14690,,,MBT,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB65181_MBT.Weijers.2007.html
GHd6662417,GeoB65181_MBT.Weijers.2007,MarineSediment,"Weijers, J. W. H. ; Schefuss, E. ; Schouten, S. ; Damste, J. S. S.",2007,10.1126/science.1138131,,,,,-5.6,11.2,-962,GeoB6518-1,unassigned,30,14690,GDGT,,temperature,degC,,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB65181_MBT.Weijers.2007.html
GHb1a82e97,GeoB65181.Schefu.2005,MarineSediment,"SchefuSS, Enno ; Schouten, Stefan ; Schneider, Ralph R.",2005,10.1038/nature03945,,,,,-5.6,11.2,-962,GeoB6518-1,unassigned,30,14690,,,Uk37,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB65181.Schefu.2005.html
GHfa7d77a6,GeoB65181.Schefu.2005,MarineSediment,"SchefuSS, Enno ; Schouten, Stefan ; Schneider, Ralph R.",2005,10.1038/nature03945,,,,,-5.6,11.2,-962,GeoB6518-1,unassigned,30,14690,alkenone,,temperature,degC,,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB65181.Schefu.2005.html
GH229ee386,GeoB71392.Kaiser.2008,MarineSediment,"Kaiser, Jerome ; SchefuSS, Enno ; Lamy, Frank ; Mohtadi, Mahyar ; Hebbeln, Dierk",2008,10.1016/j.quascirev.2008.08.025,,,,,-30.2,-72,,GeoB7139-2,unassigned,1160,14950,,,Uk37,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB71392.Kaiser.2008.html
LPDae761fd0xxxx,GeoB71392.Kaiser.2008,MarineSediment,"Kaiser, Jerome ; SchefuSS, Enno ; Lamy, Frank ; Mohtadi, Mahyar ; Hebbeln, Dierk",2008,10.1016/j.quascirev.2008.08.025,,,,,-30.2,-72,,GeoB7139-2,unassigned,1160,14950,alkenone,,temperature,degC,,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB71392.Kaiser.2008.html
LPD33714919xxx,GeoB7622-2.Lamy.2006,MarineSediment,"Lamy, Frank ; Arz, Helge W. ; Bond, Gerard C. ; Bahr, Andre ; Paetzold, Juergen",2006,10.1029/2005PA001184,,,,,32.1,10.1,-1305,GeoB7622-2,unassigned,50,8000,particle size,,clay,layers/200yrs,,M,,winter,positive,,,TRUE,,The homogenous clay layers most likely represent suspension fallout events from the Sakarya River plume related to increased winter rain in its western Anatolian drainage basin,http://lipdverse.org/globalHolocene/0_25_5/GeoB7622-2.Lamy.2006.html
LPDe85bf987xxx,GeoB7625-2.Lamy.2006,MarineSediment,"Lamy, Frank ; Arz, Helge W. ; Bond, Gerard C. ; Bahr, Andre ; Paetzold, Juergen",2006,10.1029/2005PA001184,,,,,26.7,4,-1242,GeoB7622-2,unassigned,350,8000,particle size,,clay,layers/200yrs,,M,,winter,positive,,,TRUE,,The homogenous clay layers most likely represent suspension fallout events from the Sakarya River plume related to increased winter rain in its western Anatolian drainage basin,http://lipdverse.org/globalHolocene/0_25_5/GeoB7625-2.Lamy.2006.html
LPD36e20a5f,GeoB7702-3.Castaneda.2016,MarineSediment,"Castaneda, Isla S. ; Schouten, Stefan ; Paetzold, Juergen ; Lucassen, Friedrich ; Kasemann, Simone ; Kuhlmann, Holger ; SchefuSS, Enno",2016,10.1016/j.epsl.2015.12.014,,,,https://doi.org/10.1594/PANGAEA.858559,31.6517,34.0667,-562,GeoB7702-3,unassigned,141.8,26616.6,,,C31dD,permil,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7702-3.Castaneda.2016.html
LPD3798724b,GeoB7702-3.Castaneda.2016,MarineSediment,"Castaneda, Isla S. ; Schouten, Stefan ; Paetzold, Juergen ; Lucassen, Friedrich ; Kasemann, Simone ; Kuhlmann, Holger ; SchefuSS, Enno",2016,10.1016/j.epsl.2015.12.014,,,,https://doi.org/10.1594/PANGAEA.858559,31.6517,34.0667,-562,GeoB7702-3,unassigned,141.8,26616.6,,,C31dDsd,unitless,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7702-3.Castaneda.2016.html
LPDf79af672,GeoB7702-3.Castaneda.2016,MarineSediment,"Castaneda, Isla S. ; Schouten, Stefan ; Paetzold, Juergen ; Lucassen, Friedrich ; Kasemann, Simone ; Kuhlmann, Holger ; SchefuSS, Enno",2016,10.1016/j.epsl.2015.12.014,,,,https://doi.org/10.1594/PANGAEA.858559,31.6517,34.0667,-562,GeoB7702-3,unassigned,141.8,26616.6,dD,,C31dDSmow-ice,permil,,M,monsoon,,negative,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7702-3.Castaneda.2016.html
LPD17ad91b2,GeoB7702-3.Castaneda.2016,MarineSediment,"Castaneda, Isla S. ; Schouten, Stefan ; Paetzold, Juergen ; Lucassen, Friedrich ; Kasemann, Simone ; Kuhlmann, Holger ; SchefuSS, Enno",2016,10.1016/j.epsl.2015.12.014,,,,https://doi.org/10.1594/PANGAEA.858559,31.6517,34.0667,-562,GeoB7702-3,unassigned,141.8,26616.6,,,C31d13C_PDB,permil,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7702-3.Castaneda.2016.html
LPD10136429,GeoB7702-3.Castaneda.2016,MarineSediment,"Castaneda, Isla S. ; Schouten, Stefan ; Paetzold, Juergen ; Lucassen, Friedrich ; Kasemann, Simone ; Kuhlmann, Holger ; SchefuSS, Enno",2016,10.1016/j.epsl.2015.12.014,,,,https://doi.org/10.1594/PANGAEA.858559,31.6517,34.0667,-562,GeoB7702-3,unassigned,141.8,26616.6,,,C31d13Csd,unitless,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7702-3.Castaneda.2016.html
LPD1be767d8,GeoB7702-3.Castaneda.2016,MarineSediment,"Castaneda, Isla S. ; Schouten, Stefan ; Paetzold, Juergen ; Lucassen, Friedrich ; Kasemann, Simone ; Kuhlmann, Holger ; SchefuSS, Enno",2016,10.1016/j.epsl.2015.12.014,,,,https://doi.org/10.1594/PANGAEA.858559,31.6517,34.0667,-562,GeoB7702-3,unassigned,141.8,26616.6,,,MBT,unitless,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7702-3.Castaneda.2016.html
LPD2326672b,GeoB7702-3.Castaneda.2016,MarineSediment,"Castaneda, Isla S. ; Schouten, Stefan ; Paetzold, Juergen ; Lucassen, Friedrich ; Kasemann, Simone ; Kuhlmann, Holger ; SchefuSS, Enno",2016,10.1016/j.epsl.2015.12.014,,,,https://doi.org/10.1594/PANGAEA.858559,31.6517,34.0667,-562,GeoB7702-3,unassigned,141.8,26616.6,,,MBTsd,unitless,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7702-3.Castaneda.2016.html
LPD6a7b432f,GeoB7702-3.Castaneda.2016,MarineSediment,"Castaneda, Isla S. ; Schouten, Stefan ; Paetzold, Juergen ; Lucassen, Friedrich ; Kasemann, Simone ; Kuhlmann, Holger ; SchefuSS, Enno",2016,10.1016/j.epsl.2015.12.014,,,,https://doi.org/10.1594/PANGAEA.858559,31.6517,34.0667,-562,GeoB7702-3,unassigned,141.8,26616.6,GDGT,,MAAT,degC,,T,MAAT,1 2 3 4 5 6 7 8 9 10 11 12,positive,,,FALSE,DK,Bounces from around 0 to around 17C; possibly two records (MAT and anomalies),http://lipdverse.org/globalHolocene/0_25_5/GeoB7702-3.Castaneda.2016.html
LPDfe736bed,GeoB7702-3.Castaneda.2016,MarineSediment,"Castaneda, Isla S. ; Schouten, Stefan ; Paetzold, Juergen ; Lucassen, Friedrich ; Kasemann, Simone ; Kuhlmann, Holger ; SchefuSS, Enno",2016,10.1016/j.epsl.2015.12.014,,,,https://doi.org/10.1594/PANGAEA.858559,31.6517,34.0667,-562,GeoB7702-3,unassigned,141.8,26616.6,,,CBT,unitless,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7702-3.Castaneda.2016.html
LPDf2234b39,GeoB7702-3.Castaneda.2016,MarineSediment,"Castaneda, Isla S. ; Schouten, Stefan ; Paetzold, Juergen ; Lucassen, Friedrich ; Kasemann, Simone ; Kuhlmann, Holger ; SchefuSS, Enno",2016,10.1016/j.epsl.2015.12.014,,,,https://doi.org/10.1594/PANGAEA.858559,31.6517,34.0667,-562,GeoB7702-3,unassigned,141.8,26616.6,,,CBTsd,unitless,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7702-3.Castaneda.2016.html
LPD277e0621,GeoB7702-3.Castaneda.2016,MarineSediment,"Castaneda, Isla S. ; Schouten, Stefan ; Paetzold, Juergen ; Lucassen, Friedrich ; Kasemann, Simone ; Kuhlmann, Holger ; SchefuSS, Enno",2016,10.1016/j.epsl.2015.12.014,,,,https://doi.org/10.1594/PANGAEA.858559,31.6517,34.0667,-562,GeoB7702-3,unassigned,141.8,26616.6,,,pH,pH,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7702-3.Castaneda.2016.html
LPD378db911xxx,GeoB77023.Castaeda.2010,MarineSediment,"Castaneda, Isla S. ; SchefuSS, Enno ; Paetzold, Juergen ; Sinninghe Damste, Jaap S. ; Weldeab, Syee ; Schouten, Stefan",2010,10.1029/2009PA001740,,,,,31.7,34.1,562,GeoB7702-3,unassigned,141.75,14584.641,,,TEX86,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB77023.Castaeda.2010.html
LPDd7695163xxx,GeoB77023.Castaeda.2010,MarineSediment,"Castaneda, Isla S. ; SchefuSS, Enno ; Paetzold, Juergen ; Sinninghe Damste, Jaap S. ; Weldeab, Syee ; Schouten, Stefan",2010,10.1029/2009PA001740,,,,,31.7,34.1,562,GeoB7702-3,unassigned,141.75,14584.641,TEX86,,temperature,degC,,T,sea@surface,Summer,positive,,Temp12k,TRUE,,We therefore suggest that TEX86 in the EM reflects summer SST during the Holocene.,http://lipdverse.org/globalHolocene/0_25_5/GeoB77023.Castaeda.2010.html
LPD23d73becxxx,GeoB7920-2.Collins.2013,MarineSediment,"Collins, J. A. ; Govin, A. ; Mulitza, S. ; Heslop, D. ; Zabel, M. ; Hartmann, J. ; Roehl, U. ; Wefer, G.",2013,10.5194/cp-9-1181-2013,,,,,20.7517,-18.5817,-2278,GeoB7920-2,unassigned,610,59960,mineral,,dust,percent,,M,monsoon,Summer,negative,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7920-2.Collins.2013.html
LPDd737d3bdxxx,GeoB7920-2.Collins.2013,MarineSediment,"Collins, J. A. ; Govin, A. ; Mulitza, S. ; Heslop, D. ; Zabel, M. ; Hartmann, J. ; Roehl, U. ; Wefer, G.",2013,10.5194/cp-9-1181-2013,,,,,20.7517,-18.5817,-2278,GeoB7920-2,unassigned,610,59960,,,UncertaintyDust0x5B0x250x5D0x28Plus0x29,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7920-2.Collins.2013.html
LPD87f9c656xxx,GeoB7920-2.Collins.2013,MarineSediment,"Collins, J. A. ; Govin, A. ; Mulitza, S. ; Heslop, D. ; Zabel, M. ; Hartmann, J. ; Roehl, U. ; Wefer, G.",2013,10.5194/cp-9-1181-2013,,,,,20.7517,-18.5817,-2278,GeoB7920-2,unassigned,610,59960,,,UncertaintyDust0x5B0x250x5D0x28Minus0x29,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7920-2.Collins.2013.html
Rv4zH79KoJ3,GeoB7926_2,MarineSediment,"Romero, Oscar E. ; Kim, Jung-Hyun ; Donner, Barbara",2008,10.1029/2008PA001601,,,10.1594/PANGAEA.847823,,20.2133,-18.4517,-2500,GeoB7926_2,,Inf,-Inf,,bulk sediment,BSi,percent,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7926_2.html
R09MLTENrdx,GeoB7926_2,MarineSediment,"Romero, Oscar E. ; Kim, Jung-Hyun ; Donner, Barbara",2008,10.1029/2008PA001601,,,10.1594/PANGAEA.847823,,20.2133,-18.4517,-2500,GeoB7926_2,,Inf,-Inf,,bulk sediment,TOC,percent,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7926_2.html
RShnCFF0K42,GeoB7926_2,MarineSediment,"Romero, Oscar E. ; Kim, Jung-Hyun ; Donner, Barbara",2008,10.1029/2008PA001601,,,10.1594/PANGAEA.847823,,20.2133,-18.4517,-2500,GeoB7926_2,,Inf,-Inf,,bulk sediment,CaCO3,percent,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB7926_2.html
R4tu5xonHiE,GeoB7926_2,MarineSediment,"Romero, Oscar E. ; Kim, Jung-Hyun ; Donner, Barbara",2008,10.1029/2008PA001601,,,10.1594/PANGAEA.847823,,20.2133,-18.4517,-2500,GeoB7926_2,,Inf,-Inf,alkenones,UK37,temperature,degC,,T,,,,,,FALSE,RV,"fails age control, 3000-year gap",http://lipdverse.org/globalHolocene/0_25_5/GeoB7926_2.html
RpwIstqgtt1,GeoB9307_3,MarineSediment,"SchefuSS, Enno ; Kuhlmann, Holger ; Mollenhauer, Gesine ; Prange, Matthias ; Paetzold, Juergen",2011,10.1038/nature10685,,,,,-18.565,37.38,-542,GeoB9307_3,,270,16947,,bulk sediment,TEX86,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9307_3.html
RNriVQHlPHh,GeoB9307_3,MarineSediment,"SchefuSS, Enno ; Kuhlmann, Holger ; Mollenhauer, Gesine ; Prange, Matthias ; Paetzold, Juergen",2011,10.1038/nature10685,,,,,-18.565,37.38,-542,GeoB9307_3,,270,16947,TEX86,,temperature,degC,,T,sea@surface,,,,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9307_3.html
RttEchD4Tm7,GeoB9508_5,MarineSediment,"Mulitza, Stefan ; Prange, Matthias ; Stuut, Jan-Berend ; Zabel, Matthias ; von Dobeneck, Tilo ; Itambi, Achakie C. ; Nizou, Jean ; Schulz, Michael ; Wefer, Gerold",2008,10.1029/2008PA001637,"Niedermeyer, E. M. ; Prange, Matthias ; Mulitza, Stefan ; Mollenhauer, Gesine ; SchefuSS, Enno ; Schulz, Michael",2008,10.1029/2009GL039687,,15.4983,-17.948,-2384,GeoB9508_5,,760,57210,,benthic foraminifera calcite,d13C,permil,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9508_5.html
R5EF9dwlPV9,GeoB9508_5,MarineSediment,"Mulitza, Stefan ; Prange, Matthias ; Stuut, Jan-Berend ; Zabel, Matthias ; von Dobeneck, Tilo ; Itambi, Achakie C. ; Nizou, Jean ; Schulz, Michael ; Wefer, Gerold",2008,10.1029/2008PA001637,"Niedermeyer, E. M. ; Prange, Matthias ; Mulitza, Stefan ; Mollenhauer, Gesine ; SchefuSS, Enno ; Schulz, Michael",2008,10.1029/2009GL039687,,15.4983,-17.948,-2384,GeoB9508_5,,760,57210,,benthic foraminifera calcite,d18O,permil,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9508_5.html
RmNtC8m0wVx,GeoB9508_5,MarineSediment,"Mulitza, Stefan ; Prange, Matthias ; Stuut, Jan-Berend ; Zabel, Matthias ; von Dobeneck, Tilo ; Itambi, Achakie C. ; Nizou, Jean ; Schulz, Michael ; Wefer, Gerold",2008,10.1029/2008PA001637,"Niedermeyer, E. M. ; Prange, Matthias ; Mulitza, Stefan ; Mollenhauer, Gesine ; SchefuSS, Enno ; Schulz, Michael",2008,10.1029/2009GL039687,,15.4983,-17.948,-2384,GeoB9508_5,,1362,43640,,bulk sediment,Uk37,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9508_5.html
R5B58PYtOGm,GeoB9508_5,MarineSediment,"Mulitza, Stefan ; Prange, Matthias ; Stuut, Jan-Berend ; Zabel, Matthias ; von Dobeneck, Tilo ; Itambi, Achakie C. ; Nizou, Jean ; Schulz, Michael ; Wefer, Gerold",2008,10.1029/2008PA001637,"Niedermeyer, E. M. ; Prange, Matthias ; Mulitza, Stefan ; Mollenhauer, Gesine ; SchefuSS, Enno ; Schulz, Michael",2008,10.1029/2009GL039687,,15.4983,-17.948,-2384,GeoB9508_5,,1362,43640,alkenones,UK37,temperature,degC,,T,,,,,,FALSE,RV/DK,"fails age control, >3000 year gap",http://lipdverse.org/globalHolocene/0_25_5/GeoB9508_5.html
R6qZvs6x9qv,GeoB9508_5,MarineSediment,"Mulitza, Stefan ; Prange, Matthias ; Stuut, Jan-Berend ; Zabel, Matthias ; von Dobeneck, Tilo ; Itambi, Achakie C. ; Nizou, Jean ; Schulz, Michael ; Wefer, Gerold",2008,10.1029/2008PA001637,"Niedermeyer, E. M. ; Prange, Matthias ; Mulitza, Stefan ; Mollenhauer, Gesine ; SchefuSS, Enno ; Schulz, Michael",2008,10.1029/2009GL039687,,15.4983,-17.948,-2384,GeoB9508_5,,1450,57210,,planktic foraminifera calcite,planktic.MgCa,mmol_mol,oxydative cleaning only; error includes replicate measurements,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9508_5.html
REtwXAqbFPg,GeoB9508_5,MarineSediment,"Mulitza, Stefan ; Prange, Matthias ; Stuut, Jan-Berend ; Zabel, Matthias ; von Dobeneck, Tilo ; Itambi, Achakie C. ; Nizou, Jean ; Schulz, Michael ; Wefer, Gerold",2008,10.1029/2008PA001637,"Niedermeyer, E. M. ; Prange, Matthias ; Mulitza, Stefan ; Mollenhauer, Gesine ; SchefuSS, Enno ; Schulz, Michael",2008,10.1029/2009GL039687,,15.4983,-17.948,-2384,GeoB9508_5,,1450,57210,,MgCa,temperature,degC,,T,,,,,,FALSE,RV/DK,"fails age control, >3000 year gap",http://lipdverse.org/globalHolocene/0_25_5/GeoB9508_5.html
RDlCEPaQk3m,GeoB9508_5,MarineSediment,"Mulitza, Stefan ; Prange, Matthias ; Stuut, Jan-Berend ; Zabel, Matthias ; von Dobeneck, Tilo ; Itambi, Achakie C. ; Nizou, Jean ; Schulz, Michael ; Wefer, Gerold",2008,10.1029/2008PA001637,"Niedermeyer, E. M. ; Prange, Matthias ; Mulitza, Stefan ; Mollenhauer, Gesine ; SchefuSS, Enno ; Schulz, Michael",2008,10.1029/2009GL039687,,15.4983,-17.948,-2384,GeoB9508_5,,11640,21570,,planktic foraminifera calcite,planktic.MgCa,mmol_mol,Only non-encrusted specimens of G. inflata with three chambers in the final whorl; oxydative cleaning following Barker et al,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9508_5.html
RZJHAqoUAHC,GeoB9508_5,MarineSediment,"Mulitza, Stefan ; Prange, Matthias ; Stuut, Jan-Berend ; Zabel, Matthias ; von Dobeneck, Tilo ; Itambi, Achakie C. ; Nizou, Jean ; Schulz, Michael ; Wefer, Gerold",2008,10.1029/2008PA001637,"Niedermeyer, E. M. ; Prange, Matthias ; Mulitza, Stefan ; Mollenhauer, Gesine ; SchefuSS, Enno ; Schulz, Michael",2008,10.1029/2009GL039687,,15.4983,-17.948,-2384,GeoB9508_5,,11640,21570,,MgCa,temperature,degC,,T,,,,,,FALSE,RV/DK,"fails age control, >3000 year gap",http://lipdverse.org/globalHolocene/0_25_5/GeoB9508_5.html
RD2UhEd8ncN,GeoB9508_5,MarineSediment,"Mulitza, Stefan ; Prange, Matthias ; Stuut, Jan-Berend ; Zabel, Matthias ; von Dobeneck, Tilo ; Itambi, Achakie C. ; Nizou, Jean ; Schulz, Michael ; Wefer, Gerold",2008,10.1029/2008PA001637,"Niedermeyer, E. M. ; Prange, Matthias ; Mulitza, Stefan ; Mollenhauer, Gesine ; SchefuSS, Enno ; Schulz, Michael",2008,10.1029/2009GL039687,,15.4983,-17.948,-2384,GeoB9508_5,,11640,21570,,planktic foraminifera calcite,planktic.d13C,permil,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9508_5.html
RbUzAORVKxa,GeoB9508_5,MarineSediment,"Mulitza, Stefan ; Prange, Matthias ; Stuut, Jan-Berend ; Zabel, Matthias ; von Dobeneck, Tilo ; Itambi, Achakie C. ; Nizou, Jean ; Schulz, Michael ; Wefer, Gerold",2008,10.1029/2008PA001637,"Niedermeyer, E. M. ; Prange, Matthias ; Mulitza, Stefan ; Mollenhauer, Gesine ; SchefuSS, Enno ; Schulz, Michael",2008,10.1029/2009GL039687,,15.4983,-17.948,-2384,GeoB9508_5,,11640,21570,,planktic foraminifera calcite,planktic.MgCa,mmol_mol,oxydative cleaning following Barker et al,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9508_5.html
RGO38v3Lth3,GeoB9508_5,MarineSediment,"Mulitza, Stefan ; Prange, Matthias ; Stuut, Jan-Berend ; Zabel, Matthias ; von Dobeneck, Tilo ; Itambi, Achakie C. ; Nizou, Jean ; Schulz, Michael ; Wefer, Gerold",2008,10.1029/2008PA001637,"Niedermeyer, E. M. ; Prange, Matthias ; Mulitza, Stefan ; Mollenhauer, Gesine ; SchefuSS, Enno ; Schulz, Michael",2008,10.1029/2009GL039687,,15.4983,-17.948,-2384,GeoB9508_5,,11640,21570,,MgCa,temperature,degC,,T,,,,,,FALSE,RV/DK,"fails age control, >3000 year gap",http://lipdverse.org/globalHolocene/0_25_5/GeoB9508_5.html
R85qxVJ3PnZ,GeoB9508_5,MarineSediment,"Mulitza, Stefan ; Prange, Matthias ; Stuut, Jan-Berend ; Zabel, Matthias ; von Dobeneck, Tilo ; Itambi, Achakie C. ; Nizou, Jean ; Schulz, Michael ; Wefer, Gerold",2008,10.1029/2008PA001637,"Niedermeyer, E. M. ; Prange, Matthias ; Mulitza, Stefan ; Mollenhauer, Gesine ; SchefuSS, Enno ; Schulz, Michael",2008,10.1029/2009GL039687,,15.4983,-17.948,-2384,GeoB9508_5,,11640,21570,,planktic foraminifera calcite,planktic.d13C,permil,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9508_5.html
LPDb3822f97xxx,GeoB9508-5.Collins.2013,MarineSediment,"Collins, J. A. ; Govin, A. ; Mulitza, S. ; Heslop, D. ; Zabel, M. ; Hartmann, J. ; Roehl, U. ; Wefer, G.",2013,10.5194/cp-9-1181-2013,,,,,15.4983,-17.948,-2384,GeoB9508-5,unassigned,440,57160,mineral,,dust,percent,,M,monsoon,Summer,negative,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9508-5.Collins.2013.html
LPDb7ad98xxx81,GeoB9508-5.Collins.2013,MarineSediment,"Collins, J. A. ; Govin, A. ; Mulitza, S. ; Heslop, D. ; Zabel, M. ; Hartmann, J. ; Roehl, U. ; Wefer, G.",2013,10.5194/cp-9-1181-2013,,,,,15.4983,-17.948,-2384,GeoB9508-5,unassigned,440,57160,,,UncertaintyDust0x5B0x250x5D0x28Plus0x29,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9508-5.Collins.2013.html
LPD9472e53cxxx,GeoB9508-5.Collins.2013,MarineSediment,"Collins, J. A. ; Govin, A. ; Mulitza, S. ; Heslop, D. ; Zabel, M. ; Hartmann, J. ; Roehl, U. ; Wefer, G.",2013,10.5194/cp-9-1181-2013,,,,,15.4983,-17.948,-2384,GeoB9508-5,unassigned,440,57160,,,UncertaintyDust0x5B0x250x5D0x28Minus0x29,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9508-5.Collins.2013.html
LPD87fd8d60xxx,GeoB9526-5.Collins.2013,MarineSediment,"Collins, J. A. ; Govin, A. ; Mulitza, S. ; Heslop, D. ; Zabel, M. ; Hartmann, J. ; Roehl, U. ; Wefer, G.",2013,10.5194/cp-9-1181-2013,,,,,12.435,-18.0567,-3223,GeoB9526-5,unassigned,1360,59980,,,AlProp,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9526-5.Collins.2013.html
LPD5578b6f4xxx,GeoB9526-5.Collins.2013,MarineSediment,"Collins, J. A. ; Govin, A. ; Mulitza, S. ; Heslop, D. ; Zabel, M. ; Hartmann, J. ; Roehl, U. ; Wefer, G.",2013,10.5194/cp-9-1181-2013,,,,,12.435,-18.0567,-3223,GeoB9526-5,unassigned,1360,59980,,,SiProp,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9526-5.Collins.2013.html
LPDbe7e0702xxx,GeoB9526-5.Collins.2013,MarineSediment,"Collins, J. A. ; Govin, A. ; Mulitza, S. ; Heslop, D. ; Zabel, M. ; Hartmann, J. ; Roehl, U. ; Wefer, G.",2013,10.5194/cp-9-1181-2013,,,,,12.435,-18.0567,-3223,GeoB9526-5,unassigned,1360,59980,,,KProp,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9526-5.Collins.2013.html
LPD6375b741xxx,GeoB9526-5.Collins.2013,MarineSediment,"Collins, J. A. ; Govin, A. ; Mulitza, S. ; Heslop, D. ; Zabel, M. ; Hartmann, J. ; Roehl, U. ; Wefer, G.",2013,10.5194/cp-9-1181-2013,,,,,12.435,-18.0567,-3223,GeoB9526-5,unassigned,1360,59980,,,CaProp,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9526-5.Collins.2013.html
LPD03892251xxx,GeoB9526-5.Collins.2013,MarineSediment,"Collins, J. A. ; Govin, A. ; Mulitza, S. ; Heslop, D. ; Zabel, M. ; Hartmann, J. ; Roehl, U. ; Wefer, G.",2013,10.5194/cp-9-1181-2013,,,,,12.435,-18.0567,-3223,GeoB9526-5,unassigned,1360,59980,,,TiProp,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/GeoB9526-5.Collins.2013.html
