year (AD),thisShouldntBeEmpty (),d18O (permil),d18O ()
1197,-35.57,-33.61,-29.51
1196,-37.6,-32.64,-29.19
1195,-40.38,-37.45,-34.55
1194,-33.27,-33.26,-32.23
1193,-37.29,-31.83,-25.9
1192,-39.04,-34.56,-32.18
1191,-40.74,-35.34,-30.76
1190,-36.91,-35.59,-32.9
1189,-37.04,-33.55,-30.26
1188,-34.9,-33.91,-32.22
1187,-39.33,-33.76,-30.01
1186,-37.84,-35.52,-32.82
1185,-37.65,-35.22,-32.74
1184,-37.5,-34.75,-31.57
1183,-36.26,-33.12,-29.67
1182,-35.72,-33.84,-31.95
1181,-37.01,-34.36,-32.17
1180,-36.54,-34.52,-32.22
1179,-36.58,-34.26,-32.29
1178,-37.28,-34.7,-32.01
1177,-37.66,-35.32,-33.1
1176,-35.68,-33.59,-30.75
1175,-34.97,-33.38,-31.73
1174,-35.69,-33.32,-31.26
1173,-35.21,-33.67,-32.25
1172,-37.4,-34.22,-31.28
1171,-37.3,-33.96,-30.58
1170,-33.32,-34.57,-33.71
1169,-41.6,-33.27,-30.81
1168,-36.29,-36.55,-34.84
1167,-39.63,-34.22,-30.33
1166,-35.21,-34.23,-31.06
1165,-38.1,-34.18,-31.99
1164,-35.82,-35.35,-33.17
1163,-37.28,-32.42,-28.86
1162,-35.12,-36.08,-35.16
1161,-37.13,-34.5,-33.24
1160,-35.99,-34.43,-32.07
1159,-38.43,-33.83,-30.24
1158,-39.49,-36.14,-33.13
1157,-37,-34.23,-30.87
1156,-38.39,-34.76,-31.14
1155,-37.09,-34.88,-32.11
1154,-35.46,-34.02,-32.16
1153,-37.25,-33.73,-31.18
1152,-38.45,-36.06,-33.53
1151,-36.95,-34.97,-32.33
1150,-38.8,-34.26,-30.32
1149,-39.09,-34.99,-31.4
1148,-37,-34.77,-31.5
1147,-32.55,-32.75,-31.07
1146,-35.49,-32.67,-31.22
1145,-36.5,-33.67,-31.78
1144,-35.17,-33.82,-31.57
1143,-38.69,-34.05,-30.73
1142,-34.89,-34.66,-32.78
1141,-34.64,-33.46,-32.02
1140,-34.67,-33.07,-31.67
1139,-35.83,-34.95,-34.32
1138,-35.07,-33.45,-31.52
1137,-35.05,-33.3,-31.24
1136,-36.92,-33.4,-30.62
1135,-35.41,-33.97,-31.97
1134,-33.26,-31.71,-29.43
1133,-34.3,-33,-31.56
1132,-34.16,-32.82,-31.83
1131,-34.47,-31.72,-29.38
1130,-37.5,-33.77,-31.85
1129,-39.28,-36.41,-33.51
1128,-35.19,-34.23,-31.57
1127,-37.73,-33.87,-31.62
1126,-35.78,-34.81,-32.81
1125,-33.81,-34.95,-34.5
1124,-37.75,-32.07,-29.07
1123,-33.9,-32.99,-30.52
1122,-34.81,-33.96,-33.08
1121,-38.34,-33.35,-29.64
1120,-35.2,-34.49,-32.2
1119,-37.29,-33.96,-32.39
1118,-36.64,-33.88,-30.89
1117,-34.88,-33.73,-30.9
1116,-38.83,-33.44,-31.02
1115,-35.6,-33.27,-29.94
1114,-39.08,-35.02,-32.84
1113,-39.09,-36.52,-33.58
1112,-34.7,-34.08,-32.32
1111,-38.22,-34.89,-32.75
1110,-35.83,-34.01,-31.33
1109,-38.51,-34.01,-30.65
1108,-35.26,-34.56,-31.47
1107,-35.79,-33.59,-32.27
1106,-37.17,-33.1,-29.64
1105,-37.52,-33.41,-29.36
1104,-35.76,-33.82,-31.69
1103,-35.38,-33.77,-31.69
1102,-39.75,-34.43,-31.85
1101,-37.37,-36.25,-33.77
1100,-36.16,-34.19,-31.84
1099,-36.5,-34.37,-32.44
1098,-35.76,-33.83,-31.01
1097,-38.56,-34.26,-31.65
1096,-33.38,-33.55,-31.93
1095,-35.43,-33.28,-32.05
1094,-37.08,-34.88,-33.04
1093,-40.37,-35.02,-31.09
1092,-37.14,-34.88,-30.38
1091,-37.07,-33.95,-31.26
1090,-36.54,-33.98,-31.5
1089,-37.89,-35.25,-33.32
1088,-35.57,-34.65,-32.82
1087,-34.98,-32.34,-28.48
1086,-35.81,-33.56,-32.28
1085,-39.61,-34.15,-30.68
1084,-36.69,-35.04,-32.47
1083,-36.58,-33.97,-31.4
1082,-36.95,-34.3,-31.48
1081,-33.82,-33.1,-31.17
1080,-36.98,-32.96,-30.89
1079,-37.31,-34.85,-32.17
1078,-40.44,-34.31,-29.6
1077,-39.86,-35.85,-31.9
1076,-36.29,-35.18,-32.76
1075,-34.84,-33.86,-31.97
1074,-37.67,-33.52,-30.48
1073,-35.3,-34.68,-33.63
1072,-37,-32.51,-29.03
1071,-39.16,-35.85,-32.46
1070,-35.59,-33.98,-31.47
1069,-35.4,-33.62,-31.57
1068,-37.58,-33.74,-31.27
1067,-37.62,-33.68,-29.75
1066,-37.24,-35.17,-32.88
1065,-38.29,-35.11,-32.23
1064,-39.28,-35.59,-32.32
1063,-37.45,-34.84,-31.3
1062,-36.22,-33.37,-30.25
1061,-36.57,-34.63,-32.88
1060,-38.86,-35.84,-33.44
1059,-34.8,-34.33,-32.54
1058,-37.29,-32.14,-28.43
1057,-37.64,-35.32,-33.08
1056,-34.43,-34.06,-32.06
1055,-40.16,-34.99,-33.6
1054,-34.35,-33.74,-30.55
1053,-35.42,-33.48,-32.1
1052,-38.49,-34.62,-31.57
1051,-36.51,-34.46,-31.75
1050,-35.59,-33.17,-30.12
1049,-37.49,-34.31,-32.65
1048,-34.11,-33.83,-31.21
1047,-36.3,-32.35,-29.7
1046,-38.68,-35.35,-33.66
1045,-34.37,-33.8,-31.71
1044,-36.2,-33.38,-31.59
1043,-31.62,-32.6,-31.4
1042,-35.55,-32.17,-30.04
1041,-38.42,-33.87,-30.6
1040,-37.01,-34.94,-32.41
1039,-36.96,-32.93,-28.83
1038,-33.98,-33.51,-31.58
1037,-37.67,-34.9,-32.9
1036,-35.38,-33.02,-30.31
1035,-37.69,-34.01,-31.34
1034,-37.81,-35.79,-33.82
1033,-37.53,-34.38,-31.04
1032,-37.27,-34.88,-32.33
1031,-35.41,-33.82,-31.67
1030,-34.62,-34.29,-33.78
1029,-39.14,-34.53,-31.97
1028,-37.81,-34.86,-31.4
1027,-37.35,-33.58,-29.97
1026,-36.72,-34.08,-30.69
1025,-38.3,-35.41,-33.02
1024,-39.08,-35.7,-32.82
1023,-35.38,-34.11,-30.39
1022,-38.22,-33.03,-30.63
1021,-37.6,-34.53,-29.91
1020,-36.72,-33.37,-30.46
1019,-35.73,-33.72,-31.13
1018,-36.16,-33.13,-30.09
1017,-38.34,-34.25,-31.41
1016,-36.18,-34.43,-31.6
1015,-34.64,-33.58,-31.06
1014,-37.49,-31.97,-28.75
1013,-33.99,-33.68,-31.47
1012,-38.19,-33.73,-30.52
1011,-37.29,-36.04,-34.16
1010,-36.9,-33.35,-29.9
1009,-34.75,-33.3,-30.91
1008,-36.81,-32.93,-29.84
1007,-36.8,-34.25,-31.96
1006,-35.46,-32.63,-28.41
1005,-38.28,-32.87,-29.59
1004,-32.2,-33.91,-32.4
1003,-34.46,-32.36,-30.83
1002,-38.57,-34.66,-31.99
1001,-37.64,-35.04,-31.84
1000,-35.38,-34.21,-32.46
999,-34.02,-32.75,-30.86
998,-36.22,-34.22,-32.86
997,-38.48,-34.83,-31.71
996,-36.86,-34.53,-31.73
995,-36.75,-35.53,-34.03
994,-37.55,-34.66,-31.97
993,-36.65,-35.09,-33.13
992,-35.52,-33.33,-31.07
991,-34.75,-33.53,-32.3
990,-36.95,-34.51,-32.25
989,-39.02,-33.17,-28.86
988,-35.84,-33.93,-28.13
987,-37.09,-34.23,-33.49
986,-34.95,-30.29,-25.98
985,-36.7,-33.93,-31.9
984,-37.29,-34.7,-32.32
983,-34.84,-33.03,-30.4
982,-36.86,-33.76,-31.43
981,-35.89,-33.71,-30.83
980,-38.34,-34.08,-31.66
979,-37.19,-35.14,-32.57
978,-36.14,-33.96,-31.44
977,-35.08,-32.74,-28.77
976,-39.36,-33.01,-29.94
975,-36.87,-34.46,-31.81
974,-34.9,-33.29,-30.79
973,-35.95,-34.08,-30.95
972,-40.07,-34.05,-31.14
971,-35.46,-34.25,-31.17
970,-36.57,-33.68,-31.72
969,-34.45,-33.42,-30.22
968,-34.03,-32.29,-30.59
967,-36.39,-32.52,-30.84
966,-37.82,-34.48,-31.1
965,-36.77,-33.9,-30.92
964,-35.83,-34.12,-31.97
963,-34.89,-33.33,-30.42
962,-39.17,-33.01,-30.15
961,-35.59,-34.13,-30.41
960,-38.51,-34.1,-31.79
959,-36.8,-36.06,-34.18
958,-34.08,-32.07,-29.05
957,-35.93,-33.11,-31.37
956,-35.98,-34.39,-32.77
955,-37.12,-33.62,-30.81
954,-36.7,-33.97,-31.17
953,-35.54,-34.79,-33.24
952,-35.49,-33.86,-31.66
951,-38.35,-33.33,-30.79
950,-34.69,-33.44,-31.2
949,-37.32,-33.52,-30.49
948,-36.55,-34.15,-30.32
947,-37.66,-33.38,-30.47
946,-34.57,-34.54,-32.7
945,-35.74,-35.08,-34.11
944,-35.2,-34.56,-33.76
943,-37.99,-34.18,-31.8
942,-36.7,-35.84,-34.47
941,-41.15,-36.7,-32.97
940,-37.21,-33.63,-27.8
939,-36.37,-33.22,-30.8
938,-33.06,-32.11,-30.59
937,-38.26,-32.97,-28.97
936,-36.71,-35.47,-33.39
935,-36.04,-33.39,-30.77
934,-33.31,-33.17,-31.88
933,-35.8,-32.85,-30.88
932,-34.48,-33.5,-31.93
931,-36.85,-34.24,-32.22
930,-34.39,-33.07,-30.71
929,-34.79,-32.02,-29.75
928,-37.08,-32.55,-29.26
927,-38.5,-35.43,-32.46
926,-37.65,-33.65,-29.4
925,-33.83,-33.37,-31.76
924,-36.44,-32.5,-29.71
923,-37.87,-35.19,-32.63
922,-38.58,-34.46,-30.45
921,-36.35,-34.06,-30.45
920,-35.04,-33.19,-29.38
919,-35.78,-32.72,-31.18
918,-36.69,-33.68,-31.28
917,-34.84,-33.85,-32.14
916,-37.46,-35.35,-33.96
915,-36.5,-34.63,-31.96
914,-37.12,-33.29,-30.22
913,-34.97,-33.92,-32.08
912,-37.09,-33.4,-30.53
911,-34.7,-34.14,-32.36
910,-33.88,-31.37,-28.82
909,-38.2,-35.16,-33.41
908,-35.44,-34.55,-32.43
907,-34.91,-31.63,-28.58
906,-37.92,-35.01,-32.94
905,-36.9,-36.25,-33.97
904,-33.4,-32.65,-30.65
903,-37.7,-32.18,-28.48
902,-34.92,-34.2,-32.17
901,-36.52,-32.8,-29.49
900,-37.26,-32.99,-29.55
899,-35.35,-33.97,-31.38
898,-39.55,-34.5,-32.02
897,-35.81,-34.07,-30.49
896,-35.62,-34.15,-32.89
895,-37.2,-35.04,-33.64
894,-36.27,-35.06,-32.6
893,-35.22,-33.21,-31.23
892,-33.46,-32.77,-31.39
891,-35.8,-33.86,-33.22
890,-38.77,-34.65,-31.05
889,-37.29,-33.8,-30.82
888,-38.35,-35.32,-31.88
887,-35,-34.58,-33.16
886,-35.72,-32.57,-29.8
885,-36.78,-34.71,-33.19
884,-38.14,-33.49,-29.59
883,-37.82,-36.73,-35.22
882,-35.13,-34.92,-33.66
881,-35.55,-34.63,-33.79
880,-32.82,-33.66,-33.18
879,-34.63,-33.38,-32.74
878,-37.46,-33.61,-30.64
877,-38.03,-35.65,-33.53
876,-36.56,-35.09,-32.88
875,-38.07,-34.61,-31.83
874,-39.36,-36.73,-34.36
873,-34.92,-35.02,-33.22
872,-35.13,-32.57,-30.32
871,-34.48,-32.89,-30.94
870,-36.98,-34.57,-32.81
869,-37.32,-33.93,-31.04
868,-35.12,-33.93,-31.58
867,-37.93,-32.94,-29.2
866,-32.96,-35.24,-34.08
865,-37.94,-32.79,-30.12
864,-37.25,-34.8,-31.56
863,-37.73,-34.66,-32.02
862,-37.07,-34.11,-31.17
861,-38.05,-36.03,-33.38
860,-40.32,-34.39,-30.02
859,-37.14,-34.68,-31
858,-36.19,-32.29,-28.03
857,-36.69,-35.63,-34.58
856,-34.82,-32.53,-29.66
855,-35.36,-34.02,-33.01
854,-36.44,-33.98,-32.2
853,-39.87,-34.8,-30.82
852,-37.53,-36.82,-35.15
851,-36.52,-34.31,-31.64
850,-34.73,-33.8,-32.84
849,-37.26,-35.43,-33.99
848,-39.36,-34.82,-31.74
847,-39.27,-37.61,-35.42
846,-36.61,-35.03,-32.18
845,-40.21,-34.66,-31.48
844,-34.77,-34.88,-33.41
843,-36.39,-32.81,-29.67
842,-35.22,-34.02,-32.19
841,-36.49,-32.55,-28.99
840,-36.07,-31.46,-27.14
839,-36.47,-34.05,-31.87
838,-36.03,-33.37,-31.09
837,-36.85,-33.78,-30.54
836,-37.53,-34.82,-32.47
835,-35.46,-36,-35.04
834,-39.4,-34.33,-31.91
833,-38.36,-36.08,-32.99
832,-38.8,-34.81,-31.25
831,-38.42,-35.95,-33.24
830,-38.31,-36.63,-34.78
829,-37.09,-34.12,-30.16
828,-35.05,-32.85,-29.95
827,-34.58,-33.23,-31.64
826,-37.56,-34.38,-31.87
825,-37.17,-34.74,-32.39
824,-37.12,-34.33,-31.19
823,-36.14,-34.6,-32.77
822,-36.67,-34.45,-32.24
821,-37.79,-34.15,-31.35
820,-36.68,-35.32,-33.78
819,-37.17,-33.87,-30.29
818,-35.56,-32.37,-29.1
817,-33.74,-33.01,-30.69
816,-36.18,-32.27,-29.84
815,-36.43,-34.54,-32.72
814,-37.06,-33.32,-29.92
813,-35.69,-34.07,-32.15
812,-37.96,-34.49,-32.09
811,-36.66,-36.39,-34.53
810,-35.73,-34.78,-33.83
809,-36.05,-33.97,-31.2
808,-35.73,-33.46,-31.56
807,-36.24,-33.3,-30.16
806,-38.21,-33.94,-31.02
805,-34.89,-33.24,-30.28
804,-38.05,-34.15,-30.88
803,-37.99,-34.06,-30.26
802,-36.89,-34.01,-30.73
801,-37.09,-35.14,-33.42
800,-37.35,-36.21,-34.77
799,-35.95,-33.1,-29.89
798,-34.85,-33.08,-30.78
797,-36.6,-34.09,-32.12
796,-35.61,-33.27,-30.68
795,-36.04,-33.49,-30.79
794,-37.9,-33.5,-30.03
793,-33.96,-34.5,-32.85
792,-35.67,-32.49,-30.03
791,-36.22,-33.25,-30.27
790,-35.57,-32.64,-29.61
789,-34.42,-33.62,-32.34
788,-38.63,-33.22,-29.78
787,-33.86,-34.43,-32.77
786,-37.58,-34.09,-32.43
785,-35.66,-34.11,-31.97
784,-33.18,-33.35,-32.35
783,-37.37,-34.02,-32.58
782,-35.34,-34.28,-32.46
781,-36.7,-34.16,-31.97
780,-37.62,-33.6,-30.19
779,-37.32,-34.69,-31.74
778,-35.06,-34.15,-32.36
777,-36.02,-34.64,-33.58
776,-37.97,-33.37,-29.86
775,-34.96,-34.92,-32.95
774,-37.94,-33.8,-30.83
773,-33.44,-33.23,-30.86
772,-36.32,-32.52,-30.64
771,-35.34,-34.01,-32.13
770,-36.1,-33.7,-31.54
769,-37.17,-34.84,-32.25
768,-36.5,-33.4,-30.44
767,-34.27,-33.3,-31.69
766,-34.98,-33.3,-31.86
765,-36.21,-33.38,-31.12
764,-33.24,-33.8,-32.59
763,-33.31,-31.11,-29.31
762,-36.47,-32.8,-30.04
761,-35.85,-34.37,-32.47
760,-35.68,-33.34,-31.27
759,-37.18,-33.8,-30.98
758,-34.61,-32.66,-30.63
757,-35.6,-34.1,-32.57
756,-38.85,-33.87,-30.06
755,-33.93,-33.34,-30.18
754,-33.67,-32.72,-32.04
753,-38.42,-33.34,-29.6
752,-38.59,-36.91,-35.15
751,-33.66,-33.21,-31.63
750,-38.1,-35.12,-32.92
749,-36.6,-33.94,-31.28
748,-37.63,-35.09,-32.74
747,-35.69,-33.68,-30.69
746,-38.25,-33.97,-31.11
745,-35.08,-33.87,-31.67
744,-40.17,-32.87,-27.76
743,-38.32,-35.46,-31.86
742,-38.13,-34.14,-30.03
741,-32.45,-32.77,-30.31
740,-37.82,-32.39,-30.71
739,-36.03,-35.07,-33.41
738,-36.23,-33.02,-29.85
737,-37.73,-33.88,-30.58
736,-35.36,-32.56,-29.28
735,-34.9,-31.52,-27.96
734,-37.99,-33.1,-30.59
733,-37.01,-35.64,-33.8
732,-37.22,-33.19,-29.51
731,-34.43,-33.61,-32
730,-38.28,-32.85,-28.72
729,-36.65,-33.89,-30.56
728,-35.09,-33.79,-31.65
727,-35,-33.83,-32.42
726,-37.6,-32.51,-28.56
725,-34.14,-32.8,-30.2
724,-37.17,-34.41,-32.29
723,-36.42,-34.44,-32.4
722,-35.88,-32.88,-29.86
721,-37.78,-34.87,-32.73
720,-38.74,-32.43,-26.6
719,-36.67,-33.06,-28.78
718,-35.5,-34.79,-33
717,-36.4,-33.39,-30.87
716,-37.19,-32.81,-29.62
715,-37.76,-34.52,-31.13
714,-36.53,-33.93,-30.84
713,-37.29,-33.65,-30.42
712,-35.67,-33.79,-31.68
711,-35.78,-33.88,-31.78
710,-35.01,-33.84,-32.26
709,-39.53,-35.52,-32.4
708,-38.05,-35.16,-31.75
707,-37.12,-35.27,-33.22
706,-39.32,-35.48,-32.23
705,-37.21,-35.16,-32.52
704,-36.62,-34.1,-31.37
703,-36.35,-34.42,-32.61
702,-39.78,-37.01,-34.98
701,-36.06,-32.55,-27.73
700,-37.42,-34.74,-32.43
699,-35.16,-34.24,-32.38
698,-34.27,-32.31,-30.24
697,-38.39,-33.01,-29.84
696,-37.55,-34.86,-31.79
695,-35.59,-35.66,-35.03
694,-33.57,-33.23,-32.22
693,-38.55,-34.26,-31.11
692,-36.02,-34.43,-32.05
691,-39.49,-34.22,-30.29
690,-36.67,-35.24,-32.25
689,-37.14,-33.87,-30.99
688,-34.97,-33.97,-31.97
687,-38.35,-32.32,-27.98
686,-35.47,-34.14,-31.18
685,-37.09,-32.73,-29.59
684,-40.28,-36.77,-33.8
683,-37.38,-35.81,-33.59
682,-38.01,-36.04,-33.88
681,-37.6,-35.99,-34.23
680,-39.25,-34.29,-30.58
679,-38.75,-35.78,-32.29
678,-39.66,-34.18,-29.54
677,-36.84,-35.41,-32.56
676,-33.22,-34.77,-34.93
675,-37.88,-34.62,-32.15
674,-35.29,-34.62,-32.74
673,-35.64,-32.57,-29.97
672,-38.23,-34.19,-30.93
671,-35.74,-33.88,-31.24
670,-32.98,-32.2,-30.21
669,-37.48,-33.2,-30.5
668,-38.03,-35.19,-32.27
667,-35.42,-33.66,-31.01
666,-37.13,-34.98,-32.83
665,-36.52,-33.58,-30.62
664,-39.1,-33.52,-29.64
663,-35.79,-35.49,-33.52
662,-36.35,-34.6,-33.09
661,-36.37,-34,-31.56
660,-36.82,-34.57,-32.37
659,-35.92,-34.29,-32.47
658,-35.84,-33.2,-30.5
657,-34.73,-32.55,-30.13
656,-35.97,-33.15,-31
655,-37.87,-34.39,-31.56
654,-36.92,-34.41,-31.21
653,-36.88,-33.13,-29.46
652,-35.4,-34.93,-33.53
651,-36.35,-33.18,-30.38
650,-36.76,-32.92,-29.49
649,-38.86,-35.66,-32.97
648,-35.38,-34.55,-32.53
647,-37.67,-33.92,-30.79
646,-36.47,-32.58,-28.35
645,-35,-33.08,-30.38
644,-37.44,-34.28,-31.76
643,-37.73,-35.06,-32.35
642,-36.9,-34.13,-31.31
641,-36.76,-35.13,-33.03
640,-34.53,-33.49,-31.93
639,-36.01,-33,-30.01
638,-38.73,-34.79,-32.9
637,-38.77,-37.6,-35.88
636,-33.48,-33.44,-31.49
635,-35,-33.03,-31.49
634,-36.51,-33.43,-31.32
633,-39.29,-35.62,-32.48
632,-35.09,-33.65,-31.18
631,-35.67,-32.38,-29.42
630,-36.11,-33.84,-31.57
629,-37.59,-34.98,-32.62
628,-39.17,-34.27,-30.38
627,-38.68,-37.48,-35.95
626,-36.32,-33.63,-29.53
625,-35.04,-34.32,-33.04
624,-36.75,-32.19,-28.51
623,-35.64,-32.9,-29.89
622,-37.21,-34.45,-31.62
621,-37.41,-33.85,-30.88
620,-38.56,-35.39,-33.01
619,-38.51,-35.47,-32.49
618,-38.04,-35.84,-33.11
617,-35.93,-34.07,-30.83
616,-35.62,-32.06,-27.52
615,-37.94,-33.82,-31.9
614,-35.95,-34.33,-32.72
613,-35.83,-33.89,-31.7
612,-39.35,-35.15,-31.08
611,-38.57,-35.97,-33.35
610,-37.64,-34.76,-30.54
609,-36.85,-32.98,-29.4
608,-37.53,-34.88,-32.51
607,-33.26,-33.65,-30.77
606,-39.05,-32.79,-31.01
605,-37.52,-33.7,-30
604,-38.05,-35.43,-32.89
603,-37.71,-33.57,-29.51
602,-37.3,-35.13,-32.59
601,-35.03,-33.51,-31.2
600,-34.09,-32.77,-31.13
599,-32.63,-31.56,-30.28
598,-35.99,-33.33,-31.38
597,-33.76,-34.25,-33.56
596,-34.8,-32.7,-31.36
595,-34.88,-33.4,-31.92
594,-34.41,-32.61,-30.58
593,-35.6,-32.87,-30.95
592,-34.24,-32.66,-30.8
591,-38.56,-34.7,-32.33
590,-37.44,-35.51,-33
589,-38.07,-35.44,-32.98
588,-39.18,-35.78,-33.14
587,-37.88,-35.23,-31.77
586,-38.39,-34.37,-30.84
585,-37.5,-35.57,-32.89
584,-34.96,-33.94,-32.11
583,-36.79,-34.19,-32.51
582,-37.26,-32.06,-26.81
581,-37.16,-35.06,-33.38
580,-40.26,-31.94,-24.67
579,-35.46,-34.43,-30.32
578,-35.43,-33.62,-31.85
577,-37.13,-33.46,-30.62
576,-41.43,-36.38,-33.34
575,-40.36,-36.72,-32.72
574,-34.72,-35.19,-33.84
573,-37.24,-32.75,-29.2
572,-37.39,-34.55,-32.11
571,-38.88,-34.75,-31.33
570,-34.63,-34.38,-32.01
569,-36.3,-33.51,-31.29
568,-35.56,-33.34,-30.72
567,-37.15,-33.19,-29.55
566,-34.7,-33.73,-31.9
565,-37.3,-34.51,-32.85
564,-37.97,-34.23,-29.74
563,-38.08,-34.7,-31.54
562,-36.22,-32,-27.07
561,-35.6,-33.26,-30.95
560,-36.81,-34.37,-31.92
559,-35.51,-32.16,-27.88
558,-36.8,-31.68,-27.6
557,-36.22,-32.24,-28.27
556,-35.66,-34.14,-32.23
555,-34.39,-33.11,-31.15
554,-38.61,-34.5,-31.69
553,-33.58,-32.67,-29.11
552,NA,-31.82,-29.53
