depth (m),age (BP),depth (m),age (BP),planktic.d13C (permil),depth (m),age (BP),TOC (percent),depth (m),age (BP),CaCO3 (percent),depth (m),age (BP),temperature (degC),temperature (degC),depth (m),age (BP),temperature (degC),temperature (degC),planktic.MgCa (mmol_mol),planktic.MgCa (mmol_mol),depth (m),age (BP),temperature (degC),temperature (degC),depth (m),d18O (permil),d13C (permil),depth (m),planktic.d18O (permil),planktic.d13C (permil),depth (m),planktic.d18O (permil),planktic.d13C (permil),depth (m),planktic.MgCa (mmol_mol),depth (m),planktic.MgCa (mmol_mol)
9.51,69950,9.41,68800,1.43,9.61,71200,0.97,9.61,71090,40.7,14.04,131100,23.5,28.2,5.43,29878,22,26,2.4,4,1.875,10140,28.8,23.79,4.99,3.85,0.22,1.875,-1.48,NA,1.655,-2.54,NA,2.455,4.44,2.455,2.6
9.61,71090,9.51,69950,1.53,9.71,72330,0.91,9.71,72220,43.1,14.05,131200,23,27.5,5.44,29946,21.9,26.2,2.3,4,1.895,10240,28.2,24.68,5,3.96,0.21,1.895,-1.33,NA,1.675,-2.62,NA,2.475,4.4,2.475,2.73
9.71,72220,9.61,71090,1.64,9.81,72330,0.95,9.81,73350,45.5,14.06,131400,23.1,27.1,5.45,30015,21.1,25.4,2.2,3.7,1.915,10340,28.81,22.5,5.01,3.89,0.13,1.915,-1.41,NA,1.695,-2.27,NA,2.495,4.43,2.515,2.48
9.81,73350,9.71,72220,1.46,9.91,74590,0.89,9.91,74470,45.8,14.07,131500,22.9,27.7,5.46,30084,21.3,26.3,2.2,4,1.935,10440,NA,NA,5.02,3.93,0.14,1.935,-1.48,NA,1.715,-2.28,NA,2.515,4.85,2.555,2.52
9.91,74470,9.81,73350,1.62,10.01,75710,0.84,10.01,75600,46.9,14.08,131700,22.5,27.4,5.47,30153,20.5,26,2.1,4,1.955,10540,29.04,23.94,5.03,3.89,0.1,1.955,-0.42,NA,1.73,-2.35,NA,2.555,4.38,2.575,2.23
10.01,75600,9.91,74470,1.74,10.11,76840,0.8,10.11,76730,48.9,14.09,131800,22.2,27,5.48,30222,20,26,2,4,1.975,10640,27.9,23.42,5.04,3.89,0.16,1.975,-0.93,NA,1.735,-2.27,NA,2.575,4.5,2.595,2.26
10.11,76730,10.01,75600,1.61,10.21,77980,0.82,10.21,77870,51,14.1,132000,22.8,26.4,5.49,30292,19.2,24.9,1.8,3.6,1.995,10740,28.51,23.28,5.05,3.85,0.11,1.995,-1.41,NA,1.755,-2.67,NA,2.595,4.28,2.615,2.33
10.21,77870,10.11,76730,1.59,10.31,79140,0.85,10.31,79020,51.4,14.11,132100,22.5,26.7,5.5,30363,21.3,25.8,2.2,3.9,2.015,10840,28.53,23.6,5.06,3.92,0.14,2.015,-1.41,NA,1.775,-2.6,NA,2.615,4.56,2.655,2.3
10.31,79020,10.21,77870,1.89,10.41,79840,0.78,10.41,80190,52.1,14.12,132300,22.1,26.1,5.51,30434,20.5,25,2.1,3.6,2.035,10940,NA,NA,5.07,3.88,0.18,2.035,-1.33,NA,1.795,-2.48,NA,2.655,4.57,2.675,2.62
10.41,80190,10.31,79020,1.77,10.51,81500,0.72,10.51,81380,51.7,14.13,132400,21.4,27,5.52,30505,20.7,25.6,2.1,3.8,2.055,11040,28.69,23.42,5.08,3.83,0.14,2.055,-1.29,NA,1.815,-2.57,NA,2.675,4.28,2.715,2.56
10.51,81380,10.41,80190,1.71,10.71,83960,0.69,10.71,83840,52.7,14.14,132600,21.2,26.1,5.53,30577,21.7,25.4,2.3,3.7,2.075,11140,28.54,23.34,5.09,3.91,0.13,2.075,-1.17,NA,1.83,-2.41,NA,2.695,4.24,2.755,2.38
10.71,83840,10.51,81380,1.73,10.81,85230,0.73,10.81,85100,53,14.15,132700,22.2,26.3,5.54,30650,NA,25.7,NA,3.8,2.095,11240,NA,24.16,5.1,3.75,0.14,2.095,-0.99,NA,1.835,-2.55,NA,2.715,4.54,2.795,2.34
10.81,85100,10.71,83840,1.64,10.91,86530,0.74,10.91,86400,51.1,14.16,132800,NA,NA,5.55,30724,20.8,25.6,2.1,3.8,2.115,11350,29.44,23.08,5.11,3.82,0.19,2.115,-1.01,NA,1.855,-2.4,NA,2.755,4.28,2.815,2.56
10.91,86400,10.81,85100,1.52,11.01,87840,0.72,11.01,87710,53,14.17,133000,21.5,26.1,5.56,30798,20.2,25.6,2,3.8,2.135,11450,NA,NA,5.12,3.77,0.11,2.135,-1.4,NA,1.875,-2.47,NA,2.795,4.5,2.855,2.41
11.01,87710,10.91,86400,1.66,11.11,89160,0.79,11.11,89030,54,14.18,133100,22.5,25.8,5.57,30874,20.8,26.1,2.1,4,2.155,11550,27.4,24.06,5.13,3.73,0.17,2.155,-1.02,NA,1.895,-2.39,NA,2.815,4.71,2.915,2.39
11.11,89030,11.01,87710,1.88,11.21,90490,0.77,11.21,90360,53.6,14.19,133300,NA,25.7,5.58,30951,20.3,26.1,2,4,2.175,11650,28.23,23.88,5.14,3.81,0.13,2.175,-1.08,NA,1.915,-2.14,NA,2.855,4.32,2.955,2.49
11.21,90360,11.11,89030,1.74,11.31,91810,0.77,11.31,91670,54.1,14.2,133400,21.1,26.6,5.59,31028,21.2,24.9,2.2,3.6,2.195,11750,28.72,23.91,5.15,3.87,0.17,2.195,-1.24,NA,1.93,-2.27,NA,2.875,4.66,2.965,2.45
11.31,91670,11.21,90360,1.64,11.41,93120,0.69,11.41,92990,57.6,14.21,133600,21.7,26,5.6,31107,20.9,25.9,2.2,3.9,2.215,11850,28.48,22.89,5.16,3.86,0.14,2.215,-1.08,NA,1.935,-2.65,NA,2.895,4.21,2.985,2.42
11.41,92990,11.31,91670,1.64,11.51,94430,0.68,11.51,94300,57.8,14.22,133700,21.2,25.6,5.61,31186,20.7,26.2,2.1,4,2.235,11950,NA,NA,5.17,3.85,0.17,2.235,-0.78,NA,1.955,-2.45,NA,2.915,4.34,3.045,2.57
11.51,94300,11.41,92990,1.68,11.61,95740,0.66,11.61,95610,60.6,14.23,133900,NA,25.3,5.62,31266,21.3,25.7,2.2,3.8,2.275,12150,27.41,22.73,5.18,3.8,0.15,2.275,-1.27,NA,1.975,-2.45,NA,2.955,4.42,3.065,2.48
11.61,95610,11.51,94300,1.48,11.71,97050,0.66,11.71,96920,59.6,14.24,134000,22.1,25.7,5.63,31346,20.7,25.2,2.1,3.7,2.295,12250,28.2,22.65,5.19,3.76,0.14,2.295,-0.72,NA,1.995,-2.5,NA,2.965,4.09,3.085,2.32
11.71,96920,11.61,95610,1.56,11.81,98360,0.75,11.81,98230,58.6,14.25,134100,20.7,25.2,5.64,31427,20.7,26.4,2.1,4.1,2.315,12350,27.95,23.62,5.2,3.71,0.24,2.315,-0.63,NA,2.015,-2.36,NA,2.985,4.34,3.105,2.31
11.81,98230,11.71,96920,1.55,11.91,99670,0.73,11.91,99540,57.4,14.26,134300,21.2,25.2,5.65,31509,21.6,25.3,2.3,3.7,2.335,12450,NA,NA,5.21,3.68,0.15,2.335,-0.99,NA,2.03,-2.13,NA,3.005,3.97,3.205,2.22
11.91,99540,11.81,98230,1.63,12,100850,0.73,12,100720,55.7,14.27,134400,21.1,25.5,5.66,31592,20.7,26.1,2.1,4,2.355,12550,28.03,22.15,5.22,3.76,0.13,2.355,-0.4,NA,2.035,-2.64,NA,3.045,4.22,3.245,2.5
12,100720,11.91,99540,1.6,12.1,102160,0.7,12.1,102030,54.3,14.28,134600,21.4,25.1,5.67,31675,20.6,25.9,2.1,3.9,2.375,12650,28.26,22.48,5.23,3.72,0.22,2.375,-0.72,NA,2.055,-2.41,NA,3.065,4.13,3.265,2.24
12.1,102030,12,100720,1.76,12.2,103460,0.7,12.2,103330,53.2,14.29,134700,20.5,25.2,5.68,31759,21.7,26,2.3,3.9,2.395,12750,27.02,21.83,5.24,3.84,0.22,2.395,-0.89,NA,2.075,-2.26,NA,3.085,4.06,3.285,2.44
12.2,103330,12.1,102030,1.56,12.3,104770,0.75,12.3,104640,52,14.3,134800,19.5,24.8,5.69,31843,20.7,26,2.1,3.9,2.415,12850,27.67,22.33,5.25,3.73,0.18,2.415,-0.76,NA,2.095,-2.37,NA,3.105,4.12,3.305,2.45
12.3,104640,12.2,103330,1.49,12.4,106070,0.75,12.4,105940,46.8,14.31,135000,20.5,24.6,5.7,31927,20.4,25.9,2.1,3.9,2.435,12960,NA,NA,5.26,3.72,0.14,2.435,-0.79,NA,2.115,-2.18,NA,3.145,4.03,3.345,2.5
12.4,105940,12.3,104640,1.61,12.5,107370,0.83,12.5,107240,51.6,14.32,135100,20.6,24.7,5.71,32013,20.9,25.7,2.2,3.8,2.455,13060,27.3,23,5.27,3.62,0.21,2.455,-0.24,NA,2.13,-2.12,NA,3.165,3.91,3.365,2.49
12.5,107240,12.4,105940,1.46,12.6,108680,0.72,12.6,108550,47,14.33,135300,21.3,24.5,5.72,32098,21.7,25.8,2.3,3.9,2.475,13160,27.21,23.53,5.28,3.66,0.19,2.475,-0.69,NA,2.135,-2.61,NA,3.205,3.92,3.385,2.62
12.6,108550,12.5,107240,1.4,12.7,109990,0.86,12.7,109860,49.3,14.34,135400,19.9,25,5.73,32184,20.2,26.2,2,4,2.495,13260,27.3,NA,5.29,3.64,0.17,2.495,-0.39,NA,2.155,-2.26,NA,3.245,3.89,3.405,2.54
12.7,109860,12.6,108550,1.6,12.8,111310,0.78,12.8,111170,47.9,14.35,135600,20.9,25,5.74,32270,21.2,25.1,2.2,3.6,2.515,13360,28.3,22.48,5.3,3.71,0.09,2.515,-0.73,NA,2.175,-2.13,NA,3.265,3.79,3.445,2.47
12.8,111170,12.7,109860,1.58,12.9,112630,0.79,12.9,112490,47.7,14.36,135700,20.6,25.1,5.75,32357,21,26.4,2.2,4.1,2.535,13460,NA,NA,5.31,3.69,0.08,2.535,-1.01,NA,2.195,-2.31,NA,3.285,4.03,3.465,2.34
12.9,112490,12.8,111170,1.33,13,113950,0.77,13,113820,49.3,14.37,135800,NA,25.5,5.76,32444,22.3,25.4,2.5,3.7,2.555,13560,27.16,22.65,5.32,3.87,0.16,2.555,-0.61,NA,2.215,-2.22,NA,3.305,3.94,3.485,2.01
13,113820,12.9,112490,1.41,13.1,115270,0.76,13.1,115140,49,14.38,136000,20.4,NA,5.77,32531,21,25.8,2.2,3.9,2.575,13660,27.45,21.28,5.33,3.8,0.08,2.575,-0.57,NA,2.23,-2.09,NA,3.345,3.84,3.505,2.45
13.1,115140,13,113820,1.43,13.2,116590,0.69,13.2,116460,49.2,14.39,136100,21.6,25.1,5.78,32619,21.1,25.5,2.2,3.8,2.595,13760,26.91,21.45,5.34,3.65,0.28,2.595,-0.69,NA,2.235,-2.32,NA,3.365,3.68,3.545,2.27
13.2,116460,13.1,115140,1.55,13.3,117900,0.66,13.3,117770,44.9,14.4,136300,19.9,24.5,5.79,32706,21.8,26.1,2.3,4,2.615,13860,27.61,21.76,5.35,3.73,0.18,2.615,-0.53,NA,2.275,-2.04,NA,3.385,3.97,3.565,2.2
13.3,117770,13.2,116460,1.48,13.4,119200,0.66,13.4,119070,48.9,14.41,136400,20.4,24.4,5.8,32795,20.4,26.2,2.1,4,2.635,13960,NA,NA,5.36,3.72,0.28,2.635,-0.48,NA,2.295,-1.98,NA,3.405,3.99,3.585,2.33
13.4,119070,13.3,117770,1.43,13.5,120480,0.58,13.5,120360,45,14.42,136500,NA,25,5.81,32883,21.4,25.8,2.3,3.9,2.655,14060,27.65,21.62,5.37,3.76,0.14,2.655,-0.55,NA,2.315,-1.78,NA,3.445,3.68,3.605,2.3
13.5,120360,13.4,119070,1.45,13.6,121760,0.67,13.6,121630,43.9,14.43,136700,20.2,25,5.82,32971,20.2,26.9,2,4.3,2.675,14160,26.9,23.07,5.38,3.69,0.26,2.675,-0.97,NA,2.33,-1.98,NA,3.465,3.78,3.645,2.29
13.6,121630,13.5,120360,1.42,13.7,123030,0.7,13.7,122900,40,14.44,136800,NA,24.9,5.83,33060,20.2,25.2,2,3.7,2.695,14260,26.81,NA,5.39,3.65,0.27,2.695,-0.44,NA,2.335,-2.14,NA,3.485,3.85,3.685,2.27
13.7,122900,13.6,121630,1.17,13.8,124290,0.74,13.8,124170,37.4,14.45,137000,NA,25,5.84,33149,20.6,25.1,2.1,3.6,2.715,14360,27.57,22.82,5.4,3.63,0.18,2.715,-0.46,NA,2.375,-2.08,NA,3.505,3.78,3.705,2.1
13.8,124170,13.7,122900,1.03,13.9,125560,0.69,13.9,125430,43.2,14.46,137100,20.8,25,5.85,33238,21.4,26.4,2.2,4.1,2.735,14460,NA,NA,5.41,3.66,0.26,2.735,-0.4,NA,2.395,-2.04,NA,3.545,3.53,3.745,2.36
13.9,125430,13.8,124170,0.93,14,126830,NA,14,126700,44,14.47,137200,19.9,24.5,5.86,33327,21.6,24.6,2.3,3.5,2.755,14560,26.89,22.01,5.42,3.66,0.3,2.755,-0.07,NA,2.415,-1.73,NA,3.565,3.62,3.765,2.46
14,126700,13.9,125430,1.03,14.1,128100,0.64,14.1,127970,54.8,14.48,137400,20.5,24.7,5.87,33416,21,26,2.2,4,2.775,14670,NA,NA,5.43,3.65,0.12,2.775,-0.34,NA,2.43,-1.62,NA,3.585,4.15,3.785,2.71
14.1,127970,14,126700,1.09,14.2,129370,0.96,14.2,129250,52.9,14.49,137500,20.2,25,5.88,33505,22.2,25.7,2.4,3.9,2.795,14770,27.46,21.85,5.44,3.73,0.24,2.795,-0.22,NA,2.435,-1.86,NA,3.605,3.81,3.805,2.12
14.2,129250,14.1,127970,0.99,14.3,130650,1.2,14.3,130520,48.5,14.5,137700,20.4,25,5.89,33595,19.3,26,1.9,4,2.815,14870,27.97,22.83,5.45,3.64,0.27,2.815,-0.51,NA,2.455,-1.5,NA,3.645,3.36,3.845,2.63
14.3,130520,14.2,129250,1.04,14.4,131930,1.19,14.4,131800,44.6,14.51,137800,19.8,24.9,5.9,33684,21.6,26.5,2.3,4.1,2.835,14970,NA,NA,5.46,3.7,0.27,2.835,-0.5,NA,2.475,-1.78,NA,3.685,3.65,3.865,2.34
14.4,131800,14.3,130520,1.01,14.5,133200,1.33,14.5,133080,46.3,14.52,137900,21.1,25,5.91,33774,20,25.6,2,3.8,2.855,15070,27.01,22.18,5.47,3.69,0.26,2.855,-0.57,NA,2.495,-1.71,NA,3.705,3.56,3.905,2.63
14.5,133080,14.4,131800,1.22,14.6,134480,1.41,14.6,134350,43.8,14.53,138100,20.3,24.9,5.92,33863,21.5,25.6,2.3,3.8,2.875,15170,27.85,NA,5.48,3.74,0.25,2.875,-0.57,NA,2.515,-1.85,NA,3.745,3.44,3.945,2.7
14.6,134350,14.5,133080,1.21,14.7,135760,1.43,14.7,135630,43.5,14.54,138200,20.8,24.4,5.93,33953,20.5,25.9,2.1,3.9,2.895,15270,26.74,NA,5.49,3.75,0.28,2.895,0.02,NA,2.53,-1.63,NA,3.765,3.77,3.965,2.36
14.7,135630,14.6,134350,1.22,14.8,137030,1.34,14.8,136910,43.1,14.55,138400,21.3,24.9,5.94,34042,21,25.9,2.2,3.9,2.915,15370,27.05,22.07,5.5,3.68,0.25,2.915,-0.58,NA,2.535,-1.96,NA,3.785,3.71,4.005,2.3
14.8,136910,14.7,135630,1.14,14.9,138310,1.25,14.9,138180,40.7,14.56,138500,20.3,25.4,5.95,34132,20.8,26.1,2.1,4,2.935,15470,NA,NA,5.51,3.66,0.26,2.935,-0.02,NA,2.555,-1.92,NA,3.805,3.69,4.045,2.22
14.9,138180,14.8,136910,1.1,15,139570,1.21,15,139450,43.5,14.57,138600,20.2,24.6,5.96,34221,19.9,25.6,2,3.8,2.955,15570,27.26,22.52,5.52,3.68,0.25,2.955,0.06,NA,2.575,-1.88,NA,3.845,3.8,4.065,2.22
15,139450,14.9,138180,1.07,15.1,140840,1.17,15.1,140710,42.4,14.58,138800,19.5,24.7,5.97,34311,20.1,26.3,2,4,2.965,15620,26.41,22.35,5.53,3.64,0.35,2.965,0.16,NA,2.595,-1.63,NA,3.865,3.58,4.085,2.16
15.1,140710,15,139450,1.01,15.2,142110,1.01,15.2,141980,44.2,14.59,138900,20.4,24.9,5.98,34400,20.7,25.3,2.1,3.7,2.985,15720,27.05,22.2,5.54,3.72,0.22,2.985,-0.18,NA,2.615,-1.69,NA,3.885,3.76,4.105,2.27
15.2,141980,15.1,140710,1.31,15.3,143390,1.02,15.3,143260,42.6,14.6,139100,19.6,24.2,5.99,34489,20.8,26,2.1,4,3.005,15820,26.08,NA,5.55,3.72,0.22,3.005,-0.15,NA,2.63,-1.7,NA,3.905,3.67,4.145,2.22
15.3,143260,15.2,141980,1.29,15.4,144700,0.87,15.4,144570,41.6,14.61,139200,19.2,24.2,6,34579,20.5,26.2,2.1,4,3.025,15920,NA,NA,5.56,3.72,0.26,3.025,-0.26,NA,2.635,-1.88,NA,3.945,3.85,4.165,2.45
15.4,144570,15.3,143260,1.17,15.5,146030,0.93,15.5,145900,43.4,14.62,139300,19.5,24.2,6.01,34668,20.5,25.4,2.1,3.7,3.045,16020,26.74,22.89,5.57,3.73,0.21,3.045,-0.25,NA,2.655,-1.9,NA,3.965,3.64,4.185,2.11
15.5,145900,15.4,144570,1.03,15.6,147390,0.95,15.6,147250,46.1,14.63,139500,19.9,25.5,6.02,34757,19.5,25.7,1.9,3.8,3.065,16120,26.51,22.49,5.58,3.81,0.19,3.065,-0.28,NA,2.675,-1.81,NA,3.985,3.83,4.205,2.36
15.6,147250,15.5,145900,0.97,15.7,148770,0.98,15.7,148630,48.3,14.64,139600,NA,24.8,6.03,34846,21.4,26.1,2.2,4,3.085,16220,26.32,21.74,5.59,3.58,0.35,3.085,-0.63,NA,2.695,-1.74,NA,4.005,3.64,4.245,2.38
15.7,148630,15.6,147250,1.21,15.8,150180,0.96,15.8,150040,54.8,14.65,139700,19.5,NA,6.04,34935,20.3,26.1,2,4,3.105,16330,26.47,21.67,5.6,3.74,0.2,3.105,0.28,NA,2.715,-1.69,NA,4.045,3.49,4.265,2.35
15.8,150040,15.7,148630,1.02,15.9,151620,0.95,15.9,151470,48.9,14.66,139900,19.1,24.9,6.05,35024,21.3,26.2,2.2,4,3.125,16430,NA,NA,5.61,3.67,0.2,3.125,-0.28,NA,2.73,-1.58,NA,4.065,3.57,4.285,2.27
15.9,151470,15.8,150040,1.22,16,153070,0.98,16,152920,46.9,14.67,140000,19.6,24.4,6.06,35112,20.3,25.7,2,3.9,3.145,16530,26.23,NA,5.62,3.71,0.28,3.145,0.16,NA,2.735,-2.05,NA,4.085,3.72,4.305,2.15
16,152920,15.9,151470,1.13,16.1,154540,1.1,16.1,154390,50.3,14.68,140200,19,24.4,6.07,35201,20.3,25.9,2,3.9,3.165,16630,25.92,NA,5.63,3.71,0.26,3.165,0.22,NA,2.755,-1.75,NA,4.105,3.71,4.345,2.12
16.1,154390,16,152920,1.06,16.2,156020,1.12,16.2,155870,51.1,14.69,140300,19.3,25,6.08,35289,20.8,26.6,2.1,4.2,3.185,16730,NA,NA,5.64,3.63,0.27,3.185,-0.29,NA,2.775,-1.62,NA,4.145,3.82,4.365,2.6
16.2,155870,16.1,154390,1.18,16.3,157520,1.13,16.3,157370,50.9,14.7,140400,19.7,24.9,6.09,35377,20.7,26.5,2.1,4.1,3.205,16830,25.92,21.24,5.65,3.77,0.28,3.205,-0.04,NA,2.795,-1.39,NA,4.165,3.54,4.385,2.21
16.3,157370,16.2,155870,0.98,16.49,160380,1.11,16.49,160230,48.5,14.71,140600,19.9,24.2,6.1,35465,21.3,26.6,2.2,4.2,3.225,16930,NA,NA,5.66,3.75,0.29,3.225,-0.06,NA,2.815,-1.53,NA,4.185,3.65,4.445,2.13
16.4,158870,16.3,157370,1.09,16.59,161900,1.23,16.59,161750,43.5,NA,NA,NA,NA,6.11,35553,20.3,26.8,2,4.2,3.245,17030,25.84,22.58,5.67,3.73,0.26,3.245,0.08,NA,2.83,-1.72,NA,4.205,3.9,13.1,2.02
16.49,160230,16.4,158870,1.27,16.69,163410,1.05,16.69,163260,49.6,NA,NA,NA,NA,6.12,35641,21.2,26.3,2.2,4,3.265,17130,25.55,21.37,5.68,3.83,0.28,3.265,0.01,NA,2.835,-1.89,NA,4.245,3.72,13.11,2.01
16.69,163260,16.49,160230,1.27,16.79,164930,1.2,16.79,164780,43.8,NA,NA,NA,NA,6.13,35728,20.5,26,2.1,3.9,3.285,17230,26.22,22.3,5.69,3.78,0.26,3.285,-0.11,NA,2.855,-1.72,NA,4.265,3.69,13.12,2.06
16.89,166280,16.69,163260,1.26,16.89,166440,0.88,16.89,166280,51.9,NA,NA,NA,NA,6.14,35816,22.2,26.3,2.4,4,3.305,17330,25.98,22.33,5.7,3.74,0.24,3.305,-0.18,NA,2.875,-1.81,NA,4.285,3.4,13.13,2.17
17.09,169270,16.89,166280,1.32,16.99,167930,0.89,16.99,167780,49.8,NA,NA,NA,NA,6.15,35903,21.1,26.2,2.2,4,3.325,17430,NA,NA,5.71,3.71,0.21,3.325,-0.06,NA,2.895,-1.24,NA,4.305,3.68,13.14,1.91
17.29,172210,17.09,169270,1.34,17.09,169420,0.89,17.09,169270,49.4,NA,NA,NA,NA,6.16,35989,19.8,26.1,1.9,4,3.345,17530,25.71,22.56,5.72,3.77,0.28,3.345,-0.06,NA,2.915,-1.53,NA,4.345,4.01,13.15,1.98
17.49,175110,17.29,172210,1.06,17.19,170900,0.92,17.19,170750,48.7,NA,NA,NA,NA,6.17,36076,20.2,25.5,2,3.8,3.365,17630,25.22,22.5,5.73,3.81,0.23,3.365,-0.27,NA,2.93,-1.57,NA,4.365,3.84,13.16,2.23
17.69,177970,17.49,175110,1.19,17.29,172360,0.9,17.29,172210,46.2,NA,NA,NA,NA,6.18,36162,19.9,25.4,2,3.8,3.385,17730,26.07,23.1,5.74,3.69,0.24,3.385,-0.37,NA,2.935,-1.68,NA,4.385,3.5,13.17,1.98
17.89,180810,17.69,177970,1.19,17.39,173810,0.9,17.39,173660,45.6,NA,NA,NA,NA,6.19,36249,21.6,26.1,2.3,4,3.405,17830,26.12,22.76,5.75,3.73,0.22,3.405,0.08,NA,2.955,-1.38,NA,4.445,3.52,13.19,2.01
17.99,182220,17.89,180810,1.19,17.49,175250,0.93,17.49,175110,48,NA,NA,NA,NA,6.2,36335,20.7,25.5,2.1,3.8,3.425,17930,NA,NA,5.76,3.67,0.28,3.425,-0.03,NA,2.965,-1.47,NA,13.11,4.42,13.2,2.3
18.19,185030,17.99,182220,1.37,17.59,176680,0.88,17.59,176540,52.3,NA,NA,NA,NA,6.21,36420,20.3,26,2,3.9,3.445,18040,25.23,22.43,5.77,3.79,0.25,3.445,-0.22,NA,2.985,-1.35,NA,13.15,3.97,13.21,2.15
18.39,187830,18.09,185030,1.27,17.69,178110,0.99,17.69,177970,50.8,NA,NA,NA,NA,6.22,36506,20.2,24.8,2,3.5,3.465,18140,25.51,21.81,5.78,3.79,0.16,3.465,-0.23,NA,3.005,-1.29,NA,13.17,4.46,13.22,2.05
18.59,190650,18.29,187830,1.25,17.79,179530,1.03,17.79,179390,50.6,NA,NA,NA,NA,6.23,36591,20.2,26.2,2,4,3.485,18240,25.72,20.13,5.79,3.65,0.34,3.485,-0.08,NA,3.02,-1.35,NA,13.18,4.08,13.24,2.21
18.79,193500,18.49,190650,1.53,17.89,180950,1.01,17.89,180810,48.8,NA,NA,NA,NA,6.24,36676,21.4,25.2,2.3,3.7,3.505,18340,25.51,22.34,5.8,3.66,0.23,3.505,0.1,NA,3.025,-1.76,NA,13.19,4.06,13.25,2.14
18.99,196410,18.69,193500,1.57,17.99,182360,0.95,17.99,182220,47.4,NA,NA,NA,NA,6.25,36760,21,25.4,2.2,3.7,3.525,18440,NA,NA,5.81,3.65,0.29,3.525,-0.12,NA,3.045,-1.49,NA,13.2,3.94,13.26,2.26
19.19,199410,18.89,196410,1.48,18.09,183760,0.9,18.09,183620,48.6,NA,NA,NA,NA,6.26,36844,22,25.4,2.4,3.8,3.545,18540,24.77,21.48,5.82,3.71,0.33,3.545,0.07,NA,3.065,-1.53,NA,13.21,4.17,13.27,2.29
19.39,202500,19.09,199410,1.56,18.19,185170,0.82,18.19,185030,49.2,NA,NA,NA,NA,6.27,36928,20.1,25.4,2,3.7,3.565,18640,25.03,21.16,5.83,3.62,0.27,3.565,-0.19,NA,3.085,-1.34,NA,13.22,4.4,13.28,2.19
19.47,203750,19.29,202500,1.49,18.29,186570,0.77,18.29,186430,50.8,NA,NA,NA,NA,6.28,37012,20.6,26.2,2.1,4,3.585,18740,26.57,21.79,5.84,3.79,0.27,3.585,0.04,NA,3.105,-1.22,NA,13.23,4.58,13.29,2.18
19.67,206850,19.47,203750,1.4,18.39,187970,0.71,18.39,187830,50.4,NA,NA,NA,NA,6.29,37095,20.5,25.3,2.1,3.7,3.605,18840,25.61,21.66,5.85,3.57,0.26,3.605,-0.17,NA,3.12,-1.21,NA,13.24,3.87,13.3,2.43
19.87,209880,19.67,206850,1.4,18.49,189380,0.69,18.49,189240,47,NA,NA,NA,NA,6.3,37179,22.3,25.4,2.4,3.7,3.625,18940,NA,NA,5.86,3.62,0.28,3.625,-0.3,NA,3.125,-1.33,NA,13.25,4.08,13.31,2.22
20.07,212800,19.87,209880,1.39,18.59,190790,0.8,18.59,190650,47.4,NA,NA,NA,NA,6.31,37261,20.5,27,2.1,4.3,3.645,19040,24.22,21.61,5.87,3.68,0.16,3.645,0.26,NA,3.145,-1.32,NA,13.29,4.51,13.32,2.07
20.27,215620,20.07,212800,1.04,18.69,192210,0.67,18.69,192070,47.4,NA,NA,NA,NA,6.32,37344,20.8,26.5,2.1,4.1,3.685,19240,25.15,21.49,5.88,3.61,0.25,3.685,0.15,NA,3.165,-1.2,NA,13.31,4.67,13.33,2.14
20.47,218330,20.27,215620,1.15,18.79,193650,0.58,18.79,193500,50.8,NA,NA,NA,NA,6.33,37426,20.9,26.4,2.2,4.1,3.705,19340,24.86,20.61,5.89,3.68,0.22,3.705,0.24,NA,3.185,-1.09,NA,13.32,4.89,13.34,2.12
20.67,220950,20.47,218330,1.33,18.89,195090,0.56,18.89,194950,47.4,NA,NA,NA,NA,6.34,37508,21.1,26.4,2.2,4.1,3.725,19440,NA,NA,5.9,3.7,0.27,3.725,-0.11,NA,3.205,-1.27,NA,13.33,4.71,13.35,2.36
20.87,223480,20.67,220950,1.27,18.99,196560,0.59,18.99,196410,48.2,NA,NA,NA,NA,6.35,37589,20.6,25.5,2.1,3.8,3.745,19540,24.47,21.92,5.91,3.7,0.27,3.745,0.1,NA,3.22,-1.17,NA,13.34,4.91,13.36,2.25
20.97,224720,20.87,223480,1.2,19.09,198050,0.65,19.09,197900,49.7,NA,NA,NA,NA,6.36,37670,20.6,26.8,2.1,4.2,3.765,19650,25.48,22.38,5.92,3.62,0.18,3.765,-0.13,NA,3.225,-1.74,NA,13.35,4.7,13.37,2.41
21.17,227150,20.97,224720,1.29,19.19,199570,0.64,19.19,199410,53.9,NA,NA,NA,NA,6.37,37751,21.1,25.9,2.2,3.9,3.785,19750,25.32,23.45,5.93,3.71,0.35,3.785,0.3,NA,3.245,-1.29,NA,13.36,4.86,13.38,2.4
21.37,229520,21.17,227150,1.37,19.29,201110,0.64,19.29,200950,56,NA,NA,NA,NA,6.38,37832,20.9,26.1,2.1,4,3.805,19850,25.26,20.73,5.94,3.65,0.22,3.805,0.05,NA,3.265,-1.03,NA,13.37,4.62,13.39,2.42
21.57,231850,21.37,229520,1.31,19.39,202660,0.55,19.39,202500,57.3,NA,NA,NA,NA,6.39,37912,22.4,25.4,2.5,3.7,3.825,19950,NA,NA,5.95,3.55,0.33,3.825,0.02,NA,3.285,-1.4,NA,13.38,5.03,13.4,2.27
